"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000379",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","23 Apr 2020 19:45:35 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
23-04 19:45:35,3.531,1.105,94.941,0.384,0.039,440385536,4208930816,152518656,3308314624,0,0,82329.967,2283861.409,2.933,19.310,693.641,997.246,0.550,0.600,0.470,2,0,13.795,0,0,12,3,0,4,0
23-04 19:45:36,11.364,20.707,67.677,0,0.253,440664064,4207685632,152522752,3308883968,10108,2106,24576,167936,1,9,2763,5114,0.550,0.600,0.470,1,0,497,0,0,12,3,0,4,0
23-04 19:45:37,13.486,20.611,65.903,0,0,442060800,4205887488,152522752,3309420544,9480,2214,0,32768,0,8,3227,5990,0.550,0.600,0.470,2,0,379,0,0,12,3,0,4,0
23-04 19:45:38,8.608,9.873,81.266,0,0.253,573276160,4074291200,152522752,3437285376,9053,1944,0,0,0,0,3301,5120,0.550,0.600,0.470,1,0,138,0,0,14,5,0,4,0
23-04 19:45:39,18.434,8.838,72.727,0,0,598233088,4049104896,152522752,3437449216,17647,2160,0,487424,0,3,1626,2772,0.590,0.610,0.480,1,0,213,0,0,14,5,0,6,0
23-04 19:45:40,21.914,2.771,74.559,0.756,0,645668864,4000382976,152522752,3438735360,10041,2160,208896,0,14,0,669,1371,0.590,0.610,0.480,1,0,0,0,0,14,7,0,6,0
23-04 19:45:41,8.040,4.271,72.613,14.824,0.251,658554880,3985412096,152940544,3440373760,11787,2160,0,10067968,0,662,3551,6019,0.590,0.610,0.480,1,0,0,0,0,14,7,0,6,0
23-04 19:45:42,8.564,3.778,72.544,15.113,0,662175744,3912417280,153268224,3507892224,9198,2148,0,73785344,0,588,3447,6480,0.590,0.610,0.480,1,0,0,0,0,14,7,0,6,0
23-04 19:45:43,8.608,3.038,72.658,15.443,0.253,664084480,3909070848,153632768,3508883456,8832,2160,0,7438336,0,623,3766,6918,0.590,0.610,0.480,1,0,0,0,0,14,7,0,6,0
23-04 19:45:44,9.500,8.500,66.500,15.500,0,665563136,3906908160,154071040,3509112832,7156,2214,0,83931136,0,1042,3835,6159,0.700,0.630,0.490,1,0,0,0,0,14,7,0,6,0
23-04 19:45:45,13.636,5.051,71.212,9.848,0.253,667275264,3903991808,154632192,3509710848,7531,2160,0,7151616,0,578,4336,10854,0.700,0.630,0.490,0,1,0,0,0,14,7,0,6,0
23-04 19:45:46,10.026,3.856,72.751,13.368,0,669114368,3900858368,155021312,3510558720,18510,2160,0,7888896,0,599,4045,8637,0.700,0.630,0.490,0,1,0,0,0,14,7,0,6,0
23-04 19:45:47,10.973,5.736,70.574,12.469,0.249,671596544,3897442304,155623424,3510845440,6529,2160,0,9150464,0,725,4177,9084,0.700,0.630,0.490,1,0,2,0,0,14,7,0,6,0
23-04 19:45:48,19.241,4.051,70.633,6.076,0,672645120,3894939648,155885568,3512000512,6177,1890,0,4624384,0,330,4631,10393,0.700,0.630,0.490,1,0,0,0,0,14,7,0,6,0
23-04 19:45:49,17.468,4.557,70.127,7.595,0.253,673947648,3892301824,156139520,3513028608,6275,2214,0,14917632,0,524,5993,10751,0.720,0.640,0.490,0,1,0,0,0,14,7,0,6,0
23-04 19:45:50,12.944,5.076,68.020,13.959,0,673660928,3892035584,156483584,3513212928,7644,2160,0,7057408,0,571,3690,7683,0.720,0.640,0.490,1,0,0,0,0,14,7,0,6,0
23-04 19:45:51,15.657,4.545,72.475,7.323,0,600879104,3964391424,156770304,3513344000,16596,2148,0,5779456,0,414,2942,5701,0.720,0.640,0.490,2,0,33,0,0,14,5,0,7,0
23-04 19:45:52,20.603,6.030,70.854,2.261,0.251,643493888,3921268736,156815360,3513798656,7745,2214,0,7090176,0,93,1195,1922,0.720,0.640,0.490,1,0,45,0,0,14,5,0,7,0
23-04 19:45:53,22.111,2.764,73.116,2.010,0,607485952,3956678656,156827648,3514380288,7402,2106,0,8654848,0,336,1537,1609,0.720,0.640,0.490,1,0,11,0,0,14,5,0,7,0
23-04 19:45:54,23.559,3.258,69.173,4.010,0,658931712,3903713280,156901376,3515772928,9347,2214,0,11755520,0,347,1665,1679,0.750,0.650,0.490,1,0,0,0,0,14,5,0,7,0
23-04 19:45:55,14.758,14.249,70.992,0,0,601817088,3960238080,156905472,3516354560,8865,2160,0,208896,0,7,2153,3853,0.750,0.650,0.490,1,0,299,0,0,14,5,0,7,0
23-04 19:45:56,12.814,20.603,66.332,0,0.251,602447872,3958931456,156905472,3516997632,7589,2106,0,40960,0,10,2976,5851,0.750,0.650,0.490,1,0,401,0,0,14,5,0,7,0
23-04 19:45:57,38.539,12.594,48.615,0,0.252,672579584,3888369664,156905472,3517767680,16377,2160,0,0,0,0,2658,3957,0.750,0.650,0.490,2,0,175,0,0,14,7,0,7,0
23-04 19:45:58,44.724,4.271,49.749,1.256,0,749228032,3811274752,156913664,3518152704,6442,1998,151552,274432,5,54,1094,888,0.750,0.650,0.490,2,0,0,0,0,14,7,0,7,0
