-- Logs begin at Tue 2020-03-31 03:44:47 UTC, end at Tue 2020-03-31 06:39:03 UTC. --
Mar 31 06:07:55 cloud-provider-iscsi-0000000085 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 06:07:55 cloud-provider-iscsi-0000000085 dstat.sh[24149]: [286B blob data]
Mar 31 06:07:55 cloud-provider-iscsi-0000000085 dstat.sh[24149]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 06:07:55 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:07:55|  2   1  98   0   0| 425M 4475M  143M 2704M|   0     0 |  38k 1005k|1.40  9.11 | 429   624 |0.90 0.74 0.49|1.0   0 6.6|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2056  690k 650k0.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 31 06:07:56 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:07:56| 10  21  69   0   0| 424M 4475M  143M 2704M|8275B   16k|  24k  156k|1.00  7.00 |2802  5086 |0.90 0.74 0.49|2.0   0 492|   0     0 |bash                 2056 3.8%2008k  31k|bash                 2056 2008k  31k3.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 31 06:07:57 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:07:57| 14  19  67   0   0| 428M 4470M  143M 2705M|8324B   20k|   0   300k|   0  23.0 |3104  5500 |0.90 0.74 0.49|2.0   0 360|   0     0 |systemd              1    3.5%   0    0 |bash                 2056 2646k  22k2.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 31 06:07:58 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:07:58|  9  10  80   0   0| 551M 4347M  143M 2827M|7472B 8274B|   0     0 |   0     0 |3384  5646 |0.90 0.74 0.49|1.0   0 133|   0     0 |systemd              1    5.0%   0    0 |bash                 2056  479k5628B1.0%|mysqld       173M|   0     0 |  14    6    0    4    0
Mar 31 06:07:59 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:07:59| 15  12  73   0   0| 573M 4325M  143M 2827M|7622B   11k|   0     0 |   0     0 |1752  3104 |0.90 0.74 0.49|1.0   0 220|   0     0 |keystone-manage      25461 13%5529k  79k|keystone-manage      254615529k  79k 13%|mysqld       173M|   0     0 |  14    6    0    6    0
Mar 31 06:08:00 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:08:00| 22   3  74   1   0| 615M 4281M  143M 2828M|6927B 7952B| 192k    0 |13.0     0 | 584   989 |0.91 0.74 0.49|1.0   0   0|   0     0 |keystone-manage      25461 24%  11M 565k|keystone-manage      25461  11M 565k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Mar 31 06:08:01 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:08:01| 12   4  72  13   0| 633M 4262M  143M 2830M|  15k   96k|  12k   10M|1.00   710 |3425  7996 |0.91 0.74 0.49|  0 1.0   0|   0     0 |keystone-manage      254617.0% 265k 136k|keystone-manage      25461 265k 136k7.0%|mysqld       189M|   0     0 |  14    8    0    6    0
Mar 31 06:08:02 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:08:02|  8   5  73  15   0| 637M 4190M  144M 2894M|8039B   34k|   0    73M|   0   800 |3699  8086 |0.91 0.74 0.49|1.0   0   0|   0     0 |mysqld               234306.5%   0    0 |tail                 22599  31k  31k  0%|mysqld       193M|   0     0 |  14    8    0    6    0
Mar 31 06:08:03 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:08:03| 10   6  71  14   0| 640M 4187M  144M 2895M|8787B 5900B|   0    27M|   0   940 |3808  9846 |0.91 0.74 0.49|2.0   0   0|   0     0 |mysqld               234306.5%   0    0 |keystone-manage      25461  35k  19k5.0%|mysqld       195M|   0     0 |  14    8    0    6    0
Mar 31 06:08:04 cloud-provider-iscsi-0000000085 dstat.sh[24149]: 31-03 06:08:04| 15   5  69  11   0| 641M 4184M  145M 2896M|7609B 7100B|   0  7824k|   0   651 |5396    11k|0.91 0.74 0.49|1.0 1.0   0|   0     0 |keystone-manage      254618.8%  40k 290k|python3.6            5806  272k 567k1.8%|mysqld       196M|   0     0 |  14    8    0    6    0
