"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000122",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 11:55:49 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 11:55:49,3.431,1.171,94.721,0.626,0.050,440684544,4664504320,152571904,2860412928,0,0,81383.428,2155054.714,2.919,18.734,736.024,1171.820,1.150,0.870,0.600,2,0,15.072,0,0,12,3,0,4,0
01-04 11:55:50,10.997,19.949,69.054,0,0,441679872,4662697984,152584192,2860806144,6546,1944,24576,110592,1,10,2774,5319,1.150,0.870,0.600,1,0,519,0,0,12,3,0,4,0
01-04 11:55:51,13.602,21.914,64.484,0,0,441946112,4661993472,152584192,2861252608,9060,2160,0,28672,0,7,3626,5537,1.150,0.870,0.600,2,0,335,0,0,12,3,0,4,0
01-04 11:55:52,9.320,17.128,73.300,0,0.252,574091264,4529377280,152584192,2989273088,15752,2160,0,0,0,0,3931,5856,1.150,0.870,0.600,2,0,298,0,0,14,5,0,4,0
01-04 11:55:53,19.750,5.750,73.500,1,0,616521728,4486807552,152588288,2989375488,8459,2160,98304,0,4,0,1034,1365,1.150,0.870,0.600,1,0,52,0,0,14,5,0,6,0
01-04 11:55:54,20.854,3.015,73.116,3.015,0,653795328,4448174080,152604672,2990718976,14922,2106,110592,1699840,10,25,951,1748,1.220,0.880,0.610,1,0,0,0,0,14,7,0,6,0
01-04 11:55:55,9.045,5.025,72.362,13.317,0.251,661819392,4437708800,153231360,2992402432,5944,2256,0,12242944,0,1017,4508,9375,1.220,0.880,0.610,0,1,0,0,0,14,7,0,6,0
01-04 11:55:56,4.304,3.797,69.873,22.025,0,664186880,4365611008,153468928,3060416512,5427,2106,0,88547328,0,564,1922,4206,1.220,0.880,0.610,0,1,0,0,0,14,7,0,6,0
01-04 11:55:57,10.606,3.788,71.970,13.636,0,667213824,4361453568,153915392,3060961280,7240,2214,0,9601024,0,800,3059,9090,1.220,0.880,0.610,0,3,4,0,0,14,7,0,6,0
01-04 11:55:58,13.151,4.715,62.283,19.603,0.248,668344320,4359278592,154300416,3061587968,6067,2160,0,7839744,0,573,3084,8324,1.220,0.880,0.610,1,0,0,0,0,14,7,0,6,0
01-04 11:55:59,9.873,3.038,72.658,14.430,0,670142464,4356235264,154746880,3062345728,6924,1944,0,8871936,0,698,3142,8723,1.280,0.900,0.610,0,1,0,0,0,14,7,0,6,0
01-04 11:56:00,11.364,4.040,71.465,12.879,0.253,672239616,4353122304,155295744,3062779904,7816,2160,0,9822208,0,761,4042,9833,1.280,0.900,0.610,0,1,0,0,0,14,7,0,6,0
01-04 11:56:01,19.849,5.528,65.829,8.794,0,673669120,4350267392,155582464,3063869440,6840,2160,0,72777728,0,774,4648,12973,1.280,0.900,0.610,1,0,0,0,0,14,7,0,6,0
01-04 11:56:02,13.740,5.852,70.229,10.178,0,675614720,4346802176,156037120,3064926208,11301,2160,0,8196096,0,640,5978,13386,1.280,0.900,0.610,0,1,0,0,0,14,7,0,6,0
01-04 11:56:03,16.792,4.010,71.178,7.769,0.251,675672064,4346146816,156377088,3065143296,7426,2160,0,7565312,0,540,4824,11622,1.280,0.900,0.610,1,0,0,0,0,14,7,0,6,0
01-04 11:56:04,19.395,7.305,71.537,1.763,0,641085440,4380213248,156405760,3065622528,8260,2160,0,6782976,0,71,1470,2178,1.340,0.920,0.620,1,0,78,0,0,14,5,0,7,0
01-04 11:56:05,23.426,2.771,70.529,3.023,0.252,613605376,4407087104,156422144,3066191872,7631,2160,0,5513216,0,19,852,1245,1.340,0.920,0.620,1,1,11,0,0,14,5,0,7,0
01-04 11:56:06,23.559,2.757,71.679,2.005,0,662704128,4356501504,156540928,3067527168,15944,2160,0,8024064,0,191,1305,1667,1.340,0.920,0.620,1,0,0,0,0,14,5,0,7,0
01-04 11:56:07,15.113,13.854,71.033,0,0,602996736,4416204800,156549120,3067523072,7634,2160,0,114688,0,10,2031,3796,1.340,0.920,0.620,1,0,294,0,0,14,5,0,7,0
01-04 11:56:08,12.821,20.769,66.410,0,0,604311552,4413685760,156553216,3068854272,8525,2160,0,139264,0,16,3227,6840,1.340,0.920,0.620,1,0,408,0,0,14,5,0,7,0
01-04 11:56:09,35.088,14.286,50.376,0,0.251,659681280,4357910528,156553216,3069313024,6888,1944,0,0,0,0,3185,4881,1.390,0.940,0.630,2,0,172,0,0,14,7,0,7,0
01-04 11:56:10,47.382,3.242,49.127,0.249,0,745525248,4271685632,156561408,3069681664,8085,2254,151552,102400,5,21,943,782,1.390,0.940,0.630,2,0,0,0,0,14,7,0,7,0
01-04 11:56:11,36.020,13.098,50.882,0,0,780513280,4234178560,156561408,3071840256,7865,2160,0,3076096,0,172,2677,8173,1.390,0.940,0.630,1,0,169,0,0,14,5,0,8,0
01-04 11:56:12,23.250,2.750,73.750,0,0.250,839766016,4174557184,156561408,3072053248,8638,2106,0,0,0,0,774,890,1.390,0.940,0.630,1,0,0,0,0,14,5,0,8,0
01-04 11:56:13,22.306,4.261,72.431,1.003,0,858087424,4156239872,156622848,3072024576,7449,2214,0,2523136,0,134,1589,2291,1.390,0.940,0.630,1,0,2,0,0,14,11,0,8,0
01-04 11:56:14,21.859,4.774,73.116,0.251,0,811876352,4202377216,156631040,3072090112,6336,2160,0,2252800,0,69,1128,1441,1.360,0.940,0.630,1,0,53,0,0,14,5,0,11,0
01-04 11:56:15,22.500,3.250,72.500,1.500,0.250,838283264,4175835136,156639232,3072176128,6713,2160,73728,114688,18,6,1106,1520,1.360,0.940,0.630,1,0,1,0,0,14,25,0,13,0
01-04 11:56:16,22.418,4.282,73.300,0,0,825536512,4188565504,156639232,3072192512,7261,2106,0,0,0,0,1165,1727,1.360,0.940,0.630,1,0,61,0,0,14,29,0,16,0
01-04 11:56:17,22.055,6.266,69.925,1.754,0,802963456,4210970624,156647424,3072339968,10036,2214,0,14061568,0,390,1686,2329,1.360,0.940,0.630,1,0,101,0,0,14,29,0,21,0
01-04 11:56:18,22.111,3.769,74.121,0,0,838250496,4175675392,156647424,3072348160,5999,2160,0,0,0,0,610,761,1.360,0.940,0.630,1,0,1,0,0,14,29,0,21,0
01-04 11:56:19,23.058,3.759,72.932,0,0.251,814411776,4199333888,156647424,3072520192,6324,1944,0,0,0,0,1264,2157,1.330,0.940,0.630,1,0,22,0,0,14,29,0,29,0
01-04 11:56:20,22.980,3.535,73.485,0,0,842866688,4170653696,156647424,3072745472,15314,2106,0,81920,0,8,1328,2103,1.330,0.940,0.630,1,0,2,0,0,14,31,0,36,0
01-04 11:56:21,22.475,4.798,72.727,0,0,831922176,4181557248,156651520,3072761856,15335,2214,0,86016,0,6,950,1365,1.330,0.940,0.630,1,0,72,0,0,14,29,0,37,0
01-04 11:56:22,23.116,4.271,72.613,0,0,795807744,4217507840,156655616,3072921600,10197,2106,0,3035136,0,39,1607,2664,1.330,0.940,0.630,2,0,68,0,0,14,29,0,45,0
01-04 11:56:23,22.362,3.769,73.618,0.251,0,838942720,4174368768,156655616,3072925696,9971,2160,0,348160,0,15,846,1048,1.330,0.940,0.630,1,0,33,0,0,14,29,0,45,0
01-04 11:56:24,21.197,6.234,72.319,0,0.249,814080000,4199202816,156659712,3072946176,8320,2160,0,45056,0,6,1253,1986,1.310,0.940,0.640,1,0,69,0,0,14,29,0,50,0
01-04 11:56:25,24,2,73.750,0.250,0,845729792,4167544832,156667904,3072946176,8053,2214,0,49152,0,3,962,1508,1.310,0.940,0.640,1,0,2,0,0,14,31,0,55,0
