-- Logs begin at Wed 2020-04-01 10:47:01 UTC, end at Wed 2020-04-01 12:23:28 UTC. --
Apr 01 11:55:49 cloud-provider-iscsi-0000000122 systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 11:55:49 cloud-provider-iscsi-0000000122 dstat.sh[29933]: [286B blob data]
Apr 01 11:55:49 cloud-provider-iscsi-0000000122 dstat.sh[29933]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 11:55:49 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:49|  3   1  95   1   0| 420M 4448M  146M 2728M|   0     0 |  79k 2105k|2.92  18.7 | 736  1172 |1.15 0.87 0.60|2.0   0  15|   0     0 |systemd              1    0.1%   0    0 |bash                 2460 1504k1397k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 11:55:50 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:50| 11  20  69   0   0| 421M 4447M  146M 2728M|6546B 1944B|  24k  108k|1.00  10.0 |2781  5335 |1.15 0.87 0.60|3.0   0 520|   0     0 |bash                 2460 3.2%2239k  33k|bash                 2460 2239k  33k3.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 11:55:51 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:51| 14  22  64   0   0| 421M 4446M  146M 2729M|9060B 2160B|   0    28k|   0  7.00 |3696  5538 |1.15 0.87 0.60|1.0   0 335|   0     0 |systemd              1    5.5%   0    0 |bash                 2460 2538k  20k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 11:55:52 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:52|  9  17  73   0   0| 547M 4320M  146M 2851M|  16k 2160B|   0     0 |   0     0 |3861  5853 |1.15 0.87 0.60|1.0   0 298|   0     0 |systemd              1    4.2%   0    0 |bash                 2460  558k  14k2.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 01 11:55:53 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:53| 20   6  74   1   0| 588M 4279M  146M 2851M|8136B 2160B|  96k    0 |4.00     0 |1031  1354 |1.15 0.87 0.60|1.0   0  51|   0     0 |keystone-manage      31247 21%9798k 125k|keystone-manage      312479798k 125k 21%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 01 11:55:54 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:54| 21   3  73   3   0| 624M 4242M  146M 2852M|  15k 2106B| 108k 1660k|10.0  25.0 | 952  1749 |1.22 0.88 0.61|1.0   0   0|   0     0 |keystone-manage      31247 21%6758k 618k|keystone-manage      312476758k 618k 21%|mysqld       184M|   0     0 |  14    7    0    6    0
Apr 01 11:55:55 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:55|  9   5  72  13   0| 631M 4232M  146M 2854M|5944B 2256B|   0    12M|   0  1017 |4505  9374 |1.22 0.88 0.61|  0 1.0   0|   0     0 |mysqld               292146.5%   0    0 |keystone-manage      31247  47k  44k4.0%|mysqld       191M|   0     0 |  14    7    0    6    0
Apr 01 11:55:56 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:56|  4   4  70  22   0| 633M 4163M  146M 2919M|5427B 2106B|   0    84M|   0   564 |1921  4205 |1.22 0.88 0.61|  0 1.0   0|   0     0 |mysqld               292143.8%   0    0 |keystone-manage      31247  17k  10k2.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 01 11:55:57 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:57| 11   4  72  14   0| 636M 4159M  147M 2919M|7240B 2214B|   0  9376k|   0   800 |3060  9090 |1.22 0.88 0.61|  0 3.0 4.0|   0     0 |mysqld               292146.5%   0    0 |keystone-manage      31247  33k  18k4.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 01 11:55:58 cloud-provider-iscsi-0000000122 dstat.sh[29933]: 01-04 11:55:58| 13   5  62  19   0| 637M 4157M  147M 2920M|6067B 2160B|   0  7656k|   0   573 |3091  8338 |1.22 0.88 0.61|1.0   0   0|   0     0 |keystone-manage      312478.2%  26k 279k|python3.6            6212  270k 562k2.0%|mysqld       196M|   0     0 |  14    7    0    6    0
