"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000155",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Apr 2020 15:44:12 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-04 15:44:12,2.245,0.765,96.583,0.363,0.044,443277312,4665888768,150392832,2862292992,0,0,57266.748,1527153.847,2.042,13.223,533.872,855.495,0.740,0.700,0.540,2,0,9.661,0,0,12,3,0,4,0
03-04 15:44:13,9.091,21.970,68.182,0.253,0.505,443248640,4665167872,150392832,2862657536,7562,2160,24576,253952,1,8,2840,5225,0.740,0.700,0.540,1,0,497,0,0,12,3,0,4,0
03-04 15:44:14,13.776,20.408,65.816,0,0,445153280,4662661120,150392832,2863173632,16737,2160,0,28672,0,7,3304,6837,0.740,0.700,0.540,2,0,369,0,0,12,3,0,4,0
03-04 15:44:15,7.614,9.645,82.741,0,0,575524864,4531789824,150392832,2991341568,9633,1998,0,335872,0,18,2775,4110,0.740,0.700,0.540,1,0,181,0,0,14,5,0,4,0
03-04 15:44:16,18,9.500,72.250,0,0.250,605982720,4501262336,150396928,2991370240,12114,2214,0,0,0,0,1528,2478,0.760,0.710,0.540,1,0,175,0,0,14,5,0,6,0
03-04 15:44:17,22.111,3.518,73.869,0.503,0,648204288,4457713664,150409216,2992685056,8511,2052,208896,0,14,0,798,1379,0.760,0.710,0.540,1,0,0,0,0,14,7,0,6,0
03-04 15:44:18,11.055,5.276,70.603,12.814,0.251,663891968,4439642112,151085056,2994311168,8594,2160,0,13975552,0,1009,5055,9468,0.760,0.710,0.540,1,0,0,0,0,14,7,0,6,0
03-04 15:44:19,6.281,4.020,73.116,16.332,0.251,666550272,4366880768,151343104,3062620160,11667,2202,0,73748480,0,556,3084,5777,0.760,0.710,0.540,0,1,2,0,0,14,7,0,6,0
03-04 15:44:20,12.500,3.827,69.898,13.776,0,669765632,4362461184,151932928,3063074816,7168,2160,0,12062720,0,932,5359,9510,0.760,0.710,0.540,0,2,0,0,0,14,7,0,6,0
03-04 15:44:21,9.343,7.071,55.051,28.535,0,670400512,4360888320,152137728,3063787520,8569,2160,0,81526784,0,1008,3077,5226,0.940,0.750,0.550,2,0,0,0,0,14,7,0,6,0
03-04 15:44:22,10.777,3.759,71.429,13.784,0.251,672497664,4357472256,152846336,3064418304,14759,2160,0,8052736,0,636,3734,8653,0.940,0.750,0.550,2,0,0,0,0,14,7,0,6,0
03-04 15:44:23,11.392,4.304,71.646,12.658,0,674295808,4354633728,153423872,3064807424,6598,2160,0,9437184,0,733,4572,9145,0.940,0.750,0.550,0,1,0,0,0,14,7,0,6,0
03-04 15:44:24,19.849,4.020,68.844,7.035,0.251,676323328,4351135744,153706496,3065958400,18218,2160,0,6340608,0,462,4616,11943,0.940,0.750,0.550,1,0,0,0,0,14,7,0,6,0
03-04 15:44:25,14.213,5.584,70.305,9.898,0,677593088,4348424192,154103808,3066916864,9627,2106,0,7360512,0,579,4701,11989,0.940,0.750,0.550,0,1,0,0,0,14,7,0,6,0
