-- Logs begin at Fri 2020-04-03 14:06:47 UTC, end at Fri 2020-04-03 16:15:03 UTC. --
Apr 03 15:44:12 cloud-provider-iscsi-0000000155 systemd[1]: Started Devstack devstack@dstat.service.
Apr 03 15:44:12 cloud-provider-iscsi-0000000155 dstat.sh[24228]: [286B blob data]
Apr 03 15:44:12 cloud-provider-iscsi-0000000155 dstat.sh[24228]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 03 15:44:12 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:12|  2   1  97   0   0| 423M 4450M  143M 2730M|   0     0 |  56k 1491k|2.04  13.2 | 534   855 |0.74 0.70 0.54|2.0   0 9.7|   0     0 |systemd              1    0.0%   0    0 |bash                 2110 1024k 965k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 15:44:13 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:13|  9  22  68   0   1| 423M 4449M  143M 2730M|7562B 2160B|  24k  248k|1.00  8.00 |2847  5250 |0.74 0.70 0.54|2.0   0 499|   0     0 |bash                 2110 3.5%2016k  32k|bash                 2110 2016k  32k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 15:44:14 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:14| 14  20  66   0   0| 425M 4447M  143M 2731M|  16k 2160B|   0    28k|   0  7.00 |3348  6817 |0.74 0.70 0.54|1.0   0 367|   0     0 |systemd              1    5.8%   0    0 |bash                 2110 2638k  22k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 15:44:15 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:15|  8  10  82   0   0| 549M 4322M  143M 2853M|9707B 2106B|   0   328k|   0  18.0 |2739  4126 |0.74 0.70 0.54|1.0   0 184|   0     0 |systemd              1    3.2%   0    0 |bash                 2110  519k7472B1.2%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 03 15:44:16 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:16| 18  10  72   0   0| 578M 4293M  143M 2853M|  12k 2106B|   0     0 |   0     0 |1517  2459 |0.76 0.71 0.54|1.0   0 172|   0     0 |keystone-manage      25548 15%6847k 125k|keystone-manage      255486847k 125k 15%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 03 15:44:17 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:17| 22   3  74   1   0| 618M 4251M  143M 2854M|8371B 2160B| 204k    0 |14.0     0 | 820  1461 |0.76 0.71 0.54|1.0   0   0|   0     0 |keystone-manage      25548 24%9708k 575k|keystone-manage      255489708k 575k 24%|mysqld       177M|   0     0 |  14    7    0    6    0
Apr 03 15:44:18 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:18| 11   5  71  13   0| 633M 4234M  144M 2856M|8446B 2052B|   0    13M|   0  1009 |5038  9396 |0.76 0.71 0.54|1.0   0   0|   0     0 |mysqld               235047.8%   0    0 |python3.6            5866   61k 128k0.2%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 03 15:44:19 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:19|  6   4  73  17   0| 636M 4165M  144M 2921M|  11k 2202B|   0    70M|   0   556 |3078  5769 |0.76 0.71 0.54|  0 1.0 2.0|   0     0 |mysqld               235044.5%   0    0 |keystone-manage      25548  20k  12k3.2%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 03 15:44:20 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:20| 13   4  70  14   0| 639M 4161M  145M 2921M|7168B 2160B|   0    12M|   0   933 |5358  9508 |0.76 0.71 0.54|  0 2.0   0|   0     0 |mysqld               235048.2%   0    0 |keystone-manage      25548  37k  21k5.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 03 15:44:21 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:21|  9   7  55  28   0| 639M 4159M  145M 2922M|8569B 2160B|   0    78M|   0  1014 |3104  5259 |0.94 0.75 0.55|1.0 1.0   0|   0     0 |mysqld               235047.0%   0    0 |python3.6            5866  268k 559k1.2%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 03 15:44:22 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:22| 11   4  71  14   0| 641M 4156M  146M 2922M|  14k 2160B|   0  7864k|   0   633 |3730  8662 |0.94 0.75 0.55|1.0   0   0|   0     0 |mysqld               235046.2%   0    0 |keystone-manage      25548  34k  23k5.5%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 03 15:44:23 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:23| 11   4  71  13   0| 643M 4153M  146M 2923M|6598B 2160B|   0  9216k|   0   732 |4562  9121 |0.94 0.75 0.55|  0 1.0   0|   0     0 |mysqld               235047.0%   0    0 |keystone-manage      25548  30k  19k5.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 03 15:44:24 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:24| 20   4  69   7   0| 645M 4150M  147M 2924M|  18k 2160B|   0  6152k|   0   459 |4628    12k|0.94 0.75 0.55|1.0 1.0   0|   0     0 |keystone-manage      25548 14%  58k 362k|python3.6            5866  339k 707k2.0%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 03 15:44:25 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:25| 14   6  70  10   0| 646M 4147M  147M 2925M|9535B 2106B|   0  7316k|   0   588 |4711    12k|0.94 0.75 0.55|  0 1.0   0|   0     0 |keystone-manage      255489.5%  42k 348k|python3.6            5866  333k 694k1.8%|mysqld       201M|   0     0 |  14    7    0    6    0
Apr 03 15:44:26 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:26| 14   5  70  11   0| 647M 4146M  147M 2925M|7724B 2160B|   0    22M|   0   727 |4307  9550 |1.03 0.77 0.56|1.0   0   0|   0     0 |keystone-manage      255488.8%  47k  31k|keystone-manage      25548  47k  31k8.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 03 15:44:27 cloud-provider-iscsi-0000000155 dstat.sh[24228]: 03-04 15:44:27| 20   5  74   1   0| 603M 4189M  147M 2925M|6560B 2052B|   0   392k|   0  24.0 |1283  1964 |1.03 0.77 0.56|1.0   0  78|   0     0 |keystone-manage      25628 14%6695k  37k|bash                 2110   17M1881k0.8%|mysqld       200M|   0     0 |  14    5    0    7    0
