"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000110",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 00:41:04 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 00:41:04,1.419,0.488,97.853,0.197,0.043,440233984,4696178688,151490560,2834386944,0,0,36041.606,958589.195,1.286,8.438,392.979,587.546,0.700,0.650,0.460,2,0,6.072,0,0,12,3,0,4,0
01-04 00:41:05,9.367,22.025,68.354,0,0.253,441016320,4694900736,151490560,2834628608,5601,2052,24576,180224,1,10,3007,5346,0.700,0.650,0.460,3,0,495,0,0,12,3,0,4,0
01-04 00:41:06,11.705,21.628,66.667,0,0,442490880,4692905984,151490560,2835255296,7028,2160,0,28672,0,7,3389,6934,0.700,0.650,0.460,1,0,358,0,0,12,3,0,4,0
01-04 00:41:07,8.564,9.824,81.360,0,0.252,573341696,4561530880,151490560,2963193856,7062,2214,0,0,0,0,2994,4188,0.700,0.650,0.460,1,0,101,0,0,14,5,0,4,0
01-04 00:41:08,16.583,11.307,72.111,0,0,597962752,4536832000,151498752,2963210240,6593,2160,0,0,0,0,1842,2983,0.700,0.650,0.460,1,0,254,0,0,14,5,0,6,0
01-04 00:41:09,21.053,3.258,73.434,2.005,0.251,639377408,4494266368,151511040,2964348928,7596,2052,196608,0,13,0,712,790,0.730,0.660,0.470,1,0,0,0,0,14,5,0,6,0
01-04 00:41:10,9.343,5.051,73.485,12.121,0,658481152,4473028608,151805952,2966110208,7836,2106,12288,10104832,1,593,3194,5331,0.730,0.660,0.470,2,0,0,0,0,14,7,0,6,0
01-04 00:41:11,9.045,5.276,72.111,13.317,0.251,662974464,4398731264,152256512,3033989120,7213,2214,0,76095488,0,789,3742,6877,0.730,0.660,0.470,0,0,0,0,0,14,7,0,6,0
01-04 00:41:12,12.405,5.570,70.127,11.899,0,666087424,4393918464,152977408,3034857472,7667,2106,0,12181504,0,1012,5592,10156,0.730,0.660,0.470,0,1,2,0,0,14,7,0,6,0
01-04 00:41:13,16.541,5.263,69.173,8.772,0.251,668610560,4389232640,153718784,3036229632,8125,2160,0,11067392,0,886,5408,13706,0.730,0.660,0.470,0,1,0,0,0,14,7,0,6,0
01-04 00:41:14,11.364,4.798,70.707,12.879,0.253,671346688,4385390592,154447872,3036528640,8764,2106,0,10924032,0,844,4308,9062,0.830,0.680,0.470,1,0,0,0,0,14,7,0,6,0
01-04 00:41:15,23.678,6.045,66.247,4.030,0,672849920,4381872128,154804224,3038134272,8285,2160,0,6553600,0,462,6058,15981,0.830,0.680,0.470,2,0,0,0,0,14,7,0,6,0
01-04 00:41:16,15.657,5.808,64.899,13.384,0.253,674095104,4379312128,155283456,3038871552,15552,2160,0,93356032,0,1195,4305,10820,0.830,0.680,0.470,1,0,0,0,0,14,7,0,6,0
01-04 00:41:17,17.884,7.557,72.040,2.519,0,610484224,4442423296,155512832,3039129600,6624,2106,0,5025792,0,360,3152,8270,0.830,0.680,0.470,1,0,78,0,0,14,5,0,7,0
01-04 00:41:18,23.559,3.008,70.927,2.256,0.251,657760256,4394672128,155545600,3039551488,11758,2106,0,7028736,0,69,919,1333,0.830,0.680,0.470,1,0,0,0,0,14,5,0,7,0
01-04 00:41:19,22.025,4.051,70.127,3.797,0,628973568,4423450624,155549696,3039555584,8946,2160,0,3575808,0,68,910,1120,0.840,0.690,0.480,1,1,11,0,0,14,5,0,7,0
01-04 00:41:20,23.810,2.757,66.416,7.018,0,670625792,4379815936,155693056,3041439744,7845,2160,0,11022336,0,184,1155,1710,0.840,0.690,0.480,1,1,0,0,0,14,5,0,7,0
01-04 00:41:21,10.777,20.551,67.920,0.501,0.251,602386432,4447043584,155693056,3042394112,6668,2202,0,376832,0,29,2727,5028,0.840,0.690,0.480,2,0,435,0,0,14,5,0,7,0
01-04 00:41:22,13.854,21.159,64.736,0,0.252,602861568,4446126080,155697152,3042799616,7486,2160,0,204800,0,12,3416,6547,0.840,0.690,0.480,1,0,300,0,0,14,5,0,7,0
01-04 00:41:23,43.434,11.364,45.202,0,0,686714880,4362133504,155697152,3043291136,6830,2052,0,0,0,0,1723,2419,0.840,0.690,0.480,2,0,139,0,0,14,7,0,7,0
01-04 00:41:24,46.384,4.489,48.379,0.499,0.249,755818496,4291543040,155705344,3044524032,6512,2160,151552,237568,5,36,1477,1869,0.940,0.710,0.490,3,0,0,0,0,14,7,0,7,0
01-04 00:41:25,35.840,11.529,52.632,0,0,780189696,4265635840,155705344,3045920768,7260,2160,0,0,0,0,3812,6156,0.940,0.710,0.490,1,0,167,0,0,14,5,0,8,0
