"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000147",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Apr 2020 16:12:39 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-04 16:12:39,0.826,0.284,98.758,0.094,0.038,440377344,4665925632,153120768,2858627072,0,0,19427.221,506527.590,0.698,4.487,302.711,380.567,0.500,0.600,0.450,2,0,3.592,0,0,12,3,0,4,0
02-04 16:12:40,9.645,21.320,69.036,0,0,440340480,4665020416,153120768,2859175936,11060,2160,24576,114688,1,8,2780,4881,0.700,0.640,0.460,4,0,461,0,0,12,3,0,4,0
02-04 16:12:41,13.283,21.303,65.163,0,0.251,440446976,4664586240,153120768,2859520000,6933,2106,0,36864,0,9,2974,5196,0.700,0.640,0.460,3,0,380,0,0,12,3,0,4,0
02-04 16:12:42,11.168,13.706,74.873,0,0.254,572805120,4531752960,153120768,2987581440,6250,2214,0,0,0,0,3420,5522,0.700,0.640,0.460,2,0,202,0,0,14,5,0,4,0
02-04 16:12:43,17.085,10.050,72.613,0.251,0,606470144,4497653760,153124864,2987978752,6188,2160,73728,0,1,0,1549,2371,0.700,0.640,0.460,2,0,178,0,0,14,5,0,6,0
02-04 16:12:44,23.192,2.494,73.067,0.998,0.249,645021696,4457938944,153137152,2989129728,7526,2160,135168,405504,13,20,713,1322,0.700,0.640,0.460,5,0,0,0,0,14,7,0,6,0
02-04 16:12:45,9.596,5.303,72.475,12.374,0.253,659619840,4441079808,153735168,2990714880,7001,2052,0,12845056,0,967,4416,8118,0.800,0.660,0.470,2,0,0,0,0,14,7,0,6,0
02-04 16:12:46,7.908,4.847,73.214,14.031,0,663257088,4367278080,154124288,3058962432,7403,2052,0,75247616,0,703,3644,6587,0.800,0.660,0.470,2,0,0,0,0,14,7,0,6,0
02-04 16:12:47,11.278,4.762,70.426,13.283,0.251,665149440,4364292096,154656768,3059372032,15302,2160,0,9129984,0,749,4223,9090,0.800,0.660,0.470,2,0,0,0,0,14,7,0,6,0
02-04 16:12:48,15.539,6.266,69.424,8.772,0,667541504,4360572928,155197440,3060121600,7310,2160,0,8028160,0,662,4640,10526,0.800,0.660,0.470,2,0,2,0,0,14,7,0,6,0
02-04 16:12:49,8.440,5.627,69.054,16.624,0.256,669876224,4356894720,155639808,3060998144,16412,2160,0,84770816,0,1094,4235,6304,0.800,0.660,0.470,2,0,0,0,0,14,7,0,6,0
02-04 16:12:50,15.617,5.038,68.010,11.083,0.252,671920128,4353314816,156155904,3061944320,6603,2160,0,8175616,0,647,3393,11149,0.900,0.690,0.480,3,0,0,0,0,14,7,0,6,0
02-04 16:12:51,20.202,5.808,69.192,4.798,0,673521664,4350132224,156446720,3063197696,7579,2160,0,6451200,0,441,5751,15567,0.900,0.690,0.480,2,0,0,0,0,14,7,0,6,0
02-04 16:12:52,13.098,6.297,70.781,9.572,0.252,673746944,4349153280,156901376,3063476224,7318,2106,0,8343552,0,647,4107,8931,0.900,0.690,0.480,2,0,0,0,0,14,7,0,6,0
02-04 16:12:53,11.392,2.278,73.671,12.658,0,664252416,4358393856,157110272,3063508992,9005,2256,0,4427776,0,357,2455,4335,0.900,0.690,0.480,2,0,0,0,0,14,5,0,7,0
02-04 16:12:54,19.298,7.769,71.429,1.253,0.251,643805184,4378312704,157171712,3063951360,6300,2106,0,15769600,0,172,1377,2022,0.900,0.690,0.480,2,0,78,0,0,14,5,0,7,0
02-04 16:12:55,23.750,2.750,73.250,0.250,0,623951872,4397522944,157216768,3064532992,5704,2052,0,7098368,0,74,1046,1500,0.910,0.690,0.480,2,0,11,0,0,14,5,0,7,0
02-04 16:12:56,21.357,5.528,71.608,1.508,0,601333760,4418797568,157315072,3065761792,6402,2106,0,7454720,0,207,1608,2223,0.910,0.690,0.480,3,0,80,0,0,14,5,0,7,0
