-- Logs begin at Fri 2020-03-13 14:41:32 UTC, end at Fri 2020-03-13 16:16:52 UTC. --
Mar 13 16:05:33 cloud-provider1-0000015773 systemd[1]: Started Devstack devstack@dstat.service.
Mar 13 16:05:34 cloud-provider1-0000015773 dstat.sh[30297]: [286B blob data]
Mar 13 16:05:34 cloud-provider1-0000015773 dstat.sh[30297]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 13 16:05:34 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:34|  3   1  95   0   0| 420M 4137M  167M 2994M|   0     0 |  64k 1836k|2.34  17.0 | 613   975 |0.86 0.67 0.49|1.0   0  12|   0     0 |systemd              1    0.1%   0    0 |bash                 1886 1448k1261k0.1%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 13 16:05:35 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:35|  9  21  70   0   0| 420M 4136M  167M 2994M|7682B 2106B|   0    92k|   0  5.00 |2685  4663 |0.86 0.67 0.49|1.0   0 466|   0     0 |bash                 1886 4.0%1579k  29k|bash                 1886 1579k  29k4.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 13 16:05:36 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:36| 13  20  67   0   0| 420M 4136M  167M 2994M|8183B 2052B|   0    36k|   0  9.00 |3282  6062 |0.86 0.67 0.49|2.0   0 384|   0     0 |systemd              1    2.5%   0    0 |bash                 1886 3089k  25k2.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 13 16:05:37 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:37| 12  13  75   0   0| 546M 4010M  167M 3116M|8787B 2106B|   0  3276k|   0  13.0 |3361  4840 |0.79 0.66 0.49|1.0   0 182|   0     0 |systemd              1    8.2%   0    0 |bash                 1886  492k6249B0.8%|mysqld       173M|   0     0 |  14    5    0    3    0
Mar 13 16:05:38 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:38| 18  10  73   0   0| 570M 3986M  167M 3117M|6329B 2214B|   0     0 |   0     0 |1547  2439 |0.79 0.66 0.49|1.0   0 202|   0     0 |keystone-manage      31614 15%5713k  79k|keystone-manage      316145713k  79k 15%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 13 16:05:39 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:39| 20   3  74   3   0| 610M 3945M  167M 3117M|6379B 2160B| 144k    0 |11.0     0 | 667   725 |0.79 0.66 0.49|1.0   0 1.0|   0     0 |keystone-manage      31614 22%  10M 311k|keystone-manage      31614  10M 311k 22%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 13 16:05:40 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:40| 11   3  74  13   0| 631M 3921M  167M 3119M|5985B 2160B|  16k 6856k|2.00   369 |2165  4439 |0.79 0.66 0.49|  0 1.0   0|   0     0 |keystone-manage      316148.8%1885k 450k|keystone-manage      316141885k 450k8.8%|mysqld       187M|   0     0 |  14    7    0    5    0
Mar 13 16:05:41 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:41|  8   6  72  14   0| 636M 3850M  167M 3184M|  15k 2160B|   0    73M|   0   865 |3515  7788 |0.79 0.66 0.49|  0 1.0   0|   0     0 |mysqld               295769.0%   0    0 |keystone-manage      31614  20k  12k4.0%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 13 16:05:42 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:42|  8   4  73  15   0| 637M 3847M  168M 3185M|6582B 2106B|   0  6976k|   0   572 |2704  4906 |0.89 0.68 0.50|  0 1.0   0|   0     0 |keystone-manage      316145.5%  20k  12k|keystone-manage      31614  20k  12k5.5%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 13 16:05:43 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:43| 10   3  71  16   0| 640M 3844M  168M 3185M|6605B 2106B|   0  7536k|   0   633 |2740  7363 |0.89 0.68 0.50|5.0 1.0   0|   0     0 |mysqld               295766.8%   0    0 |keystone-manage      31614  27k  16k4.0%|mysqld       195M|   0     0 |  14    7    0    5    0
Mar 13 16:05:44 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:44| 14   5  71  11   0| 641M 3841M  169M 3186M|7491B 2052B|   0  6496k|   0   555 |4317  8236 |0.89 0.68 0.50|1.0   0   0|   0     0 |keystone-manage      316148.5%  36k 307k|python               5806  290k 603k1.8%|mysqld       196M|   0     0 |  14    7    0    5    0
Mar 13 16:05:45 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:45|  9   4  72  15   0| 643M 3838M  169M 3186M|6257B 2160B|   0  7520k|   0   582 |3601  5479 |0.89 0.68 0.50|2.0   0   0|   0     0 |mysqld               295765.5%   0    0 |keystone-manage      31614  31k  19k5.5%|mysqld       197M|   0     0 |  14    7    0    5    0
Mar 13 16:05:46 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:46| 10   4  71  15   0| 645M 3835M  170M 3187M|5639B 2160B|   0  8796k|   0   743 |4286  8888 |0.89 0.68 0.50|1.0   0 2.0|   0     0 |mysqld               295766.5%   0    0 |keystone-manage      31614  18k  15k4.8%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 13 16:05:47 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:47| 23   6  65   6   0| 646M 3832M  170M 3189M|7665B 2202B|   0    38M|   0   678 |6500    18k|1.06 0.72 0.51|1.0   0   0|   0     0 |keystone-manage      31614 16%  78k 740k|python               5806  713k1482k3.0%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 13 16:05:48 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:48| 10   4  71  14   0| 647M 3830M  170M 3189M|6171B 2202B|   0  8176k|   0   676 |4163  9392 |1.06 0.72 0.51|1.0   0   0|   0     0 |mysqld               295766.8%   0    0 |keystone-manage      31614  28k  19k5.8%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 13 16:05:49 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:49| 16   5  72   8   0| 574M 3903M  171M 3189M|7241B 2160B|   0  5756k|   0   418 |3361  9618 |1.06 0.72 0.51|3.0   0  27|   0     0 |mysqld               295764.8%   0    0 |bash                 1886   18M2007k0.2%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 13 16:05:50 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:50| 21   6  73   0   0| 616M 3860M  171M 3189M|8505B 2106B|   0  6632k|   0  72.0 |1138  1753 |1.06 0.72 0.51|1.0   0  52|   0     0 |keystone-manage      31695 23%  10M  73k|keystone-manage      31695  10M  73k 23%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 13 16:05:51 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:51| 23   3  71   3   0| 583M 3893M  171M 3190M|8634B 2214B|   0  6916k|   0  72.0 |1121  1625 |1.06 0.72 0.51|1.0   0  11|   0     0 |keystone-manage      317073.8%2161k  37k|bash                 1886   17M  76k  0%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 13 16:05:52 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:52| 24   4  70   3   0| 624M 3850M  171M 3191M|  16k 2106B|   0    39M|   0   553 |1743  1770 |1.21 0.76 0.52|1.0   0 1.0|   0     0 |keystone-manage      31707 25%  10M  37k|keystone-manage      31707  10M  37k 25%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 13 16:05:53 cloud-provider1-0000015773 dstat.sh[30297]: 13-03 16:05:53| 17  10  73   0   0| 573M 3901M  171M 3191M|  19k 1944B|   0   756k|   0  7.00 |1722  2725 |1.21 0.76 0.52|1.0   0 204|   0     0 |bash                 1886 2.2%  17M  89k|bash                 1886   17M  89k2.2%|mysqld       200M|   0     0 |  14    5    0    6    0
