"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000195",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","08 Apr 2020 10:04:21 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
08-04 10:04:21,3.974,1.369,94.139,0.460,0.058,445927424,4680486912,151257088,2841006080,0,0,95724.934,2534220.738,3.442,21.845,819.941,1351.113,0.650,0.680,0.480,2,0,17.710,0,0,12,3,0,4,0
08-04 10:04:22,9.769,21.337,68.380,0.257,0.257,445837312,4679606272,151277568,2841526272,9236,2160,24576,307200,1,24,2750,5471,0.650,0.680,0.480,1,0,539,0,0,12,3,0,4,0
08-04 10:04:23,13.671,18.987,67.089,0,0.253,446345216,4678692864,151277568,2841890816,11116,2148,0,24576,0,6,3678,6352,0.650,0.680,0.480,5,0,300,0,0,12,3,0,4,0
08-04 10:04:24,10.687,15.267,74.046,0,0,578592768,4545880064,151277568,2970001408,7256,2160,0,0,0,0,3835,7251,0.650,0.680,0.480,1,0,350,0,0,14,5,0,6,0
08-04 10:04:25,20.948,3.741,73.815,1.247,0.249,625688576,4498690048,151281664,2970091520,8033,2214,98304,0,4,0,732,819,0.680,0.680,0.480,1,0,1,0,0,14,5,0,6,0
08-04 10:04:26,15.578,2.764,73.869,7.789,0,660754432,4461912064,151375872,2971684864,10482,2160,110592,2715648,10,91,1621,3041,0.680,0.680,0.480,0,1,0,0,0,14,7,0,6,0
08-04 10:04:27,2.256,1.754,74.185,21.805,0,662077440,4459708416,151609344,2972332032,17496,2160,0,3780608,0,275,1586,2214,0.680,0.680,0.480,0,1,0,0,0,14,7,0,6,0
08-04 10:04:28,4.950,4.950,69.554,20.297,0.248,664940544,4455686144,151945216,2973028352,6727,1998,0,6316032,0,584,1884,5632,0.680,0.680,0.480,2,0,0,0,0,14,7,0,6,0
08-04 10:04:29,5.514,3.509,72.682,18.296,0,666992640,4384653312,152133632,3040280576,7619,2106,0,70381568,0,289,1691,3930,0.680,0.680,0.480,0,1,0,0,0,14,7,0,6,0
08-04 10:04:30,3.491,1.746,73.815,20.948,0,668012544,4382605312,152342528,3041013760,8046,2160,0,3190784,0,256,1492,2766,0.780,0.700,0.490,2,1,0,0,0,14,7,0,6,0
08-04 10:04:31,6.716,3.980,69.900,19.154,0.249,669335552,4380532736,152608768,3041476608,11072,2160,0,4177920,0,340,2355,4336,0.780,0.700,0.490,1,0,2,0,0,14,7,0,6,0
08-04 10:04:32,5.263,4.762,69.925,20.050,0,670441472,4379111424,152883200,3041509376,9614,2160,0,4841472,0,398,2562,4857,0.780,0.700,0.490,0,1,0,0,0,14,7,0,6,0
08-04 10:04:33,5.290,4.786,65.995,23.678,0.252,671260672,4377870336,153088000,3041681408,7071,2160,0,86859776,0,698,2306,3863,0.780,0.700,0.490,1,1,0,0,0,14,7,0,6,0
08-04 10:04:34,10.526,4.261,70.426,14.787,0,672268288,4375842816,153473024,3042279424,8086,2160,0,4554752,0,359,3465,7967,0.780,0.700,0.490,1,0,0,0,0,14,7,0,6,0
08-04 10:04:35,10.276,4.261,71.178,14.035,0.251,673824768,4373143552,153956352,3042914304,6681,2106,0,7589888,0,592,4046,7038,0.800,0.710,0.490,0,1,0,0,0,14,7,0,6,0
08-04 10:04:36,5.823,3.544,71.899,18.734,0,674578432,4371668992,154226688,3043291136,5525,2160,0,4182016,0,321,2489,3754,0.800,0.710,0.490,0,1,0,0,0,14,7,0,6,0
08-04 10:04:37,8.376,3.807,69.289,18.528,0,675549184,4370210816,154587136,3043397632,6434,2160,0,5410816,0,437,2623,5074,0.800,0.710,0.490,0,1,0,0,0,14,7,0,6,0
08-04 10:04:38,9.068,4.534,70.781,15.365,0.252,676937728,4367831040,154886144,3044081664,7183,2106,0,5840896,0,365,3137,7727,0.800,0.710,0.490,1,1,0,0,0,14,7,0,6,0
08-04 10:04:39,18.296,4.261,69.173,8.020,0.251,678064128,4365283328,155033600,3045322752,23774,2106,0,3670016,0,225,4635,13265,0.800,0.710,0.490,3,0,0,0,0,14,7,0,6,0
08-04 10:04:40,8.271,3.759,69.674,18.296,0,678846464,4363935744,155250688,3045597184,7092,2106,0,4739072,0,370,2386,4952,0.820,0.710,0.500,1,1,0,0,0,14,7,0,6,0
08-04 10:04:41,8.416,4.208,71.535,15.594,0.248,679059456,4363427840,155504640,3045634048,7950,2160,0,4227072,0,335,2086,4516,0.820,0.710,0.500,0,1,2,0,0,14,7,0,7,0
08-04 10:04:42,9.343,3.283,70.707,16.667,0,679481344,4362858496,155742208,3045539840,8140,2160,0,3694592,0,264,1923,6500,0.820,0.710,0.500,1,0,0,0,0,14,7,0,7,0
08-04 10:04:43,16.667,5.721,70.398,6.965,0.249,618610688,4423237632,155881472,3045871616,9797,2160,0,6696960,0,382,2207,4155,0.820,0.710,0.500,2,0,78,0,0,14,5,0,7,0
08-04 10:04:44,23.441,2.993,73.566,0,0,675827712,4366020608,155881472,3045871616,7647,2160,0,0,0,0,723,794,0.820,0.710,0.500,1,0,0,0,0,14,5,0,7,0
08-04 10:04:45,22.250,4.250,69.250,4.250,0,649392128,4391919616,155901952,3046371328,9320,2160,0,7020544,0,83,1112,1514,0.830,0.720,0.500,1,0,11,0,0,14,5,0,7,0
08-04 10:04:46,16.834,10.553,71.859,0.503,0.251,606441472,4434292736,155934720,3046903808,6907,2160,0,8171520,0,316,2239,3491,0.830,0.720,0.500,1,0,206,0,0,14,5,0,7,0
08-04 10:04:47,12.532,21.483,62.148,3.836,0,608387072,4429529088,156024832,3049488384,6658,2160,0,6844416,0,145,3871,8088,0.830,0.720,0.500,2,0,495,0,0,14,5,0,7,0
08-04 10:04:48,40.250,12.750,46.500,0.250,0.250,691613696,4345860096,156028928,3050237952,6224,2160,0,11063296,0,186,3021,3845,0.830,0.720,0.500,2,0,175,0,0,14,7,0,7,0
08-04 10:04:49,48.120,5.514,45.865,0.501,0,764133376,4271403008,156037120,3051937792,6836,2202,151552,0,5,0,1981,5539,0.830,0.720,0.500,4,0,0,0,0,14,7,0,7,0
08-04 10:04:50,29.602,9.701,60.448,0,0.249,797462528,4236935168,156037120,3052728320,7575,1944,0,0,0,0,2353,4238,0.930,0.740,0.510,1,0,173,0,0,14,5,0,8,0
08-04 10:04:51,23.559,2.757,73.684,0,0,846454784,4187975680,156037120,3052732416,15879,2160,0,0,0,0,771,877,0.930,0.740,0.510,1,0,2,0,0,14,5,0,8,0
08-04 10:04:52,22.084,3.722,71.216,2.978,0,862384128,4171980800,156078080,3052724224,8315,2160,0,1642496,0,63,1409,2311,0.930,0.740,0.510,1,0,2,0,0,14,5,0,11,0
08-04 10:04:53,21.662,4.786,73.552,0,0,816717824,4217606144,156078080,3052765184,9395,2160,0,2838528,0,31,1050,1293,0.930,0.740,0.510,1,0,53,0,0,14,5,0,11,0
08-04 10:04:54,21.287,3.713,71.287,3.465,0.248,843456512,4190736384,156090368,3052789760,6807,2160,73728,2228224,18,61,1572,2296,0.930,0.740,0.510,1,0,1,0,0,14,29,0,16,0
08-04 10:04:55,21.446,5.486,73.067,0,0,835465216,4198633472,156090368,3052867584,6634,2160,0,0,0,0,977,1262,0.930,0.750,0.510,2,0,61,0,0,14,29,0,16,0
08-04 10:04:56,21.750,6.500,71.500,0,0.250,814604288,4219334656,156090368,3053023232,6015,2160,0,0,0,0,1381,2127,0.930,0.750,0.510,1,0,100,0,0,14,29,0,21,0
08-04 10:04:57,23.441,3.990,72.569,0,0,846581760,4187078656,156102656,3053285376,6883,2202,0,798720,0,7,1059,1586,0.930,0.750,0.510,1,0,0,0,0,14,31,0,26,0
08-04 10:04:58,23.116,3.518,73.116,0.251,0,832589824,4200955904,156102656,3053395968,7342,2254,0,1024000,0,55,1071,1361,0.930,0.750,0.510,1,0,22,0,0,14,29,0,29,0
08-04 10:04:59,23.383,5.224,70.896,0.249,0.249,805879808,4227604480,156106752,3053432832,7269,2160,0,188416,0,6,1445,2557,0.930,0.750,0.510,1,0,73,0,0,14,29,0,37,0
08-04 10:05:00,22.807,3.258,73.935,0,0,846065664,4187414528,156106752,3053436928,6696,1944,0,114688,0,11,797,891,0.940,0.750,0.510,1,0,1,0,0,14,29,0,37,0
08-04 10:05:01,20.948,6.733,72.070,0,0.249,817922048,4215390208,156106752,3053600768,18249,2160,0,303104,0,15,1704,3043,0.940,0.750,0.510,1,0,103,0,0,14,29,0,45,0
