-- Logs begin at Wed 2020-04-08 09:06:01 UTC, end at Wed 2020-04-08 10:35:15 UTC. --
Apr 08 10:04:21 cloud-provider-iscsi-0000000195 systemd[1]: Started Devstack devstack@dstat.service.
Apr 08 10:04:21 cloud-provider-iscsi-0000000195 dstat.sh[29683]: [286B blob data]
Apr 08 10:04:21 cloud-provider-iscsi-0000000195 dstat.sh[29683]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 08 10:04:21 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:21|  4   1  94   0   0| 425M 4464M  144M 2709M|   0     0 |  93k 2475k|3.44  21.8 | 820  1351 |0.65 0.68 0.48|2.0   0  18|   0     0 |systemd              1    0.1%   0    0 |bash                 2231 1759k1631k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 10:04:22 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:22| 10  21  68   0   0| 425M 4463M  144M 2710M|9236B 2160B|  24k  300k|1.00  24.0 |2758  5491 |0.65 0.68 0.48|2.0   0 542|   0     0 |bash                 2231 3.5%2358k  35k|bash                 2231 2358k  35k3.5%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 08 10:04:23 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:23| 14  19  67   0   0| 426M 4462M  144M 2710M|  11k 2148B|   0    24k|   0  6.00 |3796  6353 |0.65 0.68 0.48|3.0   0 300|   0     0 |systemd              1    5.8%   0    0 |bash                 2231 2394k  18k1.5%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 08 10:04:24 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:24| 11  15  74   0   0| 552M 4335M  144M 2832M|7256B 2160B|   0     0 |   0     0 |3714  7236 |0.65 0.68 0.48|1.0   0 348|   0     0 |systemd              1    2.8%   0    0 |bash                 2231  731k  18k2.5%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 08 10:04:25 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:25| 21   4  74   1   0| 597M 4290M  144M 2833M|8033B 2214B|  96k    0 |4.00     0 | 730   817 |0.68 0.68 0.48|1.0   0 1.0|   0     0 |keystone-manage      30996 24%  11M 160k|keystone-manage      30996  11M 160k 24%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 08 10:04:26 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:26| 16   3  74   8   0| 630M 4255M  144M 2834M|  10k 2160B| 108k 2680k|10.0  92.0 |1623  3045 |0.68 0.68 0.48|  0 1.0   0|   0     0 |keystone-manage      30996 15%5498k 621k|keystone-manage      309965498k 621k 15%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 08 10:04:27 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:27|  2   2  74  22   0| 631M 4253M  145M 2835M|  17k 2160B|   0  3816k|   0   285 |1610  2220 |0.68 0.68 0.48|1.0 1.0   0|   0     0 |mysqld               289651.0%   0    0 |python2              29781  14k 458B0.2%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 08 10:04:28 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:28|  5   5  70  20   0| 634M 4249M  145M 2835M|7009B 2160B|   0  6016k|   0   573 |1867  5643 |0.68 0.68 0.48|1.0   0   0|   0     0 |mysqld               289655.5%   0    0 |python2              29781  14k 461B  0%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 08 10:04:29 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:29|  5   4  73  19   0| 636M 4182M  145M 2899M|7337B 1944B|   0    67M|   0   289 |1681  3909 |0.68 0.68 0.48|  0 1.0   0|   0     0 |mysqld               289654.0%   0    0 |keystone-manage      30996  19k  11k2.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 08 10:04:30 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:30|  4   2  74  21   0| 637M 4180M  145M 2900M|8046B 2160B|   0  3116k|   0   257 |1498  2779 |0.78 0.70 0.49|1.0 1.0   0|   0     0 |mysqld               289651.8%   0    0 |python2              29781  14k 463B  0%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 08 10:04:31 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:31|  7   4  70  19   0| 638M 4178M  146M 2901M|  11k 2160B|   0  4080k|   0   339 |2351  4326 |0.78 0.70 0.49|  0 1.0 2.0|   0     0 |mysqld               289655.2%   0    0 |keystone-manage      30996  15k9039B2.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 08 10:04:32 cloud-provider-iscsi-0000000195 dstat.sh[29683]: 08-04 10:04:32|  5   5  70  20   0| 640M 4176M  146M 2901M|9614B 2160B|   0  4796k|   0   403 |2575  4876 |0.78 0.70 0.49|  0 1.0   0|   0     0 |mysqld               289655.8%   0    0 |python2              29781  14k 457B0.2%|mysqld       194M|   0     0 |  14    7    0    6    0
