"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000167",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","06 Apr 2020 10:31:35 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
06-04 10:31:35,0.076,0.023,99.852,0.011,0.038,442134528,4625063936,170074112,2868596736,0,0,1600.746,41340.642,0.073,0.413,193.308,160.729,0.720,0.720,0.520,2,0,0.291,0,0,12,3,0,4,0
06-04 10:31:36,9.160,20.865,69.720,0,0.254,441589760,4624699392,170074112,2869133312,7882,2160,24576,102400,1,10,2496,4997,0.720,0.720,0.520,1,0,496,0,0,12,3,0,4,0
06-04 10:31:37,12.214,21.628,66.158,0,0,443297792,4622487552,170074112,2869555200,8894,2106,0,28672,0,7,3020,6702,0.720,0.720,0.520,1,0,367,0,0,12,3,0,4,0
06-04 10:31:38,9.367,14.177,76.203,0,0.253,573669376,4491784192,170074112,2997547008,15258,2214,0,0,0,0,3296,5596,0.660,0.710,0.520,2,0,263,0,0,14,5,0,4,0
06-04 10:31:39,17.929,6.061,73.737,2.273,0,610414592,4454744064,170074112,2997788672,5707,2160,90112,0,3,0,1019,1544,0.660,0.710,0.520,1,0,90,0,0,14,5,0,6,0
06-04 10:31:40,21,3,73.750,2.250,0,643751936,4420419584,170074112,2998775808,7363,2106,118784,0,11,0,685,1049,0.660,0.710,0.520,1,0,0,0,0,14,5,0,6,0
06-04 10:31:41,8.521,3.509,72.431,15.539,0,660250624,4401815552,170352640,3000492032,9823,2214,0,19947520,0,781,2965,6184,0.660,0.710,0.520,0,1,0,0,0,14,7,0,6,0
06-04 10:31:42,6,3.500,72.750,17.500,0.250,663842816,4328534016,170700800,3068325888,9698,2052,0,73809920,0,578,2622,5866,0.660,0.710,0.520,1,1,0,0,0,14,7,0,6,0
06-04 10:31:43,7.653,2.551,72.959,16.837,0,666116096,4324958208,171114496,3069112320,6727,2268,0,8376320,0,726,3257,7689,0.690,0.720,0.520,2,0,0,0,0,14,7,0,6,0
