"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000015892",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Mar 2020 19:23:14 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-03 19:23:14,1.383,0.439,97.984,0.157,0.037,441270272,4349706240,173633536,3127181312,0,0,27715.433,794422.388,0.996,7.213,352.816,481.844,0.480,0.640,0.480,2,0,5.235,0,0,12,3,0,3,0
13-03 19:23:15,9.320,21.411,69.018,0,0.252,442003456,4348559360,173637632,3127349248,7975,2160,0,2846720,0,23,2718,5206,0.480,0.640,0.480,2,0,488,0,0,12,3,0,3,0
13-03 19:23:16,12.183,20.305,67.259,0,0.254,441950208,4348198912,173637632,3127726080,6048,2160,0,32768,0,8,3049,5150,0.440,0.620,0.470,1,0,363,0,0,12,3,0,3,0
13-03 19:23:17,8.333,11.111,80.556,0,0,572911616,4216696832,173637632,3255873536,6099,2106,0,0,0,0,3032,5135,0.440,0.620,0.470,0,0,85,0,0,14,3,0,3,0
13-03 19:23:18,10.302,12.312,76.884,0,0.503,584601600,4204810240,173637632,3256070144,6277,2160,0,0,0,0,1934,3715,0.440,0.620,0.470,1,0,296,0,0,14,5,0,5,0
13-03 19:23:19,21.662,3.778,74.559,0,0,622686208,4166594560,173637632,3256168448,15682,2214,77824,0,2,0,702,760,0.440,0.620,0.470,1,0,1,0,0,14,5,0,5,0
13-03 19:23:20,19.202,4.988,71.571,4.239,0,660242432,4126932992,173723648,3258044416,7359,2160,86016,4206592,11,118,1239,2366,0.440,0.620,0.470,0,1,0,0,0,14,7,0,5,0
13-03 19:23:21,7.538,5.779,72.613,13.819,0.251,666951680,4049850368,174182400,3326410752,15076,1944,0,48480256,0,1000,3116,9188,0.480,0.630,0.480,1,0,0,0,0,14,7,0,5,0
13-03 19:23:22,10.050,4.020,72.111,13.568,0.251,669261824,4045840384,174702592,3327508480,7399,2160,0,39870464,0,834,3900,8051,0.480,0.630,0.480,2,0,0,0,0,14,7,0,5,0
13-03 19:23:23,14.610,4.786,68.766,11.839,0,671875072,4041711616,175251456,3328430080,11940,2160,0,8364032,0,657,4427,9947,0.480,0.630,0.480,0,1,0,0,0,14,7,0,5,0
13-03 19:23:24,11.750,4.750,69.500,13.750,0.250,673857536,4038512640,175796224,3329007616,5432,2160,0,8822784,0,716,4373,7208,0.480,0.630,0.480,1,0,2,0,0,14,7,0,5,0
13-03 19:23:25,11.028,4.511,70.426,14.035,0,675901440,4035276800,176451584,3329495040,5348,2106,0,11251712,0,695,3598,8578,0.480,0.630,0.480,5,0,0,0,0,14,7,0,5,0
13-03 19:23:26,19.543,6.091,67.513,6.599,0.254,677642240,4031705088,176865280,3330859008,7630,2160,0,7315456,0,523,5754,16604,0.530,0.640,0.480,2,1,0,0,0,14,7,0,5,0
13-03 19:23:27,18.734,5.823,67.342,7.848,0.253,678895616,4029009920,177311744,3331792896,7461,2214,0,8683520,0,687,4982,11818,0.530,0.640,0.480,1,0,0,0,0,14,7,0,5,0
13-03 19:23:28,16.751,5.584,71.066,6.345,0.254,602112000,4105211904,177614848,3332038656,5449,2160,0,5959680,0,427,4160,8798,0.530,0.640,0.480,1,0,56,0,0,14,5,0,6,0
13-03 19:23:29,21.662,4.534,73.552,0.252,0,647389184,4059389952,177623040,3332562944,6347,2160,0,5447680,0,40,978,1322,0.530,0.640,0.480,1,1,23,0,0,14,5,0,6,0
13-03 19:23:30,21.465,6.061,69.444,3.030,0,621645824,4085035008,177655808,3332587520,5452,2160,0,69652480,0,595,1847,1374,0.530,0.640,0.480,2,0,11,0,0,14,5,0,6,0
13-03 19:23:31,23.116,2.764,73.367,0.503,0.251,668819456,4036440064,177737728,3333914624,4684,1944,0,6049792,0,108,1095,1453,0.560,0.640,0.480,1,1,1,0,0,14,5,0,6,0
13-03 19:23:32,14.824,14.573,69.598,0.754,0.251,602775552,4101189632,177803264,3335106560,7113,2160,0,3293184,0,91,2542,4369,0.560,0.640,0.480,4,0,333,0,0,14,5,0,6,0
13-03 19:23:33,14.031,20.153,65.561,0,0.255,602271744,4100907008,177815552,3335843840,16446,2160,0,155648,0,15,3607,6799,0.560,0.640,0.480,0,0,373,0,0,14,5,0,6,0
13-03 19:23:34,40.452,11.809,47.739,0,0,669085696,4033949696,177815552,3336318976,6487,2160,0,0,0,0,2018,3909,0.560,0.640,0.480,2,0,168,0,0,14,7,0,6,0
13-03 19:23:35,44.750,4.250,49.250,1.500,0.250,748982272,3953786880,177831936,3336486912,7743,2202,151552,36864,5,6,945,742,0.560,0.640,0.480,2,0,2,0,0,14,7,0,6,0
