-- Logs begin at Tue 2020-03-31 15:45:57 UTC, end at Tue 2020-03-31 18:49:21 UTC. --
Mar 31 18:38:49 cloud-provider-iscsi-0000000105 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 18:38:49 cloud-provider-iscsi-0000000105 dstat.sh[24242]: [286B blob data]
Mar 31 18:38:49 cloud-provider-iscsi-0000000105 dstat.sh[24242]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 18:38:49 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:49|  1   0  98   0   0| 423M 4452M  146M 2725M|   0     0 |  32k  842k|1.15  7.50 | 377   536 |0.42 0.61 0.47|2.0   0 5.5|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2137  578k 544k0.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Mar 31 18:38:50 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:50| 10  21  69   0   0| 423M 4451M  146M 2726M|6077B 2106B|  24k  244k|1.00  6.00 |2707  5068 |0.42 0.61 0.47|3.0   0 465|   0     0 |bash                 2137 4.2%1688k  30k|bash                 2137 1688k  30k4.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Mar 31 18:38:51 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:51| 13  21  66   0   0| 424M 4450M  146M 2726M|  22k 2160B|   0    36k|   0  9.00 |3308  7093 |0.38 0.60 0.47|1.0   0 382|   0     0 |systemd              1    3.0%   0    0 |bash                 2137 2988k  25k2.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Mar 31 18:38:52 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:52| 12  19  68   0   0| 549M 4324M  146M 2848M|6533B 2160B|   0     0 |   0     0 |4069  5991 |0.38 0.60 0.47|3.0   0 298|   0     0 |systemd              1    6.2%   0    0 |bash                 2137  623k  12k1.8%|mysqld       174M|   0     0 |  14    5    0    4    0
Mar 31 18:38:53 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:53| 21   5  74   0   0| 590M 4283M  146M 2848M|5209B 2160B|  96k    0 |4.00     0 |1096  1617 |0.38 0.60 0.47|1.0   0  81|   0     0 |keystone-manage      25550 20%9798k 125k|keystone-manage      255509798k 125k 20%|mysqld       174M|   0     0 |  14    5    0    6    0
Mar 31 18:38:54 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:54| 22   2  73   3   0| 628M 4243M  146M 2850M|7709B 2160B| 108k 3168k|10.0   101 |1869  2906 |0.38 0.60 0.47|1.0 1.0 2.0|   0     0 |keystone-manage      25550 21%6794k 655k|keystone-manage      255506794k 655k 21%|mysqld       186M|   0     0 |  14    7    0    6    0
Mar 31 18:38:55 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:55|  9   7  72  12   0| 634M 4169M  147M 2916M|9459B 2160B|   0    77M|   0  1191 |5460  8330 |0.38 0.60 0.47|2.0   0   0|   0     0 |mysqld               235248.2%   0    0 |keystone-manage      25550  23k  13k4.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Mar 31 18:38:56 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:56| 12   5  70  12   0| 637M 4164M  147M 2917M|8716B 2106B|   0    13M|   0  1133 |5824    10k|0.43 0.60 0.47|4.0   0   0|   0     0 |mysqld               235249.0%   0    0 |keystone-manage      25550  44k  25k6.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Mar 31 18:38:58 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:57| 17   6  69   8   0| 640M 4160M  148M 2918M|9253B 2214B|   0    10M|   0   838 |6913    14k|0.43 0.60 0.47|2.0   0   0|   0     0 |keystone-manage      25550 11%  51k 297k|python3.6            5891  274k 571k1.8%|mysqld       197M|   0     0 |  14    7    0    6    0
Mar 31 18:38:58 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:58| 12   5  69  14   0| 642M 4156M  149M 2918M|6984B 2202B|   0  9216k|   0   752 |3618  8167 |0.43 0.60 0.47|1.0 1.0   0|   0     0 |mysqld               235247.5%   0    0 |keystone-manage      25550  30k  19k5.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Mar 31 18:39:00 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:38:59| 22   5  68   5   0| 644M 4153M  149M 2919M|7955B 1998B|   0  6028k|   0   455 |5549    14k|0.43 0.60 0.47|2.0   0   0|   0     0 |keystone-manage      25550 15%  54k 359k|python3.6            5891  338k 705k2.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Mar 31 18:39:00 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:00| 16   7  64  12   0| 645M 4150M  149M 2920M|6262B 2106B|   0    88M|   0  1043 |5930    13k|0.43 0.60 0.47|2.0   0   0|   0     0 |keystone-manage      25550 11%  46k 351k|python3.6            5891  334k 696k2.0%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 31 18:39:01 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:01| 18   4  70   7   0| 645M 4149M  150M 2921M|7057B 2160B|   0  8208k|   0   622 |4111    12k|0.48 0.61 0.47|2.0   0   0|   0     0 |keystone-manage      25550 13%  49k  32k|keystone-manage      25550  49k  32k 13%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 31 18:39:03 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:02| 19   8  73   0   0| 616M 4178M  150M 2921M|6205B 2160B|   0     0 |   0     0 |1125  1510 |0.48 0.61 0.47|2.0   0  78|   0     0 |keystone-manage      25630 20%9781k  37k|bash                 2137   17M1881k1.0%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 31 18:39:03 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:03| 24   3  73   1   0| 597M 4197M  150M 2921M|6938B 2160B|   0  7156k|   0  69.0 |1082  1492 |0.48 0.61 0.47|2.0   0  11|   0     0 |keystone-manage      256419.5%5711k  37k|bash                 2137   16M  39k  0%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 31 18:39:04 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:04| 23   4  72   1   0| 576M 4217M  150M 2922M|7419B 2160B|   0  6860k|   0  67.0 |1078  1540 |0.48 0.61 0.47|4.0   0  27|   0     0 |mysqld               235240.5%   0    0 |bash                 2137   16M  39k0.2%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 31 18:39:05 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:05| 10  21  68   1   0| 576M 4215M  150M 2924M|7210B 2160B|   0  7944k|   0   215 |3216  6885 |0.48 0.61 0.47|3.0   0 442|   0     0 |bash                 2137 3.2%2519k  29k|bash                 2137 2519k  29k3.2%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 31 18:39:07 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:06| 18  20  62   0   0| 596M 4195M  150M 2924M|6989B 2160B|   0   328k|   0  11.0 |4492  9051 |0.52 0.62 0.48|4.0   0 315|   0     0 |systemd              1    6.0%   0    0 |bash                 2137 2220k  16k1.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 31 18:39:07 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:07| 48   8  44   0   0| 680M 4111M  150M 2925M|8036B 2202B| 128k    0 |1.00     0 |1364  1623 |0.52 0.62 0.48|4.0   0  95|   0     0 |uwsgi                26391 25%  10M  37k|uwsgi                26391  10M  37k 25%|mysqld       200M|   0     0 |  14    7    0    7    0
Mar 31 18:39:08 cloud-provider-iscsi-0000000105 dstat.sh[24242]: 31-03 18:39:08| 49   6  46   1   0| 734M 4054M  150M 2927M|8784B 2160B|  20k    0 |4.00     0 |1581  6906 |0.52 0.62 0.48|4.0   0   0|   0     0 |uwsgi                26390 25%5495k  93k|uwsgi                263915820k 802k 24%|mysqld       200M|   0     0 |  14    7    0    7    0
