-- Logs begin at Wed 2020-04-01 18:31:12 UTC, end at Wed 2020-04-01 19:38:26 UTC. --
Apr 01 19:12:08 cloud-provider-iscsi-0000000136 systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 19:12:08 cloud-provider-iscsi-0000000136 dstat.sh[24170]: [286B blob data]
Apr 01 19:12:08 cloud-provider-iscsi-0000000136 dstat.sh[24170]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 19:12:08 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:08|  5   2  92   1   0| 420M 4478M  145M 2703M|   0     0 | 133k 3478k|4.90  31.4 |1019  1806 |0.37 0.55 0.41|2.0   0  23|   0     0 |systemd              1    0.1%   0    0 |bash                 2092 2413k2269k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 19:12:09 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:09| 10  21  70   0   0| 421M 4476M  145M 2704M|9674B 2106B|  24k  256k|1.00  8.00 |2779  4691 |0.37 0.55 0.41|1.0   0 453|   0     0 |bash                 2092 4.0%1474k  29k|bash                 2092 1474k  29k4.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 19:12:10 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:10| 11  22  66   0   0| 422M 4475M  145M 2704M|7136B 2106B|   0    32k|   0  8.00 |3685  5996 |0.42 0.56 0.42|1.0   0 360|   0     0 |systemd              1    2.8%   0    0 |bash                 2092 2966k  24k2.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 19:12:11 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:11| 11  20  68   0   0| 548M 4348M  145M 2826M|7347B 2160B|   0  4096B|   0  1.00 |4361  7360 |0.42 0.56 0.42|1.0   0 336|   0     0 |systemd              1    5.5%   0    0 |bash                 2092  877k  15k2.0%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 01 19:12:12 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:12| 19   6  74   2   0| 581M 4315M  145M 2826M|7143B 2254B|  88k    0 |3.00     0 | 987  1450 |0.42 0.56 0.42|  0 1.0  71|   0     0 |keystone-manage      25478 19%8269k 125k|keystone-manage      254788269k 125k 19%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 01 19:12:13 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:13| 21   3  73   3   0| 614M 4281M  145M 2828M|7229B 2160B| 116k    0 |11.0     0 | 694  1028 |0.42 0.56 0.42|2.0   0   0|   0     0 |keystone-manage      25478 22%8283k 547k|keystone-manage      254788283k 547k 22%|mysqld       177M|   0     0 |  14    7    0    7    0
Apr 01 19:12:14 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:14|  8   3  73  16   0| 628M 4266M  145M 2829M|6432B 2160B|   0  7536k|   0   437 |1815  4166 |0.42 0.56 0.42|1.0   0 2.0|   0     0 |keystone-manage      254785.0%  40k 109k|python3.6            5842   84k 174k0.5%|mysqld       188M|   0     0 |  14    7    0    7    0
Apr 01 19:12:15 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:15|  9   6  71  15   0| 633M 4194M  146M 2894M|6500B 2160B|   0    79M|   0   955 |3765  6667 |0.55 0.58 0.43|  0 1.0   0|   0     0 |mysqld               234507.0%   0    0 |keystone-manage      25478  23k  13k4.0%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 01 19:12:16 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:16|  9   5  72  13   0| 635M 4190M  146M 2895M|7942B 2052B|   0    10M|   0   915 |4217  9341 |0.55 0.58 0.43|1.0   0   0|   0     0 |mysqld               234507.5%   0    0 |keystone-manage      25478  37k  21k5.0%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 01 19:12:17 cloud-provider-iscsi-0000000136 dstat.sh[24170]: 01-04 19:12:17| 16   7  69   8   0| 638M 4185M  147M 2895M|7074B 2160B|   0    10M|   0   866 |5098    15k|0.55 0.58 0.43|1.0   0   0|   0     0 |keystone-manage      254789.8%  52k 298k|python3.6            5842  274k 572k1.2%|mysqld       196M|   0     0 |  14    7    0    6    0
