-- Logs begin at Wed 2020-04-22 13:42:41 UTC, end at Wed 2020-04-22 14:58:43 UTC. --
Apr 22 14:27:52 cloud-provider-iscsi-0000000363 systemd[1]: Started Devstack devstack@dstat.service.
Apr 22 14:27:52 cloud-provider-iscsi-0000000363 dstat.sh[29819]: [286B blob data]
Apr 22 14:27:52 cloud-provider-iscsi-0000000363 dstat.sh[29819]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 22 14:27:52 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:52|  6   2  92   1   0| 422M 4008M  146M 3154M|   0     0 | 121k 3312k|4.42  28.4 |1015  1473 |0.59 0.67 0.54|2.0   0  23|   0     0 |systemd              1    0.1%   0    0 |bash                 2679 2742k2588k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 14:27:53 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:53| 10  21  69   0   1| 422M 4007M  146M 3155M|6639B 2106B|  24k   96k|1.00  9.00 |2696  4838 |0.59 0.67 0.54|2.0   0 474|   0     0 |bash                 2679 3.8%1687k  30k|bash                 2679 1687k  30k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 14:27:54 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:54| 14  21  65   0   0| 424M 4005M  146M 3155M|  13k 2106B|   0    32k|   0  8.00 |3464  6147 |0.71 0.70 0.55|2.0   0 376|   0     0 |systemd              1    4.2%   0    0 |bash                 2679 2953k  23k2.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 14:27:55 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:55|  6   8  86   0   0| 547M 3881M  146M 3277M|9924B 2160B|   0     0 |   0     0 |2973  4372 |0.71 0.70 0.55|1.0   0  59|   0     0 |systemd              1    5.0%   0    0 |bash                 2679  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 22 14:27:56 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:56| 12  13  74   1   0| 559M 3869M  146M 3278M|9227B 2160B|   0  6636k|   0   226 |2310  3684 |0.71 0.70 0.55|4.0   0 295|   0     0 |keystone-manage      311325.8%2243k  79k|keystone-manage      311322243k  79k5.8%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 22 14:27:57 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:57| 23   3  74   1   0| 604M 3823M  146M 3278M|5874B 2160B| 152k    0 |8.00     0 | 727   782 |0.71 0.70 0.55|2.0   0   0|   0     0 |keystone-manage      31132 24%  12M 221k|keystone-manage      31132  12M 221k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 22 14:27:58 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:58| 13   4  73   9   0| 629M 3796M  147M 3280M|6829B 2106B|  52k 8124k|6.00   557 |2633  5973 |0.71 0.70 0.55|2.0   0   0|   0     0 |keystone-manage      311329.8%2232k 484k|keystone-manage      311322232k 484k9.8%|mysqld       188M|   0     0 |  14    7    0    6    0
Apr 22 14:27:59 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:27:59|  7   4  73  16   0| 633M 3726M  147M 3345M|8109B 2214B|   0    71M|   0   652 |2668  6887 |0.81 0.72 0.56|1.0 1.0   0|   0     0 |mysqld               290946.0%   0    0 |keystone-manage      31132  20k  11k3.0%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 22 14:28:00 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:28:00|  7   4  73  17   0| 635M 3722M  147M 3346M|5997B 2160B|   0  7320k|   0   639 |2889  7212 |0.81 0.72 0.56|1.0 1.0   0|   0     0 |mysqld               290944.8%   0    0 |keystone-manage      31132  21k  13k3.8%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 22 14:28:01 cloud-provider-iscsi-0000000363 dstat.sh[29819]: 22-04 14:28:01|  6   5  64  25   0| 638M 3719M  148M 3346M|5623B 2160B|   0    69M|   0   963 |3099  6547 |0.81 0.72 0.56|1.0 2.0 2.0|   0     0 |mysqld               290944.5%   0    0 |keystone-manage      31132  25k  13k3.2%|mysqld       195M|   0     0 |  14    7    0    6    0
