"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000012800",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Mar 2020 16:10:08 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-03 16:10:08,1.087,0.344,98.412,0.125,0.032,445628416,4260806656,177586176,3204616192,0,0,20118.212,636776.276,0.749,5.743,311.316,409.709,1.210,0.780,0.520,3,0,4.090,0,0,12,3,0,4,0
10-03 16:10:09,8.122,22.589,69.036,0.254,0,445243392,4260687872,177594368,3204825088,8689,2160,0,110592,0,11,2745,5207,1.210,0.780,0.520,3,0,499,0,0,12,3,0,3,0
10-03 16:10:10,12.814,22.111,64.824,0,0.251,451010560,4254474240,177594368,3205267456,9253,2160,0,32768,0,8,3134,7260,1.210,0.780,0.520,4,0,373,0,0,12,3,0,3,0
10-03 16:10:11,7.305,7.809,84.887,0,0,576438272,4128657408,177594368,3333296128,5640,2160,0,0,0,0,2720,4004,1.210,0.780,0.520,1,0,58,0,0,14,3,0,3,0
10-03 16:10:12,6.345,11.421,82.234,0,0,580128768,4124835840,177594368,3333427200,4903,2160,0,823296,0,9,1720,3499,1.210,0.780,0.520,3,0,294,0,0,14,5,0,5,0
10-03 16:10:13,22.250,4.250,73,0.250,0.250,622112768,4082737152,177594368,3333525504,6654,1944,77824,0,2,0,682,796,1.190,0.780,0.530,2,0,2,0,0,14,5,0,5,0
10-03 16:10:14,20.551,2.256,73.434,3.759,0,665092096,4037976064,177664000,3334918144,5268,2160,86016,2785280,11,78,1452,2824,1.190,0.780,0.530,2,0,0,0,0,14,7,0,5,0
10-03 16:10:15,5.750,3.750,72.750,17.750,0,668266496,4032802816,178040832,3336429568,15037,2160,0,8720384,0,745,3522,6188,1.190,0.780,0.530,2,1,0,0,0,14,7,0,5,0
10-03 16:10:16,5.823,3.544,73.671,16.962,0,671989760,3960033280,178388992,3404042240,6189,2160,0,72519680,0,451,2302,4531,1.190,0.780,0.530,1,1,0,0,0,14,7,0,5,0
10-03 16:10:17,7,3,70,20,0,673546240,3957260288,178708480,3404902400,6058,2160,0,13631488,0,839,2934,5103,1.190,0.780,0.530,2,0,0,0,0,14,7,0,5,0
10-03 16:10:18,9.726,4.239,70.075,15.711,0.249,675078144,3955191808,179179520,3404959744,6130,2106,0,7917568,0,642,4131,8247,1.260,0.800,0.540,3,0,0,0,0,14,7,0,5,0
10-03 16:10:19,15.038,5.013,70.426,9.524,0,676888576,3951923200,179576832,3405979648,18786,2214,0,7286784,0,600,5027,11898,1.260,0.800,0.540,2,0,2,0,0,14,7,0,5,0
10-03 16:10:20,12.060,4.523,69.849,13.317,0.251,678518784,3948830720,180191232,3406729216,6079,2202,0,9183232,0,707,3972,8546,1.260,0.800,0.540,2,0,0,0,0,14,7,0,5,0
10-03 16:10:21,16.625,5.290,68.514,9.572,0,681394176,3944267776,180625408,3407912960,6159,2160,0,8712192,0,689,5792,14152,1.260,0.800,0.540,3,0,0,0,0,14,7,0,5,0
10-03 16:10:22,17.293,6.015,67.168,9.273,0.251,682598400,3941498880,180875264,3409195008,5506,2160,0,18616320,0,509,5098,12563,1.260,0.800,0.540,4,0,0,0,0,14,7,0,5,0
10-03 16:10:23,12.405,5.823,66.076,15.696,0,682635264,3940970496,181276672,3409244160,5455,1944,0,48553984,0,1006,4027,8623,1.320,0.820,0.540,2,0,0,0,0,14,7,0,5,0
10-03 16:10:24,13.854,4.030,72.544,9.572,0,605372416,4017790976,181551104,3409387520,11123,2160,0,4145152,0,296,2859,6645,1.320,0.820,0.540,2,0,8,0,0,14,5,0,6,0
10-03 16:10:25,19.849,6.281,73.367,0.251,0.251,650043392,3973079040,181555200,3409408000,9007,2160,0,2281472,0,15,1183,1657,1.320,0.820,0.540,3,0,71,0,0,14,5,0,6,0
10-03 16:10:26,24.372,2.261,72.864,0.503,0,612470784,4010020864,181575680,3410001920,7561,2160,0,8736768,0,78,1020,1348,1.320,0.820,0.540,2,1,11,0,0,14,5,0,6,0
10-03 16:10:27,23.485,3.030,73.232,0.253,0,651124736,3970097152,181592064,3411238912,7661,2160,0,4964352,0,59,1041,1465,1.320,0.820,0.540,3,0,1,0,0,14,5,0,6,0
10-03 16:10:28,19.347,8.040,71.106,1.256,0.251,605990912,4014563328,181678080,3411783680,8466,2160,0,17469440,0,390,2138,2983,1.290,0.820,0.550,3,0,180,0,0,14,5,0,6,0
10-03 16:10:29,10.742,21.483,67.775,0,0,606380032,4012908544,181686272,3412996096,10579,2160,0,495616,0,17,2787,5920,1.290,0.820,0.550,3,0,490,0,0,14,5,0,6,0
10-03 16:10:30,32.487,16.497,51.015,0,0,642564096,3976450048,181686272,3413495808,8018,2160,0,0,0,0,3598,6867,1.290,0.820,0.550,3,0,209,0,0,14,7,0,6,0
10-03 16:10:31,44.750,5.250,49,0.750,0.250,736309248,3882471424,181686272,3413741568,7320,2160,131072,0,1,0,1040,893,1.290,0.820,0.550,3,0,3,0,0,14,7,0,6,0
10-03 16:10:32,44.192,6.818,47.980,1.010,0,782938112,3833118720,181694464,3416129536,6907,1986,20480,53248,4,6,1685,7288,1.290,0.820,0.550,2,0,54,0,0,14,5,0,7,0
10-03 16:10:33,22.111,7.789,69.849,0,0.251,827334656,3788279808,181694464,3416231936,16117,2160,0,9752576,0,109,1906,2257,1.270,0.830,0.550,2,0,116,0,0,14,5,0,7,0
10-03 16:10:34,22.613,3.769,73.618,0,0,873918464,3741650944,181698560,3416244224,6064,2160,0,1212416,0,7,789,972,1.270,0.830,0.550,2,0,2,0,0,14,11,0,7,0
10-03 16:10:35,20.707,5.808,72.980,0.505,0,799399936,3816103936,181743616,3416264704,7996,2160,0,512000,0,57,1209,2165,1.270,0.830,0.550,2,0,52,0,0,14,5,0,10,0
10-03 16:10:36,22.556,3.509,73.684,0,0.251,842358784,3772887040,181747712,3416272896,7210,2106,0,61440,0,3,783,1068,1.270,0.830,0.550,2,0,2,0,0,14,13,0,11,0
10-03 16:10:37,21.608,4.271,72.613,1.508,0,814338048,3800727552,181751808,3416363008,12785,2214,69632,1335296,17,9,1415,2206,1.270,0.830,0.550,3,1,61,0,0,14,29,0,15,0
10-03 16:10:38,22.556,3.509,73.434,0.501,0,852254720,3762794496,181751808,3416371200,5585,2160,0,4870144,0,84,953,1163,1.250,0.830,0.550,2,1,2,0,0,14,29,0,15,0
10-03 16:10:39,21.212,6.313,72.222,0.253,0,829976576,3784916992,181751808,3416522752,5845,2160,0,983040,0,28,1291,2311,1.250,0.830,0.550,2,0,103,0,0,14,29,0,20,0
10-03 16:10:40,25.062,2.233,72.457,0,0.248,855932928,3758592000,181751808,3416870912,6827,2160,0,0,0,0,1027,1903,1.250,0.830,0.550,2,0,0,0,0,14,29,0,28,0
10-03 16:10:41,21.608,4.523,73.869,0,0,848596992,3765964800,181751808,3416829952,6661,1986,0,0,0,0,807,1036,1.250,0.830,0.550,2,0,23,0,0,14,29,0,28,0
10-03 16:10:42,22.727,5.808,71.465,0,0,818049024,3796365312,181760000,3416969216,7405,2160,0,217088,0,21,1486,2487,1.250,0.830,0.550,2,0,73,0,0,14,29,0,36,0
10-03 16:10:43,22.613,3.518,73.367,0.503,0,855367680,3758985216,181772288,3416997888,7112,2160,0,2842624,0,47,811,1011,1.230,0.830,0.550,2,0,2,0,0,14,29,0,36,0
10-03 16:10:44,21.446,6.733,71.571,0,0.249,820060160,3794247680,181776384,3417038848,11082,2160,0,49152,0,6,1473,2500,1.230,0.830,0.550,2,0,100,0,0,14,29,0,44,0
10-03 16:10:45,22.670,3.778,73.552,0,0,859836416,3754471424,181776384,3417038848,17681,2160,0,0,0,0,914,1137,1.230,0.830,0.550,2,0,2,0,0,14,31,0,47,0
10-03 16:10:46,21.859,5.276,72.864,0,0,845320192,3768832000,181776384,3417194496,7201,2160,0,0,0,0,1063,1513,1.230,0.830,0.550,2,0,70,0,0,14,29,0,49,0
10-03 16:10:47,24.060,2.506,73.434,0,0,863305728,3750817792,181788672,3417206784,6303,2160,0,102400,0,9,1050,1515,1.230,0.830,0.550,2,0,2,0,0,14,29,0,55,0
10-03 16:10:48,20.907,5.290,72.040,1.511,0.252,849182720,3764912128,181788672,3417214976,8473,2160,0,7368704,0,374,1741,1459,1.210,0.840,0.560,2,0,70,0,0,14,29,0,55,0
10-03 16:10:49,21.662,5.038,73.048,0.252,0,820441088,3793645568,181805056,3417206784,6669,2160,0,176128,0,19,1171,1957,1.210,0.840,0.560,3,0,70,0,0,14,29,0,59,0
10-03 16:10:50,23.810,2.757,73.183,0.251,0,858353664,3755692032,181813248,3417239552,8270,1944,0,311296,0,14,767,848,1.210,0.840,0.560,3,0,2,0,0,14,29,0,59,0
10-03 16:10:51,20.655,5.793,73.552,0,0,826073088,3787931648,181825536,3417251840,14201,2160,0,65536,0,8,1165,1793,1.210,0.840,0.560,2,0,72,0,0,14,29,0,63,0
10-03 16:10:52,23.174,3.275,73.552,0,0,813969408,3800027136,181829632,3417255936,7174,2160,0,49152,0,3,940,1302,1.210,0.840,0.560,2,0,17,0,0,14,29,0,67,0
10-03 16:10:53,21.608,4.774,73.367,0,0.251,849973248,3764002816,181833728,3417272320,8035,2160,0,1011712,0,12,979,1368,1.190,0.840,0.560,2,0,64,0,0,14,29,0,67,0
10-03 16:10:54,21.717,5.556,72.475,0.253,0,824401920,3789402112,181846016,3417427968,4979,2160,0,73728,0,9,1290,2018,1.190,0.840,0.560,4,0,85,0,0,14,29,0,72,0
10-03 16:10:55,23.116,3.015,73.869,0,0,863911936,3749883904,181846016,3417436160,5512,2106,0,0,0,0,803,1040,1.190,0.840,0.560,2,0,2,0,0,14,29,0,75,0
10-03 16:10:56,20.707,5.303,73.737,0.253,0,842305536,3771469824,181850112,3417452544,7206,2214,0,49152,0,3,1191,1981,1.190,0.840,0.560,3,0,99,0,0,14,29,0,77,0
10-03 16:10:57,21.357,5.528,72.613,0.251,0.251,814682112,3799064576,181874688,3417456640,5719,2160,0,303104,0,27,1294,2297,1.190,0.840,0.560,2,0,67,0,0,14,29,0,82,0
10-03 16:10:58,23.058,4.762,71.930,0.251,0,851857408,3761836032,181882880,3417481216,7139,2160,0,892928,0,33,1066,1539,1.180,0.840,0.560,2,0,79,0,0,14,29,0,82,0
10-03 16:10:59,22.306,4.261,73.183,0,0.251,824111104,3789398016,181886976,3417657344,5819,2160,0,221184,0,7,1316,2108,1.180,0.840,0.560,2,0,23,0,0,14,29,0,91,0
10-03 16:11:00,22.613,3.769,73.618,0,0,858992640,3754516480,181886976,3417657344,5407,2038,0,0,0,0,755,859,1.180,0.840,0.560,2,0,2,0,0,14,29,0,91,0
10-03 16:11:01,22.980,5.051,71.970,0,0,829751296,3783708672,181895168,3417694208,12176,2106,0,86016,0,9,1362,2281,1.180,0.840,0.560,3,0,71,0,0,14,29,0,99,0
10-03 16:11:02,23.174,3.023,73.804,0,0,866508800,3746951168,181895168,3417694208,6788,2214,0,155648,0,9,747,891,1.180,0.840,0.560,3,0,2,0,0,14,31,0,100,0
10-03 16:11:03,21.159,7.305,71.285,0,0.252,827256832,3786158080,181895168,3417735168,5296,2160,0,0,0,0,1600,3228,1.160,0.850,0.560,3,0,168,0,0,14,29,0,108,0
10-03 16:11:04,23.367,3.518,72.613,0.503,0,865370112,3748032512,181895168,3417743360,10385,2160,0,3166208,0,166,950,833,1.160,0.850,0.560,2,0,2,0,0,14,29,0,108,0
10-03 16:11:05,22.556,4.511,72.682,0.251,0,829382656,3783843840,181899264,3417911296,7446,2160,0,200704,0,6,1349,2064,1.160,0.850,0.560,2,0,22,0,0,14,29,0,115,0
10-03 16:11:06,22.670,3.526,73.552,0,0.252,863727616,3749498880,181899264,3417911296,7060,2160,0,0,0,0,1009,1428,1.160,0.850,0.560,2,0,1,0,0,14,31,0,121,0
10-03 16:11:07,22.807,5.263,71.679,0.251,0,852393984,3760791552,181903360,3417948160,6179,2160,0,135168,0,12,1010,1793,1.160,0.850,0.560,2,0,73,0,0,14,29,0,123,0
10-03 16:11:08,22.613,4.271,73.116,0,0,815321088,3797856256,181915648,3417944064,8631,2160,0,114688,0,11,1381,2289,1.230,0.860,0.570,2,0,18,0,0,14,29,0,133,0
