-- Logs begin at Tue 2020-03-10 11:54:35 UTC, end at Tue 2020-03-10 16:21:38 UTC. --
Mar 10 16:10:08 cloud-provider1-0000012800 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 16:10:08 cloud-provider1-0000012800 dstat.sh[30382]: [286B blob data]
Mar 10 16:10:08 cloud-provider1-0000012800 dstat.sh[30382]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 16:10:08 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:08|  1   0  98   0   0| 424M 4064M  169M 3056M|   0     0 |  20k  622k|0.75  5.74 | 311   410 |1.21 0.78 0.52|3.0   0 4.1|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2003  484k 426k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 10 16:10:09 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:09|  8  23  69   0   0| 425M 4063M  169M 3056M|8689B 2160B|   0   108k|   0  11.0 |2749  5206 |1.21 0.78 0.52|1.0   0 498|   0     0 |bash                 2003 4.0%1818k  32k|bash                 2003 1818k  32k4.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 16:10:10 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:10| 13  22  65   0   0| 430M 4057M  169M 3057M|9253B 2160B|   0    32k|   0  8.00 |3141  7273 |1.21 0.78 0.52|1.0   0 375|   0     0 |systemd              1    3.5%   0    0 |bash                 2003 2848k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 16:10:11 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:11|  7   8  85   0   0| 550M 3937M  169M 3179M|5640B 2160B|   0     0 |   0     0 |2718  4004 |1.21 0.78 0.52|  0   0  58|   0     0 |systemd              1    6.5%   0    0 |bash                 2003  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    3    0
Mar 10 16:10:12 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:12|  6  11  82   0   0| 553M 3934M  169M 3179M|4903B 2160B|   0   804k|   0  9.00 |1718  3499 |1.21 0.78 0.52|1.0   0 294|   0     0 |bash                 2003 2.5% 608k  18k|bash                 2003  608k  18k2.5%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 16:10:13 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:13| 22   4  73   0   0| 593M 3894M  169M 3179M|6273B 1944B|  76k    0 |2.00     0 | 682   794 |1.19 0.78 0.53|1.0   0 2.0|   0     0 |keystone-manage      31694 24%9858k 161k|keystone-manage      316949858k 161k 24%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 16:10:14 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:14| 21   2  73   4   0| 634M 3851M  169M 3180M|5589B 2160B|  84k 2720k|11.0  78.0 |1453  2826 |1.19 0.78 0.53|1.0   0   0|   0     0 |keystone-manage      31694 19%7269k 679k|keystone-manage      316947269k 679k 19%|mysqld       186M|   0     0 |  14    7    0    5    0
Mar 10 16:10:15 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:15|  6   4  73  18   0| 637M 3846M  170M 3182M|  15k 2160B|   0  8516k|   0   745 |3520  6175 |1.19 0.78 0.53|  0 1.0   0|   0     0 |mysqld               296594.8%   0    0 |python2              30432  14k 464B  0%|mysqld       190M|   0     0 |  14    7    0    5    0
Mar 10 16:10:16 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:16|  6   4  74  17   0| 641M 3777M  170M 3246M|6189B 2160B|   0    69M|   0   451 |2304  4544 |1.19 0.78 0.53|  0 1.0   0|   0     0 |mysqld               296595.0%   0    0 |keystone-manage      31694  23k  14k3.0%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 10 16:10:17 cloud-provider1-0000012800 dstat.sh[30382]: 10-03 16:10:17|  7   3  70  20   0| 642M 3774M  170M 3247M|6058B 2160B|   0    13M|   0   839 |2929  5093 |1.19 0.78 0.53|1.0   0   0|   0     0 |keystone-manage      316944.8%  17k  10k|keystone-manage      31694  17k  10k4.8%|mysqld       193M|   0     0 |  14    7    0    5    0
