"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000013234",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Mar 2020 20:26:32 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-03 20:26:32,6.480,2.054,90.747,0.654,0.064,441274368,4336558080,175489024,3138621440,0,0,131462.662,3815255.183,4.723,33.826,1074.231,1814.957,0.640,0.610,0.470,2,0,24.774,0,0,12,3,0,3,0
10-03 20:26:33,10.354,20.455,68.939,0,0.253,440836096,4336328704,175493120,3138977792,7822,2160,0,3330048,0,17,2589,4843,0.640,0.610,0.470,2,0,476,0,0,12,3,0,3,0
10-03 20:26:34,13.098,20.403,66.247,0,0.252,441434112,4335165440,175493120,3139481600,7789,2160,0,36864,0,9,3222,5258,0.640,0.610,0.470,1,0,378,0,0,12,3,0,3,0
10-03 20:26:35,9.949,9.184,80.867,0,0,573071360,4203073536,175493120,3267575808,6915,2106,0,0,0,0,3344,4292,0.640,0.610,0.470,0,0,89,0,0,14,3,0,3,0
10-03 20:26:36,9.572,12.343,77.834,0,0.252,579809280,4196282368,175493120,3267596288,11028,2214,0,0,0,0,2116,3385,0.640,0.610,0.470,2,0,297,0,0,14,5,0,5,0
10-03 20:26:37,21.106,4.271,74.121,0.251,0.251,619847680,4156129280,175493120,3267678208,8857,2106,77824,0,2,0,701,752,0.670,0.620,0.470,1,0,1,0,0,14,5,0,5,0
10-03 20:26:38,17.413,4.726,72.886,4.975,0,662118400,4111499264,175583232,3269496832,6820,2106,86016,3973120,11,143,1711,3224,0.670,0.620,0.470,1,0,0,0,0,14,7,0,5,0
10-03 20:26:39,8.564,7.053,71.537,12.594,0.252,667983872,4035244032,176193536,3337953280,6212,1998,0,78712832,0,1018,4457,9797,0.670,0.620,0.470,0,1,2,0,0,14,7,0,5,0
10-03 20:26:40,10.302,4.271,72.111,13.317,0,670101504,4031193088,176721920,3339218944,7769,2214,0,8523776,0,683,2999,7340,0.670,0.620,0.470,1,0,0,0,0,14,7,0,5,0
10-03 20:26:41,12.343,5.542,71.788,10.327,0,671989760,4028149760,177274880,3339718656,6135,2106,0,8790016,0,721,3870,10912,0.670,0.620,0.470,2,0,0,0,0,14,7,0,5,0
10-03 20:26:42,12.821,2.821,72.308,11.795,0.256,673943552,4024782848,177860608,3340496896,15114,2256,0,8331264,0,666,4152,10657,0.780,0.640,0.480,2,0,0,0,0,14,7,0,5,0
10-03 20:26:43,10.406,5.330,71.827,12.437,0,676356096,4021067776,178393088,3341242368,15386,2160,0,10383360,0,799,4378,9447,0.780,0.640,0.480,0,2,0,0,0,14,7,0,5,0
10-03 20:26:44,14.177,4.304,65.823,15.443,0.253,677961728,4018229248,178634752,3342139392,8343,2160,0,14102528,0,747,4708,9576,0.780,0.640,0.480,1,0,0,0,0,14,7,0,5,0
10-03 20:26:45,17.215,5.316,69.114,8.354,0,679350272,4015403008,178962432,3343286272,11703,2160,0,6586368,0,477,5116,10758,0.780,0.640,0.480,1,0,0,0,0,14,7,0,5,0
10-03 20:26:46,14,4.250,71.500,10,0.250,679960576,4014018560,179392512,3343564800,10206,2160,0,8572928,0,652,4849,11867,0.780,0.640,0.480,0,1,0,0,0,14,7,0,5,0
10-03 20:26:47,18.546,6.767,73.183,1.253,0.251,624578560,4069298176,179474432,3343581184,6008,1944,0,1388544,0,108,1520,3064,0.870,0.660,0.490,1,0,78,0,0,14,5,0,6,0
10-03 20:26:48,23.367,3.015,73.367,0.251,0,605855744,4087439360,179503104,3344109568,6579,2160,0,6942720,0,64,821,1378,0.870,0.660,0.490,1,0,11,0,0,14,5,0,6,0
10-03 20:26:49,23.367,4.774,68.593,3.266,0,658771968,4033904640,179535872,3344637952,7746,2254,0,74231808,0,866,1587,1478,0.870,0.660,0.490,1,0,4,0,0,14,5,0,6,0
