-- Logs begin at Tue 2020-03-10 19:44:29 UTC, end at Tue 2020-03-10 20:37:45 UTC. --
Mar 10 20:26:32 cloud-provider1-0000013234 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 20:26:32 cloud-provider1-0000013234 dstat.sh[30283]: [286B blob data]
Mar 10 20:26:32 cloud-provider1-0000013234 dstat.sh[30283]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 20:26:32 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:32|  6   2  91   1   0| 421M 4135M  167M 2993M|   0     0 | 128k 3726k|4.72  33.8 |1074  1815 |0.64 0.61 0.47|1.0   0  25|   0     0 |systemd              1    0.1%   0    0 |bash                 1951 2885k2512k0.1%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 20:26:33 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:33| 10  20  69   0   0| 421M 4135M  167M 2994M|7822B 2160B|   0  3256k|   0  18.0 |2578  4838 |0.64 0.61 0.47|1.0   0 470|   0     0 |bash                 1951 3.8%1687k  30k|bash                 1951 1687k  30k3.8%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 20:26:34 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:34| 13  20  67   0   0| 421M 4135M  167M 2994M|7789B 2160B|   0    32k|   0  8.00 |3226  5249 |0.64 0.61 0.47|1.0   0 381|   0     0 |systemd              1    3.2%   0    0 |bash                 1951 2987k  25k2.2%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 20:26:35 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:35| 10   9  81   0   0| 547M 4008M  167M 3116M|7002B 2106B|   0     0 |   0     0 |3329  4259 |0.64 0.61 0.47|  0   0  85|   0     0 |systemd              1    7.0%   0    0 |bash                 1951  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    3    0
Mar 10 20:26:36 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:36| 10  12  78   0   0| 553M 4001M  167M 3116M|  11k 2214B|   0     0 |   0     0 |2127  3401 |0.64 0.61 0.47|1.0   0 297|   0     0 |keystone-manage      315954.0%1240k  79k|keystone-manage      315951240k  79k4.0%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 20:26:37 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:37| 21   5  74   0   0| 591M 3963M  167M 3116M|8857B 2106B|  76k    0 |2.00     0 | 690   734 |0.67 0.62 0.47|1.0   0 1.0|   0     0 |keystone-manage      31595 25%9362k  83k|keystone-manage      315959362k  83k 25%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 20:26:38 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:38| 17   5  73   5   0| 631M 3921M  167M 3118M|6820B 2106B|  84k 3932k|11.0   152 |1740  3279 |0.67 0.62 0.47|  0 1.0   0|   0     0 |keystone-manage      31595 17%6972k 679k|keystone-manage      315956972k 679k 17%|mysqld       186M|   0     0 |  14    7    0    5    0
Mar 10 20:26:39 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:39|  9   7  71  13   0| 637M 3848M  168M 3183M|6595B 2268B|   0    75M|   0  1010 |4434  9750 |0.67 0.62 0.47|1.0   0 2.0|   0     0 |mysqld               295568.5%   0    0 |keystone-manage      31595  20k  12k4.0%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 10 20:26:40 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:40| 11   5  72  13   0| 639M 3844M  169M 3185M|7386B 1944B|   0  8320k|   0   682 |2997  7353 |0.67 0.62 0.47|1.0   0   0|   0     0 |keystone-manage      315956.2%  21k  13k|keystone-manage      31595  21k  13k6.2%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 10 20:26:41 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:41| 12   5  72  10   0| 641M 3842M  169M 3185M|6221B 2106B|   0  8584k|   0   721 |3938    11k|0.67 0.62 0.47|1.0   0   0|   0     0 |keystone-manage      315957.2%  35k 232k|python               5867  209k 434k1.0%|mysqld       196M|   0     0 |  14    7    0    5    0
Mar 10 20:26:42 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:42| 13   3  72  12   0| 643M 3838M  170M 3186M|  15k 2256B|   0  8384k|   0   678 |4122    11k|0.78 0.64 0.48|1.0   0   0|   0     0 |keystone-manage      315957.2%  41k  99k|python               5867   88k 184k0.5%|mysqld       197M|   0     0 |  14    7    0    5    0
Mar 10 20:26:43 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:43| 10   5  72  13   0| 645M 3835M  170M 3186M|  15k 2160B|   0  9948k|   0   789 |4340  9391 |0.78 0.64 0.48|  0 3.0   0|   0     0 |mysqld               295567.5%   0    0 |keystone-manage      31595  30k  20k5.8%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 10 20:26:44 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:44| 14   5  66  15   0| 647M 3832M  170M 3187M|8343B 2160B|   0    13M|   0   749 |4755  9674 |0.78 0.64 0.48|1.0   0   0|   0     0 |keystone-manage      31595 10%  40k 371k|python               5867  356k 740k1.5%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 10 20:26:45 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:45| 17   5  69   8   0| 648M 3829M  171M 3188M|  12k 2160B|   0  6408k|   0   474 |5067    11k|0.78 0.64 0.48|  0 1.0   0|   0     0 |keystone-manage      31595 12%  54k 379k|python               5867  360k 749k1.8%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 10 20:26:46 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:46| 15   4  71  10   0| 648M 3828M  171M 3189M|9978B 2160B|   0  8476k|   0   660 |4883    12k|0.78 0.64 0.48|1.0   0   0|   0     0 |keystone-manage      315958.2%  47k  33k|keystone-manage      31595  47k  33k8.2%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 10 20:26:47 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:47| 18   7  73   1   0| 596M 3881M  171M 3189M|6460B 2160B|   0  1220k|   0  99.0 |1488  2970 |0.87 0.66 0.49|1.0   0  78|   0     0 |keystone-manage      31676 12%5265k  37k|bash                 1951   18M2010k0.5%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 20:26:48 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:48| 24   3  73   0   0| 579M 3897M  171M 3189M|6283B 1944B|   0  6780k|   0  64.0 | 818  1378 |0.87 0.66 0.49|1.0   0  11|   0     0 |keystone-manage      316880.8% 788k   0 |bash                 1951   17M  76k0.2%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 20:26:49 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:49| 23   5  69   3   0| 629M 3846M  171M 3190M|7590B 2254B|   0    71M|   0   866 |1587  1478 |0.87 0.66 0.49|1.0   0 4.0|   0     0 |keystone-manage      31688 25%  13M  73k|keystone-manage      31688  13M  73k 25%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 20:26:50 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:50| 15  14  70   1   0| 575M 3899M  171M 3191M|7427B 2160B|   0  6484k|   0   140 |2673  4731 |0.87 0.66 0.49|1.0   0 336|   0     0 |bash                 1951 2.5%  18M  97k|bash                 1951   18M  97k2.5%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 20:26:51 cloud-provider1-0000013234 dstat.sh[30283]: 10-03 20:26:51| 13  22  65   0   0| 584M 3889M  171M 3192M|7298B 2052B|   0   112k|   0  14.0 |3945  7117 |0.87 0.66 0.49|2.0   0 394|   0     0 |systemd              1    3.5%   0    0 |bash                 1951 3163k  22k2.0%|mysqld       200M|   0     0 |  14    5    0    6    0
