-- Logs begin at Sat 2020-03-28 07:10:14 UTC, end at Sun 2020-03-29 11:23:57 UTC. --
Mar 29 11:12:51 cloud-provider-iscsi-0000000062 systemd[1]: Started Devstack devstack@dstat.service.
Mar 29 11:12:51 cloud-provider-iscsi-0000000062 dstat.sh[31303]: [286B blob data]
Mar 29 11:12:51 cloud-provider-iscsi-0000000062 dstat.sh[31303]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 29 11:12:51 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:51|  0   0 100   0   0| 424M 4196M  183M 2906M|   0     0 |3563B   91k|0.16  0.89 | 213   190 |0.73 0.64 0.47|1.0   0 0.6|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 3226   70k  61k0.0%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 29 11:12:52 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:52|  8  22  70   0   0| 424M 4195M  183M 2906M|9521B 2160B|   0    64k|   0  4.00 |2559  4397 |0.73 0.64 0.47|1.0   0 431|   0     0 |bash                 3226 4.0%1250k  27k|bash                 3226 1250k  27k4.0%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 29 11:12:53 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:53| 12  22  66   0   0| 424M 4195M  183M 2907M|7834B 2160B|   0    32k|   0  8.00 |2891  6734 |0.73 0.64 0.47|2.0   0 366|   0     0 |systemd              1    3.8%   0    0 |bash                 3226 3068k  24k2.2%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 29 11:12:54 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:54| 11  12  77   0   0| 550M 4068M  183M 3029M|  16k 2160B|   0  3440k|   0  16.0 |3119  5598 |0.73 0.64 0.47|1.0   0 142|   0     0 |systemd              1    6.8%   0    0 |bash                 3226  610k4569B0.5%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 29 11:12:55 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:55|  8  13  79   0   0| 557M 4061M  183M 3029M|7438B 2160B|   0     0 |   0     0 |2082  3662 |0.73 0.64 0.47|3.0   0 299|   0     0 |bash                 3226 2.5% 608k  18k|keystone-manage      326171583k  79k2.2%|mysqld       174M|   0     0 |  14    5    0    6    0
Mar 29 11:12:56 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:56| 23   3  74   1   0| 596M 4022M  183M 3029M|7866B 2052B|  76k    0 |2.00     0 | 706   765 |0.75 0.65 0.47|1.0   0 1.0|   0     0 |keystone-manage      32617 24%9675k  83k|keystone-manage      326179675k  83k 24%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 29 11:12:57 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:57| 19   4  72   5   0| 635M 3980M  184M 3031M|  20k 2052B|  76k 5624k|9.00   290 |2250  4026 |0.75 0.65 0.47|1.0   0   0|   0     0 |keystone-manage      32617 18%6339k 679k|keystone-manage      326176339k 679k 18%|mysqld       187M|   0     0 |  14    7    0    5    0
Mar 29 11:12:58 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:58| 10   6  73  11   0| 641M 3907M  184M 3096M|6958B 2160B|   0    76M|   0  1097 |4796    10k|0.75 0.65 0.47|1.0   0   0|   0     0 |mysqld               305788.8%   0    0 |keystone-manage      32617  23k  14k4.5%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 29 11:12:59 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:12:59|  8   3  68  20   0| 642M 3904M  185M 3097M|8872B 2160B|   0    13M|   0   953 |4127  5824 |0.75 0.65 0.47|  0 1.0   0|   0     0 |keystone-manage      326174.5%  18k  12k|keystone-manage      32617  18k  12k4.5%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 29 11:13:00 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:00| 15   5  69  10   0| 645M 3900M  185M 3098M|7687B 2160B|   0    10M|   0   870 |5574    13k|0.75 0.65 0.47|3.0   0   0|   0     0 |keystone-manage      326178.8%  47k 310k|python               6285  292k 606k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
Mar 29 11:13:01 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:01| 10   4  72  15   0| 647M 3897M  186M 3099M|8216B 2160B|   0  8372k|   0   673 |3679  8474 |0.85 0.67 0.48|2.0   0   0|   0     0 |mysqld               305786.0%   0    0 |keystone-manage      32617  33k  24k5.5%|mysqld       197M|   0     0 |  14    7    0    5    0
Mar 29 11:13:02 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:02| 11   4  72  13   0| 649M 3894M  186M 3099M|7203B 2106B|   0  9448k|   0   748 |3933  8995 |0.85 0.67 0.48|  0 1.0   0|   0     0 |mysqld               305787.0%   0    0 |keystone-manage      32617  30k  20k6.0%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 29 11:13:03 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:03| 23   5  67   6   0| 650M 3891M  187M 3101M|7451B 2214B|   0  5592k|   0   407 |4698    15k|0.85 0.67 0.48|2.0   0   0|   0     0 |keystone-manage      32617 16%  73k 518k|python               6285  480k 997k2.2%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 29 11:13:04 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:04| 15   5  66  14   0| 653M 3887M  187M 3101M|8644B 2160B|   0    39M|   0   945 |4499    11k|0.85 0.67 0.48|  0 2.0   0|   0     0 |keystone-manage      326177.8%  32k 240k|python               6285  239k 496k1.0%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 29 11:13:05 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:05| 17   4  70   9   0| 578M 3962M  187M 3101M|5617B 2160B|   0    16M|   0   533 |3138  9860 |0.85 0.67 0.48|2.0   0  15|   0     0 |mysqld               305785.2%   0    0 |bash                 3226   17M2006k  0%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 29 11:13:06 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:06| 21   6  73   0   0| 615M 3924M  187M 3102M|  15k 1944B|   0  6592k|   0  65.0 |1378  2020 |0.86 0.68 0.48|2.0   0  66|   0     0 |keystone-manage      32698 22%9214k  73k|keystone-manage      326989214k  73k 22%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 29 11:13:07 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:07| 23   3  73   1   0| 589M 3949M  187M 3102M|6981B 2160B|   0  6916k|   0  68.0 |1105  1427 |0.86 0.68 0.48|2.0   0  11|   0     0 |keystone-manage      327105.8%2236k  37k|bash                 3226   17M  76k0.2%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 29 11:13:08 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:08| 25   2  73   1   0| 638M 3899M  187M 3104M|6009B 2160B|   0  6152k|   0   134 |1255  1631 |0.86 0.68 0.48|2.0   0 1.0|   0     0 |keystone-manage      32710 25%  12M  37k|keystone-manage      32710  12M  37k 25%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 29 11:13:09 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:09| 14  14  71   0   0| 578M 3958M  187M 3104M|7313B 2160B|   0    56k|   0  9.00 |2335  4202 |0.86 0.68 0.48|1.0   0 343|   0     0 |bash                 3226 2.8%  18M  98k|bash                 3226   18M  98k2.8%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 29 11:13:10 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:10| 14  22  63   1   0| 588M 3948M  187M 3105M|9053B 2160B|   0    28M|   0   386 |4162  8934 |0.86 0.68 0.48|6.0   0 388|   0     0 |systemd              1    4.2%   0    0 |bash                 3226 2954k  21k1.8%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 29 11:13:11 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:11| 41  12  47   0   0| 655M 3880M  187M 3105M|6793B 2106B|   0     0 |   0     0 |1901  2910 |0.95 0.70 0.49|3.0   0 142|   0     0 |uwsgi                1019  20%8110k  37k|uwsgi                1020 8229k  37k 20%|mysqld       201M|   0     0 |  14    7    0    6    0
Mar 29 11:13:12 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:12| 43   6  49   2   0| 730M 3805M  187M 3106M|8733B 2214B| 140k  208k|3.00  23.0 | 999   830 |0.95 0.70 0.49|2.0   0 2.0|   0     0 |uwsgi                1020  25%8648k 226k|uwsgi                1019 8929k 389k 23%|mysqld       201M|   0     0 |  14    7    0    6    0
Mar 29 11:13:13 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:13| 38  10  52   0   0| 746M 3786M  187M 3108M|6542B 2160B|   0    60k|   0  6.00 |2230  8887 |0.95 0.70 0.49|1.0   0 126|   0     0 |uwsgi                1020  17%1538k 452k|uwsgi                1020 1538k 452k 17%|mysqld       201M|   0     0 |  13    5    0    7    0
Mar 29 11:13:14 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:14| 24   5  71   0   0| 791M 3742M  187M 3108M|8582B 2160B|   0     0 |   0     0 |1517  1569 |0.95 0.70 0.49|1.0   0  51|   0     0 |keystone-manage      1302  24%  10M  73k|keystone-manage      1302   10M  73k 24%|mysqld       201M|   0     0 |  14    5    0    7    0
Mar 29 11:13:15 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:15| 23   3  73   0   0| 835M 3697M  187M 3108M|7382B 2160B|   0  1620k|   0  11.0 | 933  1211 |0.95 0.70 0.49|2.0 1.0 4.0|   0     0 |keystone-manage      1302  24%8595k  10k|keystone-manage      1302 8595k  10k 24%|mysqld       203M|   0     0 |  14   11    0    7    0
Mar 29 11:13:16 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:16| 22   5  73   1   0| 764M 3769M  187M 3108M|6685B 1932B|   0   472k|   0  52.0 |1478  2160 |0.96 0.71 0.49|1.0   0  52|   0     0 |openstack            1393 8.0%2102k   0 |bash                 3226   19M  89k  0%|mysqld       203M|   0     0 |  14    5    0   10    0
Mar 29 11:13:17 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:17| 23   3  73   1   0| 804M 3728M  187M 3108M|7168B 2214B|   0  2364k|   0  63.0 | 974  1256 |0.96 0.71 0.49|1.0   0 2.0|   0     0 |openstack            1393  20%9286k  73k|openstack            1393 9286k  73k 20%|mysqld       203M|   0     0 |  14   13    0   11    0
Mar 29 11:13:18 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:18| 20   5  73   2   0| 772M 3760M  187M 3108M|6325B 2106B|  68k    0 |17.0     0 |1375  2115 |0.96 0.71 0.49|2.0   0  61|   0     0 |uwsgi                1020 6.2% 137k9285B|bash                 3226   11M  76k  0%|mysqld       205M|   0     0 |  14   29    0   15    0
Mar 29 11:13:19 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:19| 23   3  74   0   0| 809M 3723M  187M 3108M|6831B 2214B|   0     0 |   0     0 | 743   828 |0.96 0.71 0.49|1.0   0 2.0|   0     0 |openstack            1457  25%9105k  73k|openstack            1457 9105k  73k 25%|mysqld       205M|   0     0 |  14   29    0   15    0
Mar 29 11:13:20 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:20| 22   7  71   0   0| 780M 3752M  188M 3108M|5708B 2160B|   0    11M|   0   141 |1353  2163 |0.96 0.71 0.49|1.0   0  99|   0     0 |openstack            1558 8.2%2087k   0 |bash                 3226   11M  77k0.5%|mysqld       205M|   0     0 |  14   29    0   20    0
Mar 29 11:13:21 cloud-provider-iscsi-0000000062 dstat.sh[31303]: 29-03 11:13:21| 23   4  74   0   0| 817M 3714M  188M 3108M|  14k 2160B|   0     0 |   0     0 | 882  1151 |0.96 0.71 0.50|1.0   0 2.0|   0     0 |openstack            1558  23%9290k  73k|openstack            1558 9290k  73k 23%|mysqld       205M|   0     0 |  14   31    0   23    0
