"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000225",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Apr 2020 13:57:00 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-04 13:57:00,1.189,0.408,98.213,0.143,0.047,441004032,4682801152,152707072,2842451968,0,0,28275.986,742076.973,1.007,6.506,384.614,501.565,0.850,0.790,0.540,2,0,5.235,0,0,12,3,0,4,0
09-04 13:57:01,10.526,21.303,67.920,0,0.251,440299520,4682584064,152715264,2842894336,9634,2214,0,110592,0,9,2726,4837,0.850,0.790,0.540,2,0,478,0,0,12,3,0,4,0
09-04 13:57:02,13.819,21.357,64.573,0,0.251,449495040,4672901120,152715264,2843500544,7958,2160,0,311296,0,28,3770,8131,0.850,0.790,0.540,4,0,368,0,0,12,3,0,4,0
09-04 13:57:03,6.582,7.089,86.076,0,0.253,572186624,4549697536,152715264,2971369472,7735,2106,0,0,0,0,2213,2978,0.850,0.790,0.540,1,0,59,0,0,14,3,0,4,0
09-04 13:57:04,5.076,13.452,81.218,0,0.254,573448192,4548419584,152719360,2971365376,10791,2214,0,0,0,0,2022,3279,0.780,0.780,0.540,2,0,285,0,0,14,5,0,6,0
09-04 13:57:05,22.111,3.266,74.372,0.251,0,617472000,4504272896,152719360,2971471872,9414,2052,98304,0,4,0,663,857,0.780,0.780,0.540,2,0,10,0,0,14,5,0,6,0
09-04 13:57:06,16.792,4.261,73.183,5.514,0.251,657313792,4461785088,152981504,2973855744,8922,2106,110592,6606848,10,354,2955,4449,0.780,0.780,0.540,1,1,0,0,0,14,7,0,6,0
09-04 13:57:07,7.888,6.361,71.501,14.249,0,662929408,4385710080,153481216,3042156544,8425,2160,0,77697024,0,964,4500,8386,0.780,0.780,0.540,2,0,0,0,0,14,7,0,6,0
09-04 13:57:08,8.521,5.013,70.426,15.789,0.251,665305088,4381974528,153944064,3042959360,15722,2106,0,54468608,0,916,3333,7620,0.780,0.780,0.540,1,1,2,0,0,14,7,0,6,0
09-04 13:57:09,14.824,4.523,69.849,10.804,0,667451392,4378423296,154505216,3043758080,6836,2160,0,8216576,0,657,3733,10561,0.800,0.780,0.540,2,0,0,0,0,14,7,0,6,0
09-04 13:57:10,11.587,3.023,73.300,11.839,0.252,669634560,4374962176,155037696,3044450304,15612,2106,0,8826880,0,697,2504,8881,0.800,0.780,0.540,1,1,0,0,0,14,7,0,6,0
09-04 13:57:11,11.055,4.020,72.362,12.563,0,671854592,4371709952,155602944,3044896768,7068,2160,0,10366976,0,807,2929,9301,0.800,0.780,0.540,2,0,0,0,0,14,7,0,6,0
09-04 13:57:12,20.655,3.778,68.766,6.549,0.252,673538048,4367900672,156008448,3046526976,11341,2256,0,6246400,0,430,4569,12105,0.800,0.780,0.540,4,0,0,0,0,14,7,0,6,0
09-04 13:57:13,13.500,6,65.750,14.750,0,674414592,4366127104,156323840,3047022592,9054,2160,0,48357376,0,892,3383,7964,0.800,0.780,0.540,2,0,0,0,0,14,7,0,6,0
09-04 13:57:14,15.909,5.051,71.465,7.323,0.253,601255936,4438560768,156704768,3047337984,8607,2052,0,7000064,0,495,2876,8878,0.820,0.780,0.550,2,0,27,0,0,14,5,0,7,0
09-04 13:57:15,21.554,5.013,70.677,2.757,0,643723264,4395515904,156729344,3047874560,7217,2160,0,6782976,0,70,1219,1859,0.820,0.780,0.550,2,0,51,0,0,14,5,0,7,0
09-04 13:57:16,23.174,3.023,71.033,2.771,0,613228544,4425486336,156782592,3048341504,10095,2160,0,7049216,0,68,1120,1552,0.820,0.780,0.550,2,0,11,0,0,14,5,0,7,0
09-04 13:57:17,23.750,3.250,72,0.750,0.250,671338496,4366061568,156860416,3049578496,9677,2106,0,7712768,0,213,1242,1601,0.820,0.780,0.550,2,0,0,0,0,14,5,0,7,0
09-04 13:57:18,11.839,19.395,68.262,0.252,0.252,602472448,4433829888,156860416,3050635264,6580,2106,0,3284992,0,137,2891,5024,0.820,0.780,0.550,2,1,430,0,0,14,5,0,7,0
09-04 13:57:19,14.899,21.212,63.889,0,0,610697216,4425072640,156860416,3051540480,6771,2160,0,57344,0,10,3978,6959,0.830,0.790,0.550,5,0,315,0,0,14,5,0,7,0
09-04 13:57:20,47.103,8.816,43.577,0.252,0.252,701755392,4333768704,156860416,3051806720,8459,2160,131072,0,1,0,1381,2003,0.830,0.790,0.550,3,0,129,0,0,14,7,0,7,0
09-04 13:57:21,48.241,5.528,45.980,0.251,0,763539456,4269715456,156872704,3053678592,14647,2106,20480,303104,4,36,1074,4538,0.830,0.790,0.550,3,0,0,0,0,14,7,0,7,0
09-04 13:57:22,28.822,10.025,61.153,0,0,798502912,4233887744,156872704,3054178304,8409,2214,0,0,0,0,2305,3525,0.830,0.790,0.550,2,0,173,0,0,14,5,0,8,0
09-04 13:57:23,23.116,2.513,74.121,0,0.251,845676544,4186591232,156872704,3054305280,6853,2052,0,0,0,0,678,776,0.830,0.790,0.550,2,0,0,0,0,14,5,0,8,0
09-04 13:57:24,21.608,5.025,72.613,0.754,0,787083264,4245135360,156905472,3054301184,6438,2160,0,1486848,0,87,1489,2491,0.850,0.790,0.550,3,0,54,0,0,14,5,0,11,0
09-04 13:57:25,22.111,3.518,73.869,0.503,0,824229888,4207943680,156909568,3054333952,10053,2160,0,2957312,0,157,946,1017,0.850,0.790,0.550,2,0,1,0,0,14,5,0,11,0
09-04 13:57:26,20.101,4.523,71.357,3.769,0.251,795971584,4236075008,156921856,3054419968,15032,2202,73728,4968448,18,248,2816,2364,0.850,0.790,0.550,3,0,63,0,0,14,29,0,16,0
09-04 13:57:27,22.922,3.275,73.804,0,0,839684096,4192342016,156921856,3054440448,7270,2160,0,0,0,0,723,816,0.850,0.790,0.550,2,0,1,0,0,14,31,0,17,0
09-04 13:57:28,20.301,8.271,69.424,1.754,0.251,820756480,4211077120,156921856,3054592000,8084,2106,0,13406208,0,413,1960,2284,0.850,0.790,0.550,2,0,102,0,0,14,29,0,22,0
09-04 13:57:29,22.362,4.523,73.116,0,0,799748096,4232065024,156921856,3054596096,6654,2106,0,0,0,0,1201,1885,0.860,0.800,0.550,2,0,21,0,0,14,29,0,29,0
09-04 13:57:30,22.864,3.015,73.869,0,0.251,840736768,4190838784,156921856,3054833664,6059,2160,0,0,0,0,785,949,0.860,0.800,0.550,2,0,1,0,0,14,29,0,31,0
09-04 13:57:31,23.308,5.013,71.679,0,0,816930816,4214439936,156925952,3054997504,5438,2160,0,466944,0,15,1320,2276,0.860,0.800,0.550,2,0,74,0,0,14,29,0,37,0
09-04 13:57:32,22.864,3.518,73.367,0,0.251,846983168,4184248320,156925952,3055132672,6935,2052,0,0,0,0,1199,1868,0.860,0.800,0.550,2,0,0,0,0,14,29,0,45,0
09-04 13:57:33,21.159,5.793,72.544,0.504,0,831094784,4200087552,156934144,3055173632,10267,2160,0,1449984,0,97,1223,1708,0.860,0.800,0.550,2,0,101,0,0,14,29,0,45,0
09-04 13:57:34,22.362,4.774,72.864,0,0,806711296,4224471040,156934144,3055173632,18603,2160,0,0,0,0,1176,1745,0.870,0.800,0.560,2,0,68,0,0,14,29,0,50,0
09-04 13:57:35,22.250,3.750,73.500,0.250,0.250,845844480,4185321472,156934144,3055190016,9138,2202,0,352256,0,15,834,935,0.870,0.800,0.560,2,0,1,0,0,14,31,0,51,0
