-- Logs begin at Fri 2020-04-10 15:21:16 UTC, end at Fri 2020-04-10 16:39:01 UTC. --
Apr 10 16:07:58 cloud-provider-iscsi-0000000238 systemd[1]: Started Devstack devstack@dstat.service.
Apr 10 16:07:58 cloud-provider-iscsi-0000000238 dstat.sh[23690]: [286B blob data]
Apr 10 16:07:58 cloud-provider-iscsi-0000000238 dstat.sh[23690]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 10 16:07:58 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:07:58|  5   2  93   1   0| 420M 4450M  145M 2729M|   0     0 | 117k 3115k|4.31  27.6 | 950  1633 |0.63 0.74 0.50|1.0   0  20|   0     0 |systemd              1    0.1%   0    0 |bash                 1995 2121k1997k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 10 16:07:59 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:07:59|  8  23  69   0   0| 420M 4449M  145M 2730M|6705B 2160B|   0   260k|   0  9.00 |2751  5347 |0.66 0.75 0.50|3.0   0 483|   0     0 |bash                 1995 3.8%1989k  31k|bash                 1995 1989k  31k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 10 16:08:00 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:00| 14  20  66   0   0| 422M 4447M  145M 2730M|8031B 2106B|   0    32k|   0  8.00 |3096  5861 |0.66 0.75 0.50|1.0   0 373|   0     0 |systemd              1    3.5%   0    0 |bash                 1995 2649k  22k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 10 16:08:01 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:01|  9  10  82   0   0| 547M 4321M  145M 2852M|6446B 2214B|   0     0 |   0     0 |2716  4876 |0.66 0.75 0.50|1.0   0  86|   0     0 |systemd              1    7.2%   0    0 |bash                 1995  423k3465B0.2%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 10 16:08:02 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:02| 15  13  71   0   0| 567M 4301M  145M 2852M|  14k 2202B|   0   328k|   0  20.0 |2076  3228 |0.66 0.75 0.50|1.0   0 264|   0     0 |keystone-manage      25002 12%5336k  79k|keystone-manage      250025336k  79k 12%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 10 16:08:03 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:03| 22   3  74   1   0| 610M 4257M  145M 2853M|6343B 2160B| 192k    0 |13.0     0 | 725   766 |0.66 0.75 0.50|1.0   0   0|   0     0 |keystone-manage      25002 24%  10M 568k|keystone-manage      25002  10M 568k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 10 16:08:04 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:04| 12   5  72  11   0| 628M 4237M  145M 2855M|9382B 2106B|  12k   10M|1.00   741 |4569  7166 |0.68 0.75 0.51|  0 1.0 2.0|   0     0 |keystone-manage      250027.5% 961k 136k|keystone-manage      25002 961k 136k7.5%|mysqld       189M|   0     0 |  14    7    0    6    0
Apr 10 16:08:05 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:05|  9   6  71  14   0| 633M 4165M  146M 2920M|8667B 1998B|   0    73M|   0   784 |4061  6949 |0.68 0.75 0.51|  0 1.0   0|   0     0 |mysqld               229727.0%   0    0 |keystone-manage      25002  30k  18k5.0%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 10 16:08:06 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:06| 12   4  71  12   0| 635M 4162M  147M 2921M|6669B 2106B|   0  9956k|   0   861 |4461  9904 |0.68 0.75 0.51|3.0 1.0   0|   0     0 |mysqld               229728.0%   0    0 |keystone-manage      25002  37k  21k5.5%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 10 16:08:07 cloud-provider-iscsi-0000000238 dstat.sh[23690]: 10-04 16:08:07| 15   7  70   8   0| 638M 4157M  147M 2922M|8703B 2160B|   0  9624k|   0   748 |5225    14k|0.68 0.75 0.51|  0 2.0   0|   0     0 |keystone-manage      250029.5%  45k 296k|python3.6            5746  276k 575k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
