"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000259",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","14 Apr 2020 18:32:41 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
14-04 18:32:41,3.432,1.144,94.940,0.438,0.045,441421824,4670447616,152547328,2857037824,0,0,87881.776,2285760.871,3.138,20.319,728.822,1245.819,0.570,0.620,0.450,2,0,14.626,0,0,12,3,0,4,0
14-04 18:32:42,8.861,20.506,70.633,0,0,442068992,4668973056,152551424,2857500672,8367,2106,0,540672,0,24,2488,4690,0.570,0.620,0.450,2,0,426,0,0,12,3,0,4,0
14-04 18:32:43,13.131,20.707,66.162,0,0,443166720,4667383808,152551424,2858000384,8333,2214,0,36864,0,9,3251,5963,0.570,0.620,0.450,2,0,389,0,0,12,3,0,4,0
14-04 18:32:44,10.859,10.354,78.535,0,0.253,573636608,4536311808,152551424,2986229760,8571,2202,0,4096,0,1,3306,5332,0.570,0.620,0.450,1,0,120,0,0,14,3,0,4,0
14-04 18:32:45,6.818,11.111,81.818,0,0.253,574423040,4535439360,152555520,2986258432,11049,2160,0,0,0,0,1976,3298,0.570,0.620,0.450,2,0,277,0,0,14,5,0,6,0
14-04 18:32:46,23,3.250,73.250,0.500,0,619945984,4489682944,152555520,2986491904,8435,2160,98304,0,4,0,801,913,0.610,0.630,0.450,4,0,18,0,0,14,5,0,6,0
14-04 18:32:47,17.380,2.771,74.307,5.542,0,654737408,4453666816,152563712,2987683840,8678,2160,110592,2330624,10,29,969,2100,0.610,0.630,0.450,3,0,0,0,0,14,7,0,6,0
14-04 18:32:48,4.810,4.304,74.177,16.709,0,660287488,4446232576,152928256,2989121536,7786,2160,0,55709696,0,769,3196,4546,0.610,0.630,0.450,1,1,0,0,0,14,7,0,6,0
14-04 18:32:49,6.107,3.817,73.282,16.794,0,664104960,4372619264,153341952,3056889856,6019,2160,0,75091968,0,705,3229,7014,0.610,0.630,0.450,1,1,0,0,0,14,7,0,6,0
14-04 18:32:50,6.549,3.526,72.796,17.128,0,666365952,4368887808,153821184,3057815552,23812,2160,0,8822784,0,757,3676,8273,0.610,0.630,0.450,1,1,0,0,0,14,7,0,6,0
14-04 18:32:51,13.716,5.486,70.075,10.723,0,668233728,4365701120,154370048,3058544640,6357,1944,0,8232960,0,679,4684,12787,0.720,0.650,0.460,4,0,0,0,0,14,7,0,6,0
14-04 18:32:52,10.250,3.500,71,15,0.250,670765056,4361633792,154955776,3059421184,5887,2160,0,8990720,0,717,3759,9221,0.720,0.650,0.460,2,0,2,0,0,14,7,0,6,0
14-04 18:32:53,9.669,4.835,67.939,17.557,0,672911360,4358586368,155439104,3059777536,11025,2160,0,45895680,0,1011,4041,9622,0.720,0.650,0.460,1,1,0,0,0,14,7,0,6,0
14-04 18:32:54,22.362,4.774,66.332,6.533,0,674246656,4354854912,155877376,3061649408,10890,2160,0,6197248,0,425,7710,18460,0.720,0.650,0.460,2,0,0,0,0,14,7,0,6,0
14-04 18:32:55,12.129,5.693,68.812,13.119,0.248,675258368,4353011712,156286976,3062046720,8199,2160,0,8790016,0,690,5016,10303,0.720,0.650,0.460,1,1,0,0,0,14,7,0,6,0
14-04 18:32:56,14.467,5.076,71.827,8.629,0,602464256,4425351168,156545024,3062222848,9022,2160,0,5537792,0,397,3897,6685,0.820,0.670,0.470,2,0,24,0,0,14,5,0,7,0
14-04 18:32:57,22.362,4.020,73.367,0.251,0,647954432,4379299840,156594176,3062722560,6245,2160,0,6995968,0,73,1063,1648,0.820,0.670,0.470,2,0,54,0,0,14,5,0,7,0
14-04 18:32:58,22.807,3.008,68.170,5.764,0.251,614064128,4412596224,156614656,3063275520,7290,2106,0,10432512,0,227,1320,1441,0.820,0.670,0.470,2,0,11,0,0,14,5,0,7,0
14-04 18:32:59,23.559,3.008,68.922,4.511,0,665419776,4360310784,156635136,3064160256,5512,2160,0,4304896,0,117,1056,1179,0.820,0.670,0.470,2,1,0,0,0,14,5,0,7,0
14-04 18:33:00,12.658,16.709,67.848,2.785,0,603820032,4420874240,156737536,3065118720,7467,2214,0,3735552,0,102,2691,4630,0.820,0.670,0.470,3,0,338,0,0,14,5,0,7,0
14-04 18:33:01,13.555,20.205,65.985,0,0.256,611880960,4412039168,156741632,3065950208,9066,1890,0,167936,0,14,4350,8369,0.920,0.700,0.470,10,0,398,0,0,14,5,0,7,0
14-04 18:33:02,42.317,11.587,46.096,0,0,680046592,4343435264,156749824,3066548224,7922,2214,0,352256,0,6,1908,2348,0.920,0.700,0.470,3,0,146,0,0,14,7,0,7,0
14-04 18:33:03,43.216,4.523,47.739,4.523,0,752750592,4269830144,156758016,3067244544,14978,2160,151552,2879488,5,241,1412,765,0.920,0.700,0.470,1,1,0,0,0,14,7,0,7,0
14-04 18:33:04,35.338,11.779,52.882,0,0,777777152,4242731008,156758016,3069034496,6112,2160,0,479232,0,47,2274,5526,0.920,0.700,0.470,3,0,155,0,0,13,5,0,8,0
14-04 18:33:05,23.750,3.750,72.250,0,0.250,814710784,4205756416,156758016,3069042688,8582,2160,0,0,0,0,1034,1059,0.920,0.700,0.470,2,0,18,0,0,14,5,0,8,0
14-04 18:33:06,22.556,3.258,73.684,0.501,0,859738112,4160651264,156778496,3069067264,16736,2160,0,1507328,0,24,1010,1311,0.920,0.700,0.480,2,0,2,0,0,14,11,0,8,0
14-04 18:33:07,20.352,5.276,72.864,1.508,0,802865152,4217479168,156815360,3069075456,6682,2160,0,364544,0,50,1330,1851,0.920,0.700,0.480,3,0,53,0,0,14,5,0,11,0
14-04 18:33:08,22.670,3.526,73.300,0.252,0.252,830980096,4189249536,156823552,3069083648,7461,2160,0,2801664,0,65,1036,1351,0.920,0.700,0.480,3,0,0,0,0,14,15,0,12,0
14-04 18:33:09,17.085,4.774,70.352,7.789,0,801828864,4218277888,156831744,3069186048,10314,2244,73728,10117120,18,150,1511,2006,0.920,0.700,0.480,3,0,61,0,0,14,29,0,16,0
14-04 18:33:10,22.670,3.275,74.055,0,0,840994816,4179111936,156831744,3069186048,7343,2160,0,0,0,0,712,790,0.920,0.700,0.480,2,0,1,0,0,14,29,0,16,0
14-04 18:33:11,21.357,6.533,72.111,0,0,816971776,4202983424,156831744,3069337600,6027,2052,0,0,0,0,1377,2165,0.930,0.710,0.480,2,0,100,0,0,14,29,0,21,0
14-04 18:33:12,23.559,3.008,73.183,0,0.251,844156928,4175429632,156831744,3069685760,6109,2052,0,0,0,0,1081,1533,0.930,0.710,0.480,2,0,2,0,0,14,29,0,26,2
14-04 18:33:13,21.859,4.271,73.869,0,0,828186624,4191371264,156831744,3069710336,6111,2234,0,0,0,0,945,1255,0.930,0.710,0.480,2,0,22,0,0,14,29,0,29,0
