"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000205",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Apr 2020 01:26:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-04 01:26:47,1.511,0.517,97.750,0.177,0.045,440500224,4663095296,153182208,2864984064,0,0,37883.955,1000517.144,1.357,8.865,414.738,615.128,0.490,0.530,0.420,4,0,6.371,0,0,12,3,0,4,0
09-04 01:26:48,9.572,21.411,68.766,0,0.252,441774080,4660973568,153190400,2865442816,7212,2160,24576,176128,1,8,2499,4543,0.490,0.530,0.420,1,0,451,0,0,12,3,0,4,0
09-04 01:26:49,11.471,22.693,65.586,0,0.249,440475648,4661829632,153190400,2865844224,17852,2106,0,36864,0,9,3428,6111,0.490,0.530,0.420,2,0,379,0,0,12,3,0,4,0
09-04 01:26:50,13.889,17.424,68.434,0,0.253,572592128,4529078272,153190400,2994065408,11723,2106,0,0,0,0,4252,6639,0.450,0.520,0.410,1,0,343,0,0,14,5,0,4,0
09-04 01:26:51,19.549,6.266,73.434,0.501,0.251,615124992,4486279168,153194496,2994294784,8137,2160,98304,335872,4,22,1043,1363,0.450,0.520,0.410,1,0,61,0,0,14,5,0,6,0
09-04 01:26:52,20.750,3,73,3.250,0,652816384,4447375360,153214976,2995486720,8680,2106,110592,2166784,10,22,848,1468,0.450,0.520,0.410,1,0,0,0,0,14,7,0,6,0
09-04 01:26:53,8.816,3.526,72.040,15.617,0,659730432,4438405120,153632768,2997137408,7938,2160,0,10141696,0,870,4068,7581,0.450,0.520,0.410,3,0,0,0,0,14,7,0,6,0
09-04 01:26:54,8.291,5.276,72.362,13.819,0.251,663216128,4364701696,153972736,3065430016,7736,2160,0,75104256,0,652,3662,6957,0.450,0.520,0.410,0,1,0,0,0,14,7,0,6,0
09-04 01:26:55,9.227,6.484,71.571,12.469,0.249,665300992,4361875456,154476544,3065622528,7769,2160,0,8523776,0,731,4001,8487,0.580,0.550,0.420,1,0,0,0,0,14,7,0,6,0
09-04 01:26:56,12.911,6.076,67.848,12.911,0.253,666738688,4359147520,154841088,3066515456,8010,2160,0,59465728,0,698,3502,8221,0.580,0.550,0.420,1,0,0,0,0,14,7,0,6,0
09-04 01:26:57,11.055,4.271,71.859,12.563,0.251,668774400,4355686400,155500544,3067236352,8957,2160,0,8896512,0,695,3016,8996,0.580,0.550,0.420,0,1,0,0,0,14,7,0,6,0
09-04 01:26:58,11.616,4.545,71.212,12.626,0,670670848,4352843776,156123136,3067523072,8612,2202,0,9363456,0,733,3442,9628,0.580,0.550,0.420,1,0,0,0,0,14,7,0,6,0
09-04 01:26:59,16.751,4.822,70.305,7.868,0.254,672387072,4349640704,156450816,3068608512,9278,2052,0,5853184,0,427,4949,13330,0.580,0.550,0.420,1,0,0,0,0,14,7,0,6,0
09-04 01:27:00,16.667,4.798,68.939,9.343,0.253,674193408,4346236928,156856320,3069784064,7698,2160,0,7188480,0,541,5886,13799,0.610,0.560,0.430,2,1,0,0,0,14,7,0,6,0
09-04 01:27:01,13.784,5.013,69.674,11.529,0,674750464,4344877056,157384704,3070025728,7286,1998,0,40501248,0,788,4075,10935,0.610,0.560,0.430,1,0,2,0,0,14,7,0,6,0
09-04 01:27:02,19.598,6.030,71.106,3.015,0.251,613519360,4406013952,157442048,3070074880,8379,2214,0,2351104,0,160,1819,2564,0.610,0.560,0.430,1,0,78,0,0,14,5,0,7,0
09-04 01:27:03,24.311,2.506,72.932,0.251,0,670580736,4348428288,157478912,3070562304,17889,2202,0,7200768,0,71,1026,1313,0.610,0.560,0.430,1,0,0,0,0,14,5,0,7,0
09-04 01:27:04,23.192,3.491,72.319,0.748,0.249,644345856,4374081536,157483008,3071111168,7266,2160,0,7139328,0,68,1066,1379,0.610,0.560,0.430,1,0,11,0,0,14,5,0,7,0
09-04 01:27:05,18.640,8.312,70.025,2.771,0.252,602419200,4414476288,157605888,3072483328,7664,2160,0,7016448,0,170,2200,3498,0.640,0.560,0.430,2,0,194,0,0,14,5,0,7,0
09-04 01:27:06,11.250,21.500,65.250,1.750,0.250,601673728,4414164992,157609984,3073523712,10737,2160,0,4653056,0,265,3249,5352,0.640,0.560,0.430,0,1,457,0,0,14,5,0,7,0
09-04 01:27:07,28.244,16.539,53.690,1.527,0,633044992,4382253056,157618176,3074404352,11805,2160,0,843776,0,142,3802,7611,0.640,0.560,0.430,2,0,219,0,0,14,7,0,7,0
09-04 01:27:08,45.865,4.261,48.872,0.752,0.251,714715136,4300333056,157626368,3074539520,11908,2160,131072,516096,1,6,1063,856,0.640,0.560,0.430,2,0,2,0,0,14,7,0,7,0
09-04 01:27:09,44.975,7.286,46.985,0.754,0,768225280,4244295680,157634560,3076702208,8707,2160,20480,0,4,0,1874,6775,0.640,0.560,0.430,3,0,81,0,0,14,5,0,8,0
09-04 01:27:10,21.608,7.538,70.603,0,0.251,817868800,4194340864,157634560,3076898816,8835,1944,0,0,0,0,1617,2019,0.670,0.570,0.430,1,0,87,0,0,14,5,0,8,0
09-04 01:27:11,22.922,3.023,73.300,0.756,0,857575424,4154531840,157675520,3076931584,8254,2160,0,1675264,0,73,1495,2152,0.670,0.570,0.430,1,0,4,0,0,14,11,0,8,0
09-04 01:27:12,21.500,4.750,73.500,0,0.250,800993280,4211113984,157675520,3076931584,8787,2106,0,0,0,0,890,1084,0.670,0.570,0.430,1,0,53,0,0,14,5,0,11,0
09-04 01:27:13,21.212,2.273,74.495,2.020,0,831844352,4180230144,157675520,3076943872,6697,2214,65536,0,16,0,918,1281,0.670,0.570,0.430,0,1,0,0,0,14,17,0,13,0
09-04 01:27:14,20.802,5.514,73.183,0.251,0.251,814329856,4197646336,157675520,3077038080,7084,2160,8192,0,2,0,1226,1879,0.670,0.570,0.430,1,0,62,0,0,14,29,0,16,0
09-04 01:27:15,21.266,6.076,72.658,0,0,793604096,4218220544,157675520,3077185536,6379,2160,0,0,0,0,1201,2056,0.700,0.580,0.440,1,0,86,0,0,14,29,0,21,0
09-04 01:27:16,23.116,3.266,73.116,0.251,0.251,829902848,4181889024,157687808,3077181440,8200,2160,0,3244032,0,68,973,1157,0.700,0.580,0.440,1,0,14,0,0,14,29,0,21,0
