"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000223",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Apr 2020 10:03:10 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-04 10:03:10,2.399,0.827,96.407,0.315,0.051,442064896,4657692672,152125440,2865983488,0,0,58241.014,1517497.305,2.080,13.335,566.024,870.531,0.770,0.770,0.530,4,0,10.559,0,0,12,3,0,4,0
09-04 10:03:11,11.139,19.747,68.861,0,0.253,443662336,4655390720,152129536,2866311168,8438,2052,24576,106496,1,9,2699,4955,0.770,0.770,0.530,5,0,480,0,0,12,3,0,4,0
09-04 10:03:12,11.929,21.066,67.005,0,0,443019264,4655489024,152129536,2866933760,19892,2160,0,32768,0,8,3384,6955,0.770,0.770,0.530,4,0,361,0,0,12,3,0,4,0
09-04 10:03:13,10.101,9.343,80.303,0,0.253,574652416,4523188224,152129536,2995036160,9687,2160,0,0,0,0,2817,4823,0.870,0.790,0.530,3,0,137,0,0,14,5,0,4,0
09-04 10:03:14,15.365,12.091,72.544,0,0,599461888,4498325504,152129536,2995068928,7109,2160,0,335872,0,23,1824,3135,0.870,0.790,0.530,2,0,246,0,0,14,5,0,6,0
09-04 10:03:15,18.797,2.506,74.185,4.511,0,633827328,4463345664,152129536,2995683328,9370,2254,176128,0,10,0,644,732,0.870,0.790,0.530,1,1,0,0,0,14,5,0,6,0
09-04 10:03:16,13.854,4.534,72.544,8.816,0.252,660238336,4434210816,152489984,2998046720,7610,2160,32768,9375744,4,641,3816,6448,0.870,0.790,0.530,1,1,2,0,0,14,7,0,6,0
09-04 10:03:17,12.189,6.716,70.398,10.697,0,665829376,4358090752,153108480,3066376192,15312,2160,0,79523840,0,1084,5739,10075,0.870,0.790,0.530,2,0,0,0,0,14,7,0,6,0
09-04 10:03:18,15.365,5.793,67.254,11.587,0,668663808,4353822720,153604096,3067219968,5917,2160,0,10084352,0,819,6133,11972,1.040,0.820,0.550,3,0,0,0,0,14,7,0,6,0
09-04 10:03:19,8.376,4.315,68.782,18.274,0.254,669614080,4351975424,153960448,3067748352,6450,2160,0,68448256,0,813,3995,7438,1.040,0.820,0.550,2,0,0,0,0,14,7,0,6,0
09-04 10:03:20,14.394,4.040,70.707,10.859,0,672542720,4347424768,154824704,3068403712,6677,2160,0,12718080,0,972,6305,11580,1.040,0.820,0.550,1,1,0,0,0,14,7,0,6,0
09-04 10:03:21,20.102,4.071,69.975,5.598,0.254,674697216,4343263232,155336704,3069865984,6106,1944,0,7462912,0,551,6276,12107,1.040,0.820,0.550,2,0,0,0,0,14,7,0,6,0
09-04 10:03:22,13.706,4.569,69.036,12.690,0,675971072,4340506624,155770880,3070894080,8031,2160,0,7303168,0,589,5689,10853,1.040,0.820,0.550,2,0,0,0,0,14,7,0,6,0
09-04 10:03:23,9.596,3.535,72.727,14.141,0,676327424,4339802112,156041216,3070935040,15175,2160,0,4538368,0,322,2695,6179,1.040,0.830,0.550,1,1,0,0,0,14,7,0,6,0
09-04 10:03:24,12.531,6.015,72.180,9.023,0.251,609140736,4406652928,156233728,3071070208,8531,2160,0,3375104,0,240,2441,4945,1.040,0.830,0.550,3,0,78,0,0,14,5,0,7,0
09-04 10:03:25,22.418,3.778,72.544,1.259,0,657010688,4358279168,156282880,3071524864,9462,2160,0,31637504,0,314,1121,1345,1.040,0.830,0.550,3,0,0,0,0,14,5,0,7,0
09-04 10:03:26,22.750,4.250,70.500,2.500,0,643588096,4371062784,156336128,3072094208,7600,2160,0,7036928,0,69,1051,1568,1.040,0.830,0.550,2,0,13,0,0,14,5,0,7,0
09-04 10:03:27,20.960,6.061,70.960,2.020,0,604299264,4408778752,156438528,3073564672,7565,2160,0,6823936,0,150,1630,2961,1.040,0.830,0.550,3,0,167,0,0,14,5,0,7,0
09-04 10:03:28,11.224,21.173,67.347,0,0.255,604471296,4407726080,156442624,3074383872,7159,2106,0,118784,0,16,2882,6073,1.030,0.830,0.550,5,0,506,0,0,14,5,0,7,0
09-04 10:03:29,32.412,14.322,53.266,0,0,644739072,4367077376,156442624,3075059712,6569,2214,0,0,0,0,3846,8154,1.030,0.830,0.550,3,0,199,0,0,14,7,0,7,0
09-04 10:03:30,43.860,3.759,48.872,3.509,0,735977472,4275306496,156450816,3075465216,6610,2106,151552,8339456,6,453,1365,772,1.030,0.830,0.550,3,0,1,0,0,14,7,0,7,0
09-04 10:03:31,38.462,10.422,50.868,0,0.248,776060928,4232658944,156450816,3077652480,6823,2052,0,774144,0,102,2077,7504,1.030,0.830,0.550,2,0,145,0,0,13,5,0,8,0
09-04 10:03:32,23.929,4.030,72.040,0,0,823111680,4185272320,156450816,3077791744,11596,2106,0,0,0,0,1136,1281,1.030,0.830,0.550,2,0,31,0,0,14,5,0,8,0
09-04 10:03:33,21.500,3,73,2.500,0,860250112,4148133888,156504064,3077820416,16863,2160,0,1454080,0,70,1393,2213,1.110,0.850,0.560,2,0,2,0,0,14,11,0,8,0
09-04 10:03:34,22.500,4,73.250,0,0.250,808202240,4200181760,156504064,3077820416,7085,2160,0,0,0,0,937,1158,1.110,0.850,0.560,2,0,53,0,0,14,5,0,11,0
09-04 10:03:35,21.805,2.757,73.434,2.005,0,834883584,4173479936,156504064,3077824512,21289,2106,73728,9031680,18,116,1093,1391,1.110,0.850,0.560,2,0,0,0,0,14,23,0,13,0
09-04 10:03:36,21.859,5.025,72.864,0,0.251,821170176,4187082752,156504064,3077926912,14609,2214,0,0,0,0,1328,1887,1.110,0.850,0.560,3,0,64,0,0,14,29,0,16,0
09-04 10:03:37,21.914,5.542,72.544,0,0,805433344,4202803200,156504064,3077943296,8560,2160,0,0,0,0,1333,2212,1.110,0.850,0.560,2,0,99,0,0,14,29,0,21,0
09-04 10:03:38,23.134,3.483,72.637,0.498,0.249,843907072,4164173824,156508160,3078082560,7584,2160,0,5988352,0,112,1149,1434,1.110,0.850,0.560,2,0,1,0,0,14,29,0,23,0
09-04 10:03:39,22.807,3.509,73.684,0,0,821260288,4186591232,156508160,3078311936,7295,2202,0,0,0,0,1269,2017,1.100,0.850,0.560,3,0,22,0,0,14,29,0,29,0
09-04 10:03:40,24.324,3.194,71.007,1.474,0,846000128,4161851392,156524544,3078295552,6000,2160,0,1228800,0,30,1383,2049,1.100,0.850,0.560,3,0,2,0,0,14,29,0,37,0
09-04 10:03:41,22.449,4.592,72.704,0,0.255,840790016,4166979584,156528640,3078352896,5744,2160,0,352256,0,21,926,1343,1.100,0.850,0.560,2,0,72,0,0,14,29,0,37,0
09-04 10:03:42,21.340,6.948,71.712,0,0,811757568,4195741696,156528640,3078619136,6818,2160,0,0,0,0,1758,2667,1.100,0.850,0.560,4,0,101,0,0,14,29,0,45,0
09-04 10:03:43,23.426,3.275,73.300,0,0,798310400,4209057792,156528640,3078733824,6459,1944,0,0,0,0,1025,1493,1.100,0.850,0.560,2,0,17,0,0,14,29,0,50,0
09-04 10:03:44,22.500,4.250,73,0,0.250,843059200,4164304896,156536832,3078729728,6942,2160,0,65536,0,6,847,1224,1.090,0.850,0.560,2,0,52,0,0,14,29,0,50,0
09-04 10:03:45,20.854,6.281,72.362,0.503,0,812466176,4194856960,156545024,3078762496,7255,2160,0,2662400,0,37,1500,2212,1.090,0.850,0.560,2,0,70,0,0,14,29,0,56,0
09-04 10:03:46,23.869,2.513,73.618,0,0,851197952,4156096512,156553216,3078762496,11432,2160,0,221184,0,9,905,1053,1.090,0.850,0.560,2,0,3,0,0,14,31,0,57,0
09-04 10:03:47,21.250,5.500,73,0,0.250,835866624,4171390976,156573696,3078778880,17156,2160,0,147456,0,14,1168,1787,1.090,0.850,0.560,2,1,69,0,0,14,29,0,60,0
09-04 10:03:48,22.613,4.523,72.864,0,0,811786240,4195467264,156594176,3078762496,8292,2160,0,143360,0,14,1223,1874,1.090,0.850,0.560,2,0,72,0,0,14,29,0,64,0
09-04 10:03:49,23.116,3.015,73.618,0,0.251,851263488,4155953152,156610560,3078782976,22947,2160,0,311296,0,15,780,805,1.090,0.860,0.570,2,0,1,0,0,14,29,0,64,0
09-04 10:03:50,22.111,4.774,72.864,0.251,0,833892352,4173275136,156626944,3078815744,9653,2160,0,1331200,0,55,1317,1874,1.090,0.860,0.570,5,0,78,0,0,14,29,0,68,0
09-04 10:03:51,21.554,5.764,72.682,0,0,813219840,4193779712,156635136,3078971392,10828,2106,0,176128,0,3,1292,2037,1.090,0.860,0.570,2,0,85,0,0,14,29,0,73,0
09-04 10:03:52,22.693,4.239,72.818,0,0.249,851820544,4155179008,156639232,3078967296,7336,1944,0,294912,0,12,940,1178,1.090,0.860,0.570,2,0,1,0,0,14,31,0,75,0
09-04 10:03:53,20,6.582,73.418,0,0,832167936,4174798848,156643328,3078995968,6350,2214,0,32768,0,3,1359,2072,1.090,0.860,0.570,3,0,98,0,0,14,29,0,78,0
09-04 10:03:54,20.802,7.268,71.679,0.251,0,806957056,4199997440,156651520,3079000064,7587,2160,0,225280,0,21,1530,2715,1.080,0.860,0.570,2,0,144,0,0,14,29,0,83,0
09-04 10:03:55,23,3.250,73.500,0,0.250,848793600,4158140416,156651520,3079020544,8136,2160,0,1658880,0,32,833,952,1.080,0.860,0.570,2,0,1,0,0,14,29,0,83,0
09-04 10:03:56,22.613,5.025,72.362,0,0,826966016,4179779584,156663808,3079192576,7662,2160,0,36864,0,6,1517,2238,1.080,0.860,0.570,2,0,24,0,0,14,29,0,92,0
09-04 10:03:57,23.632,4.975,70.896,0.249,0.249,805093376,4201652224,156663808,3079192576,8153,2160,0,49152,0,3,1392,2171,1.080,0.860,0.570,3,0,65,0,0,14,29,0,100,0
09-04 10:03:58,24.121,2.010,73.869,0,0,851955712,4154740736,156672000,3079233536,16044,2106,0,151552,0,9,863,984,1.080,0.860,0.570,2,0,7,0,0,14,29,0,100,0
09-04 10:03:59,20.449,9.227,70.324,0,0,816848896,4189671424,156676096,3079401472,6582,2214,0,24576,0,5,1925,3310,1.070,0.860,0.570,2,0,168,0,0,14,29,0,109,0
09-04 10:04:00,23.441,3.491,72.818,0,0.249,853827584,4152680448,156676096,3079413760,16886,2160,0,225280,0,3,1052,1548,1.070,0.860,0.570,2,0,1,0,0,14,31,0,116,0
09-04 10:04:01,21.859,4.523,73.618,0,0,835223552,4171251712,156676096,3079446528,5561,2160,0,0,0,0,928,1239,1.070,0.860,0.570,3,0,22,0,0,14,29,0,118,0
09-04 10:04:02,23.750,5.250,71,0,0,810479616,4195958784,156688384,3079467008,5186,1944,0,200704,0,18,1378,2313,1.070,0.860,0.570,2,0,71,0,0,14,29,0,126,0
09-04 10:04:03,23.500,2.500,73.500,0.250,0.250,849620992,4156801024,156692480,3079479296,5303,2160,0,315392,0,15,790,914,1.070,0.860,0.570,2,0,1,0,0,14,29,0,126,0
09-04 10:04:04,18.734,10.380,70.886,0,0,815976448,4190289920,156704768,3079622656,7332,2244,0,36864,0,6,1955,3288,1.070,0.860,0.570,2,0,168,0,0,14,29,0,135,0
09-04 10:04:05,23.810,2.757,73.183,0,0.251,854179840,4152041472,156704768,3079663616,7333,2160,0,393216,0,16,1204,1922,1.070,0.860,0.570,2,1,1,0,0,14,31,0,142,0
09-04 10:04:06,23.192,3.741,72.818,0.249,0,839479296,4166705152,156704768,3079700480,6129,2160,0,2408448,0,320,1544,1385,1.070,0.860,0.570,2,0,24,0,0,14,29,0,144,0
09-04 10:04:07,23.134,5.224,71.144,0.249,0.249,826880000,4179128320,156708864,3079864320,7262,2160,0,139264,0,3,1397,2530,1.070,0.860,0.570,3,0,72,0,0,14,29,0,149,0
09-04 10:04:08,23.618,3.266,73.116,0,0,854638592,4151369728,156708864,3079864320,8159,2160,0,0,0,0,1100,1771,1.070,0.860,0.570,2,0,0,0,0,14,31,0,155,0
09-04 10:04:09,19.899,8.312,71.788,0,0,835969024,4169994240,156712960,3079909376,9224,2160,0,49152,0,5,1540,2532,1.060,0.870,0.580,3,0,169,0,0,14,29,0,158,0
09-04 10:04:10,23.058,3.509,73.183,0,0.251,808591360,4197224448,156712960,3080052736,6969,2160,0,0,0,0,1359,2140,1.060,0.870,0.580,3,0,21,0,0,14,29,0,167,0
09-04 10:04:11,23.367,3.015,73.618,0,0,843988992,4161789952,156717056,3080085504,9612,2160,0,696320,0,11,809,887,1.060,0.870,0.580,2,0,1,0,0,14,29,0,167,0
09-04 10:04:12,23.308,5.013,71.429,0.251,0,816558080,4189196288,156729344,3080097792,26388,1890,0,188416,0,20,1490,2345,1.060,0.870,0.580,3,0,71,0,0,14,29,0,175,0
09-04 10:04:13,23.058,3.258,73.434,0,0.251,854867968,4150853632,156729344,3080130560,9020,2214,0,315392,0,15,973,1275,1.060,0.870,0.580,2,0,1,0,0,14,31,0,178,0
09-04 10:04:14,21.250,6.750,72,0,0,829890560,4175671296,156729344,3080290304,8354,2106,0,0,0,0,1549,2336,1.060,0.870,0.580,2,0,110,0,0,14,29,0,184,0
09-04 10:04:15,23.810,2.757,73.183,0,0.251,804077568,4201463808,156729344,3080310784,9957,2254,0,49152,0,3,996,1328,1.060,0.870,0.580,3,0,8,0,0,14,29,0,187,0
09-04 10:04:16,20.655,6.297,73.048,0,0,841773056,4163756032,156733440,3080318976,7542,2160,0,2314240,0,54,1180,1517,1.060,0.870,0.580,3,0,92,0,0,14,29,0,187,0
09-04 10:04:17,21.750,6.750,71,0.250,0.250,814374912,4191150080,156737536,3080318976,6430,2214,0,147456,0,9,1533,2426,1.060,0.870,0.580,2,0,144,0,0,14,29,0,192,0
09-04 10:04:18,23.308,3.509,73.183,0,0,854937600,4150546432,156741632,3080351744,10423,2106,0,516096,0,18,843,1012,1.060,0.870,0.580,3,0,1,0,0,14,31,0,194,0
09-04 10:04:19,24.060,2.757,73.183,0,0,838639616,4166811648,156741632,3080384512,7561,2214,0,0,0,0,1266,1926,1.050,0.870,0.580,2,0,22,0,0,14,29,0,201,0
09-04 10:04:20,22.613,5.276,71.859,0,0.251,817090560,4188327936,156741632,3080413184,6115,2160,0,49152,0,3,1318,2265,1.050,0.870,0.580,2,0,71,0,0,14,29,0,209,0
09-04 10:04:21,24,3,73,0,0,855552000,4149723136,156741632,3080556544,6471,2052,0,0,0,0,1012,1803,1.050,0.870,0.580,2,0,1,0,0,14,31,0,216,0
09-04 10:04:22,20.050,8.772,71.178,0,0,833699840,4171534336,156741632,3080593408,6384,2052,0,110592,0,11,1541,2326,1.050,0.870,0.580,2,0,169,0,0,14,29,0,218,0
09-04 10:04:23,24.121,2.513,73.116,0,0.251,855625728,4149596160,156745728,3080601600,6305,2160,0,53248,0,6,1142,1834,1.050,0.870,0.580,2,0,0,0,0,14,29,0,227,0
09-04 10:04:24,23.192,3.242,73.566,0,0,844140544,4160913408,156745728,3080769536,24751,2106,0,0,0,0,910,1099,1.130,0.890,0.590,2,0,22,0,0,14,29,0,227,0
