-- Logs begin at Thu 2020-04-09 08:27:08 UTC, end at Thu 2020-04-09 10:32:51 UTC. --
Apr 09 10:03:10 cloud-provider-iscsi-0000000223 systemd[1]: Started Devstack devstack@dstat.service.
Apr 09 10:03:10 cloud-provider-iscsi-0000000223 dstat.sh[28538]: [286B blob data]
Apr 09 10:03:10 cloud-provider-iscsi-0000000223 dstat.sh[28538]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 09 10:03:10 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:10|  2   1  96   0   0| 422M 4442M  145M 2733M|   0     0 |  57k 1482k|2.08  13.3 | 566   871 |0.77 0.77 0.53|4.0   0  11|   0     0 |systemd              1    0.0%   0    0 |bash                 1964 1059k 994k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 10:03:11 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:11| 11  20  69   0   0| 423M 4440M  145M 2734M|8438B 2052B|  24k  104k|1.00  9.00 |2698  4954 |0.77 0.77 0.53|5.0   0 480|   0     0 |bash                 1964 3.8%1704k  31k|bash                 1964 1704k  31k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 10:03:12 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:12| 12  21  67   0   0| 422M 4440M  145M 2734M|  19k 2160B|   0    32k|   0  8.00 |3371  6918 |0.77 0.77 0.53|3.0   0 361|   0     0 |systemd              1    3.5%   0    0 |bash                 1964 2956k  23k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 10:03:13 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:13| 10   9  80   0   0| 548M 4314M  145M 2856M|9687B 2160B|   0     0 |   0     0 |2831  4861 |0.87 0.79 0.53|3.0   0 137|   0     0 |systemd              1    6.0%   0    0 |bash                 1964  453k4428B0.8%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 09 10:03:14 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:14| 15  12  73   0   0| 572M 4290M  145M 2856M|7109B 2160B|   0   328k|   0  23.0 |1823  3134 |0.87 0.79 0.53|1.0   0 246|   0     0 |keystone-manage      29855 12%5762k  79k|keystone-manage      298555762k  79k 12%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 09 10:03:15 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:15| 19   3  74   5   0| 604M 4257M  145M 2857M|9370B 2254B| 172k    0 |10.0     0 | 645   733 |0.87 0.79 0.53|1.0 1.0   0|   0     0 |keystone-manage      29855 21%8647k 221k|keystone-manage      298558647k 221k 21%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 09 10:03:16 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:16| 14   5  73   9   0| 630M 4229M  145M 2859M|7610B 2160B|  32k 9124k|4.00   640 |3812  6439 |0.87 0.79 0.53|2.0   0 2.0|   0     0 |keystone-manage      29855 10%2208k 481k|keystone-manage      298552208k 481k 10%|mysqld       189M|   0     0 |  14    7    0    6    0
Apr 09 10:03:17 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:17| 12   7  71  11   0| 635M 4156M  146M 2924M|  15k 2160B|   0    76M|   0  1085 |5743    10k|0.87 0.79 0.53|2.0   0   0|   0     0 |mysqld               278139.0%   0    0 |keystone-manage      29855  39k  23k6.0%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 09 10:03:18 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:18| 15   6  67  12   0| 638M 4152M  146M 2925M|5917B 2160B|   0  9848k|   0   819 |6133    12k|1.04 0.82 0.55|3.0   0   0|   0     0 |mysqld               278137.8%   0    0 |python3.6            5712  227k 472k2.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 09 10:03:19 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:19|  9   4  69  18   0| 639M 4150M  147M 2926M|6450B 2160B|   0    65M|   0   813 |3995  7438 |1.04 0.82 0.55|2.0   0   0|   0     0 |mysqld               278134.5%   0    0 |python3.6            5712   51k 107k0.2%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 09 10:03:20 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:20| 15   4  71  11   0| 641M 4146M  148M 2926M|6677B 2160B|   0    12M|   0   972 |6305    12k|1.04 0.82 0.55|1.0 1.0   0|   0     0 |mysqld               278137.8%   0    0 |keystone-manage      29855  40k  25k7.2%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 09 10:03:21 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:21| 20   4  70   6   0| 643M 4142M  148M 2928M|6106B 1944B|   0  7288k|   0   551 |6276    12k|1.04 0.82 0.55|2.0   0   0|   0     0 |keystone-manage      29855 14%  68k 373k|python3.6            5712  346k 722k2.0%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 09 10:03:22 cloud-provider-iscsi-0000000223 dstat.sh[28538]: 09-04 10:03:22| 14   5  69  13   0| 645M 4139M  149M 2929M|8031B 2160B|   0  7132k|   0   589 |5688    11k|1.04 0.82 0.55|2.0   0   0|   0     0 |keystone-manage      298558.5%  35k 349k|python3.6            5712  336k 700k1.8%|mysqld       201M|   0     0 |  14    7    0    6    0
