-- Logs begin at Wed 2020-04-08 14:10:14 UTC, end at Wed 2020-04-08 18:17:33 UTC. --
Apr 08 17:46:54 cloud-provider-iscsi-0000000200 systemd[1]: Started Devstack devstack@dstat.service.
Apr 08 17:46:55 cloud-provider-iscsi-0000000200 dstat.sh[24032]: [286B blob data]
Apr 08 17:46:55 cloud-provider-iscsi-0000000200 dstat.sh[24032]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 08 17:46:55 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:46:54|  1   0  98   0   0| 424M 4444M  145M 2731M|   0     0 |  25k  662k|0.92  5.98 | 353   467 |0.94 0.78 0.54|2.0   0 4.3|   0     0 |rcu_sched            8    0.1%   0    0 |bash                 1933  461k 435k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 17:46:56 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:46:55|  8  22  71   0   0| 425M 4443M  145M 2732M|6353B 2160B|  24k  344k|1.00  8.00 |2515  4489 |0.94 0.78 0.54|2.0   0 421|   0     0 |bash                 1933 4.2%1339k  27k|bash                 1933 1339k  27k4.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 17:46:57 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:46:56| 13  20  66   0   0| 425M 4442M  145M 2732M|8422B 2160B|   0    32k|   0  8.00 |2889  5893 |0.94 0.78 0.54|1.0   0 397|   0     0 |systemd              1    2.5%   0    0 |bash                 1933 3202k  26k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 17:46:58 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:46:57| 12  14  75   0   0| 551M 4315M  145M 2854M|8396B 2052B|   0  4096B|   0  1.00 |3032  7385 |0.94 0.78 0.54|5.0   0 162|   0     0 |systemd              1    6.2%   0    0 |bash                 1933  583k6451B0.8%|mysqld       173M|   0     0 |  14    5    0    5    0
Apr 08 17:46:59 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:46:58| 18  10  72   0   0| 574M 4292M  145M 2855M|7971B 2052B|   0     0 |   0     0 |1638  3147 |0.94 0.78 0.54|3.0   0 242|   0     0 |keystone-manage      25342 13%5762k  79k|keystone-manage      253425762k  79k 13%|mysqld       173M|   0     0 |  14    5    0    7    0
Apr 08 17:47:00 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:46:59| 21   3  74   2   0| 615M 4250M  145M 2856M|8213B 2160B| 192k    0 |13.0     0 | 620   806 |0.94 0.78 0.54|3.0   0   0|   0     0 |keystone-manage      25342 23%9873k 565k|keystone-manage      253429873k 565k 23%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 08 17:47:01 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:47:00| 11   4  73  12   0| 633M 4231M  146M 2857M|7911B 2160B|  12k 9064k|1.00   596 |2751  5900 |0.94 0.78 0.54|1.0   0   0|   0     0 |keystone-manage      253426.2% 961k 136k|keystone-manage      25342 961k 136k6.2%|mysqld       188M|   0     0 |  14    7    0    6    0
Apr 08 17:47:02 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:47:01|  9   6  71  14   0| 637M 4159M  146M 2922M|8091B 2160B|   0    75M|   0   895 |3837  8844 |0.94 0.78 0.54|2.0   0   0|   0     0 |mysqld               233137.8%   0    0 |keystone-manage      25342  27k  16k4.0%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 08 17:47:03 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:47:02| 13   6  71  10   0| 640M 4155M  147M 2923M|8093B 2160B|   0    13M|   0  1120 |4813    11k|0.94 0.78 0.54|2.0 1.0   0|   0     0 |mysqld               233138.8%   0    0 |keystone-manage      25342  43k  30k6.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 08 17:47:04 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:47:03| 16   5  70  10   0| 642M 4151M  147M 2924M|  16k 2160B|   0  8812k|   0   728 |4788    10k|0.95 0.79 0.54|  0 1.0   0|   0     0 |keystone-manage      253429.8%  47k 292k|python3.6            5684  275k 574k1.8%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 08 17:47:05 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:47:04|  9   5  72  13   0| 644M 4148M  148M 2925M|9866B 2160B|   0  9348k|   0   764 |4478  7468 |0.95 0.79 0.54|1.0 1.0   0|   0     0 |mysqld               233136.5%   0    0 |keystone-manage      25342  30k  19k5.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 08 17:47:06 cloud-provider-iscsi-0000000200 dstat.sh[24032]: 08-04 17:47:05| 19   4  69   8   0| 646M 4145M  148M 2926M|  11k 2160B|   0  5440k|   0   439 |3764    10k|0.95 0.79 0.54|2.0   0   0|   0     0 |keystone-manage      25342 12%  41k 355k|python3.6            5684  339k 707k2.2%|mysqld       199M|   0     0 |  14    7    0    6    0
