-- Logs begin at Fri 2020-03-13 08:54:12 UTC, end at Fri 2020-03-13 10:48:30 UTC. --
Mar 13 10:17:38 cloud-provider1-0000015593 systemd[1]: Started Devstack devstack@dstat.service.
Mar 13 10:17:38 cloud-provider1-0000015593 dstat.sh[30475]: [286B blob data]
Mar 13 10:17:38 cloud-provider1-0000015593 dstat.sh[30475]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 13 10:17:38 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:38|  3   1  95   0   0| 423M 4134M  167M 2993M|   0     0 |  65k 1856k|2.37  17.3 | 626   989 |0.56 0.60 0.47|2.0   0  13|   0     0 |systemd              1    0.1%   0    0 |bash                 1962 1458k1269k0.1%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 13 10:17:39 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:39|  8  23  69   0   0| 425M 4132M  167M 2993M|6865B   13k|   0    72k|   0  6.00 |2734  5674 |0.56 0.60 0.47|2.0   0 491|   0     0 |bash                 1962 3.8%1718k  31k|bash                 1962 1718k  31k3.8%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 13 10:17:40 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:40| 11  22  67   0   0| 424M 4132M  167M 2994M|  14k   23k|   0    32k|   0  8.00 |3195  6582 |0.56 0.60 0.47|  0   0 359|   0     0 |systemd              1    4.0%   0    0 |bash                 1962 2964k  23k2.2%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 13 10:17:41 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:41| 13  18  69   0   0| 550M 4006M  167M 3115M|6537B   11k|   0     0 |   0     0 |4061  5857 |0.56 0.60 0.47|2.0   0 332|   0     0 |systemd              1    5.5%   0    0 |bash                 1962  687k  15k2.2%|mysqld       173M|   0     0 |  14    6    0    3    0
Mar 13 10:17:42 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:42| 20   6  73   0   0| 593M 3963M  167M 3116M|6722B   14k|  76k  804k|2.00  8.00 | 923  1215 |0.60 0.61 0.47|2.0   0  48|   0     0 |keystone-manage      31789 22%  10M 162k|keystone-manage      31789  10M 162k 22%|mysqld       173M|   0     0 |  14    6    0    5    0
Mar 13 10:17:43 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:43| 18   4  73   5   0| 634M 3919M  168M 3118M|5903B 4060B|  84k 4264k|11.0   195 |2259  3406 |0.60 0.61 0.47|  0 1.0   0|   0     0 |keystone-manage      31789 18%7269k 679k|keystone-manage      317897269k 679k 18%|mysqld       187M|   0     0 |  14    8    0    5    0
Mar 13 10:17:44 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:44|  7   5  72  15   0| 640M 3846M  168M 3183M|  16k  135k|   0    74M|   0   968 |4433  9033 |0.60 0.61 0.47|  0 2.0 2.0|   0     0 |mysqld               297546.5%   0    0 |tail                 16565 129k 129k  0%|mysqld       192M|   0     0 |  14    8    0    5    0
Mar 13 10:17:45 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:45|  8   3  73  16   0| 642M 3843M  168M 3184M|6267B 6748B|   0  7136k|   0   582 |3178  6369 |0.60 0.61 0.47|  0 1.0   0|   0     0 |keystone-manage      317895.8%  20k  12k|keystone-manage      31789  20k  12k5.8%|mysqld       193M|   0     0 |  14    8    0    5    0
Mar 13 10:17:46 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:46| 13   5  71  11   0| 644M 3840M  169M 3184M|7850B 4768B|   0  9772k|   0   822 |5723    10k|0.60 0.61 0.47|2.0   0   0|   0     0 |keystone-manage      317898.0%  37k 237k|python               5880  212k 440k1.0%|mysqld       195M|   0     0 |  14    8    0    5    0
Mar 13 10:17:47 cloud-provider1-0000015593 dstat.sh[30475]: 13-03 10:17:47| 12   5  71  12   0| 645M 3837M  170M 3185M|9419B  322k|   0    10M|   0   648 |5305    10k|0.63 0.62 0.48|  0 1.0   0|   0     0 |keystone-manage      317896.8%  41k  96k|tail                 16565 312k 312k  0%|mysqld       197M|   0     0 |  14    8    0    5    0
