"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000152",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Apr 2020 15:45:14 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-04 15:45:14,0.245,0.081,99.602,0.036,0.036,444416000,4623908864,170897408,2866565120,0,0,5856.372,146829.123,0.267,1.329,228.418,211.443,0.750,0.670,0.500,2,0,1.031,0,0,12,3,0,4,0
03-04 15:45:15,9.645,20.558,69.543,0,0.254,443854848,4623560704,170901504,2867073024,17876,2160,24576,102400,1,6,2477,4500,0.750,0.670,0.500,2,0,452,0,0,12,3,0,4,0
03-04 15:45:16,10.941,21.120,67.939,0,0,444538880,4622430208,170901504,2867503104,10092,2160,0,32768,0,8,3526,6202,0.750,0.670,0.500,2,0,350,0,0,12,3,0,4,0
03-04 15:45:17,11.587,11.587,76.826,0,0,575139840,4491087872,170901504,2995785728,7649,2160,0,4096,0,1,4122,6764,0.770,0.680,0.510,1,0,115,0,0,14,3,0,4,0
03-04 15:45:18,5.556,11.616,82.576,0,0.253,575995904,4490174464,170901504,2995810304,6415,2106,0,503808,0,17,1855,3246,0.770,0.680,0.510,2,0,277,0,0,14,5,0,6,0
03-04 15:45:19,21.500,4.250,73.750,0.500,0,619315200,4446756864,170901504,2995888128,7895,2214,98304,0,4,0,844,983,0.770,0.680,0.510,2,0,19,0,0,14,5,0,6,0
03-04 15:45:20,20,4,73,3,0,658903040,4405501952,170926080,2997481472,5583,2160,110592,2285568,10,53,1610,2745,0.770,0.680,0.510,0,1,0,0,0,14,7,0,6,0
03-04 15:45:21,6.297,3.778,72.796,16.877,0.252,663277568,4399292416,171307008,2998878208,6641,1998,0,10317824,0,853,3369,7644,0.770,0.680,0.510,1,1,0,0,0,14,7,0,6,0
03-04 15:45:22,4.580,2.799,74.555,18.066,0,666083328,4326674432,171601920,3066863616,6414,2160,0,72617984,0,485,2323,4967,0.790,0.680,0.510,2,0,0,0,0,14,7,0,6,0
03-04 15:45:23,7.268,5.013,68.922,18.546,0.251,668098560,4323758080,172003328,3067289600,5877,2106,0,85512192,0,1036,3459,5614,0.790,0.680,0.510,1,1,0,0,0,14,7,0,6,0
03-04 15:45:24,13.660,5.155,69.845,11.340,0,670257152,4320247808,172531712,3068088320,15594,2160,0,8450048,0,695,5460,10195,0.790,0.680,0.510,1,1,2,0,0,14,7,0,6,0
03-04 15:45:25,13.033,5.514,69.674,11.529,0.251,673259520,4315488256,173281280,3069026304,6231,2160,0,13357056,0,1083,4189,9426,0.790,0.680,0.510,4,0,0,0,0,14,7,0,6,0
03-04 15:45:26,16.792,4.762,69.424,9.023,0,675672064,4311457792,173715456,3070156800,11097,2398,0,7262208,0,544,5962,11126,0.790,0.680,0.510,3,0,0,0,0,14,7,0,6,0
03-04 15:45:27,17.632,4.282,69.521,8.564,0,677449728,4308066304,174116864,3071311872,5651,2160,0,7180288,0,523,5876,11356,0.800,0.690,0.510,0,1,0,0,0,14,7,0,6,0
03-04 15:45:28,13.265,3.571,71.939,10.969,0.255,677552128,4307152896,174571520,3071635456,7771,2160,0,17739776,0,742,4561,8340,0.800,0.690,0.510,2,0,0,0,0,14,7,0,6,0
03-04 15:45:29,18.844,7.286,73.618,0.251,0,626864128,4357783552,174608384,3071651840,8365,2160,0,659456,0,39,1457,2333,0.800,0.690,0.510,2,0,78,0,0,14,5,0,7,0
03-04 15:45:30,23.618,2.513,73.618,0.251,0,672968704,4311154688,174649344,3072135168,8485,2160,0,6856704,0,72,860,1357,0.800,0.690,0.510,2,0,0,0,0,14,5,0,7,0
03-04 15:45:31,22.807,4.010,72.682,0.501,0,647528448,4336009216,174702592,3072647168,5579,2160,0,6991872,0,68,985,1414,0.800,0.690,0.510,2,0,11,0,0,14,5,0,7,0
