-- Logs begin at Tue 2020-03-31 03:32:10 UTC, end at Tue 2020-03-31 06:18:42 UTC. --
Mar 31 06:07:40 cloud-provider-iscsi-0000000084 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 06:07:40 cloud-provider-iscsi-0000000084 dstat.sh[24052]: [286B blob data]
Mar 31 06:07:40 cloud-provider-iscsi-0000000084 dstat.sh[24052]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 06:07:40 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:40|  1   0  98   0   0| 426M 4473M  144M 2703M|   0     0 |  35k  922k|1.29  8.37 | 411   597 |1.09 0.84 0.53|2.0   0 6.0|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2064  635k 598k0.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 31 06:07:41 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:41| 10  21  63   7   0| 426M 4473M  144M 2703M|7370B   18k|  24k 1800k|1.00   147 |3126  6294 |1.09 0.84 0.53|1.0   0 488|   0     0 |bash                 2064 3.5%1901k  31k|bash                 2064 1901k  31k3.5%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 31 06:07:42 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:42| 14  19  66   0   0| 431M 4467M  144M 2704M|9802B   23k|   0   148k|   0  11.0 |3900  8499 |1.09 0.84 0.53| 15   0 363|   0     0 |systemd              1    3.8%   0    0 |bash                 2064 2758k  23k2.2%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 31 06:07:43 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:43| 10  11  78   0   0| 551M 4346M  144M 2826M|5864B 8020B|   0   116k|   0  6.00 |3038  3935 |1.00 0.83 0.53|5.0 1.0 150|   0     0 |systemd              1    5.5%   0    0 |bash                 2064  487k6006B1.0%|mysqld       173M|   0     0 |  14    6    0    4    0
Mar 31 06:07:44 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:44| 16  12  72   0   0| 572M 4326M  144M 2826M|6450B   11k|   0   220k|   0  16.0 |1621  2718 |1.00 0.83 0.53|2.0   0 206|   0     0 |keystone-manage      25361 13%5061k  79k|keystone-manage      253615061k  79k 13%|mysqld       173M|   0     0 |  14    6    0    6    0
Mar 31 06:07:45 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:45| 23   3  74   1   0| 611M 4286M  144M 2826M|6719B 6508B| 188k    0 |12.0     0 | 673   670 |1.00 0.83 0.53|3.0   0   0|   0     0 |keystone-manage      25361 24%  10M 335k|keystone-manage      25361  10M 335k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Mar 31 06:07:46 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:46| 11   4  73  12   0| 633M 4262M  144M 2828M|9100B   95k|  16k 8168k|2.00   502 |2682  4856 |1.00 0.83 0.53|1.0   0   0|   0     0 |keystone-manage      253618.0%1457k 367k|keystone-manage      253611457k 367k8.0%|mysqld       188M|   0     0 |  14    8    0    6    0
Mar 31 06:07:47 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:47|  9   6  71  14   0| 637M 4191M  145M 2893M|  16k   33k|   0    72M|   0   757 |3798  7840 |1.00 0.83 0.53|  0 1.0   0|   0     0 |mysqld               233317.5%   0    0 |tail                 22546  30k  30k  0%|mysqld       192M|   0     0 |  14    8    0    6    0
Mar 31 06:07:48 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:48|  9   4  72  15   0| 639M 4187M  145M 2894M|6819B 6278B|   0  8564k|   0   740 |3757  8194 |1.00 0.83 0.53|  0 1.0   0|   0     0 |mysqld               233315.5%   0    0 |keystone-manage      25361  26k  15k4.2%|mysqld       194M|   0     0 |  14    8    0    6    0
Mar 31 06:07:49 cloud-provider-iscsi-0000000084 dstat.sh[24052]: 31-03 06:07:49|  9   5  67  19   0| 641M 4184M  145M 2894M|9577B 4622B|   0    72M|   0  1342 |5031  9324 |1.00 0.83 0.53|1.0   0 2.0|   0     0 |keystone-manage      253615.2%  28k 143k|python3.6            5819  132k 276k0.5%|mysqld       195M|   0     0 |  14    8    0    6    0
