"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000121",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 11:55:29 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 11:55:29,2.868,0.985,95.593,0.508,0.046,441905152,4690333696,150716416,2835972096,0,0,69158.628,1829876.592,2.486,15.811,669.187,1010.902,0.790,0.770,0.550,2,0,12.785,0,0,12,3,0,4,0
01-04 11:55:30,9.620,21.013,69.367,0,0,440881152,4690604032,150720512,2836328448,6192,2106,24576,126976,1,14,2416,4442,0.790,0.770,0.550,2,0,436,0,0,12,3,0,4,0
01-04 11:55:31,12.152,21.013,66.582,0,0.253,441782272,4689313792,150720512,2836684800,7262,2214,0,32768,0,8,3034,6067,0.960,0.810,0.570,2,0,358,0,0,12,3,0,4,0
01-04 11:55:32,11,11.500,77.500,0,0,573464576,4557086720,150720512,2964860928,8209,2160,0,4096,0,1,3672,5892,0.960,0.810,0.570,1,0,105,0,0,14,3,0,4,0
01-04 11:55:33,5.793,12.091,81.612,0.252,0.252,573603840,4556890112,150724608,2964865024,15952,2160,0,335872,0,19,1845,3199,0.960,0.810,0.570,2,0,276,0,0,14,5,0,6,0
01-04 11:55:34,22.362,3.266,74.121,0.251,0,621060096,4509319168,150724608,2964963328,6051,2160,98304,0,4,0,821,994,0.960,0.810,0.570,2,0,20,0,0,14,5,0,6,0
01-04 11:55:35,16.792,3.258,73.684,6.266,0,657260544,4470902784,150872064,2966999040,14304,2160,110592,4423680,10,197,1795,3572,0.960,0.810,0.570,2,0,0,0,0,14,7,0,6,0
01-04 11:55:36,6.853,4.822,73.096,14.975,0.254,663232512,4394647552,151326720,3035119616,6253,2106,0,30523392,0,913,3004,8703,0.970,0.810,0.570,1,1,0,0,0,14,7,0,6,0
01-04 11:55:37,7.980,3.491,71.820,16.708,0,666099712,4389806080,151842816,3036483584,6410,1998,0,56950784,0,886,2927,8652,0.970,0.810,0.570,3,0,2,0,0,14,7,0,6,0
01-04 11:55:38,10.997,5.627,71.355,12.020,0,668454912,4386459648,152272896,3037020160,5889,2160,0,66404352,0,872,3869,9722,0.970,0.810,0.570,2,1,0,0,0,14,7,0,6,0
01-04 11:55:39,10.777,3.759,71.429,13.784,0.251,669949952,4383416320,152842240,3037933568,6003,2106,0,8970240,0,724,3881,8581,0.970,0.810,0.570,2,0,0,0,0,14,7,0,6,0
01-04 11:55:40,10.973,5.237,69.825,13.716,0.249,672382976,4379901952,153440256,3038351360,5973,2214,0,10104832,0,784,4794,9309,0.970,0.810,0.570,2,0,0,0,0,14,7,0,6,0
01-04 11:55:41,20.102,4.326,69.211,6.361,0,674086912,4376440832,153870336,3039637504,6499,2160,0,6582272,0,462,7738,15686,0.970,0.810,0.570,3,0,0,0,0,14,7,0,6,0
01-04 11:55:42,13.889,5.303,69.949,10.606,0.253,675225600,4373929984,154312704,3040518144,6279,2296,0,8622080,0,681,5832,12282,0.970,0.810,0.570,4,0,0,0,0,14,7,0,6,0
01-04 11:55:43,15.152,5.051,69.949,9.848,0,601980928,4446769152,154583040,3040641024,8147,2160,0,32194560,0,615,4312,8916,0.970,0.810,0.570,2,0,7,0,0,14,5,0,7,0
01-04 11:55:44,20.854,5.276,73.618,0,0.251,645517312,4402675712,154599424,3041161216,5766,2106,0,5513216,0,44,1233,1780,0.970,0.810,0.570,2,1,71,0,0,14,5,0,7,0
01-04 11:55:45,22.807,3.509,73.434,0.251,0,618565632,4429398016,154619904,3041361920,10510,2214,0,5451776,0,48,967,1268,0.970,0.810,0.570,3,0,11,0,0,14,5,0,7,0
01-04 11:55:46,23.929,2.015,73.804,0.252,0,670941184,4375633920,154685440,3042648064,10038,2106,0,6287360,0,109,1031,1347,0.970,0.820,0.570,3,0,0,0,0,14,5,0,8,0
01-04 11:55:47,14.177,15.190,69.367,1.013,0.253,602734592,4442632192,154750976,3043766272,8261,2214,0,3088384,0,81,2536,4602,0.970,0.820,0.570,4,0,343,0,0,14,5,0,7,0
01-04 11:55:48,12.911,22.532,64.051,0.506,0,610054144,4434509824,154759168,3044667392,8884,1944,0,3981312,0,182,3806,7758,0.970,0.820,0.570,3,0,390,0,0,14,5,0,7,0
01-04 11:55:49,42.462,10.050,37.437,9.799,0.251,683921408,4360351744,154771456,3045113856,7238,2160,0,1241088,0,172,2306,2602,0.970,0.820,0.570,3,0,143,0,0,14,7,0,7,0
01-04 11:55:50,46.617,5.263,47.619,0.501,0,757854208,4285005824,154791936,3046289408,7082,2160,151552,24576,5,3,1570,2581,0.970,0.820,0.570,3,0,0,0,0,14,7,0,7,0
01-04 11:55:51,33.586,10.606,54.545,1.263,0,785043456,4256034816,154791936,3047747584,7409,2160,0,1904640,0,87,3171,5604,1.050,0.840,0.580,3,0,163,0,0,14,5,0,8,0
01-04 11:55:52,23.559,2.506,73.684,0,0.251,844328960,4196765696,154791936,3047755776,9000,2160,0,0,0,0,685,699,1.050,0.840,0.580,2,0,0,0,0,14,5,0,8,0
01-04 11:55:53,20.611,5.089,73.282,1.018,0,784441344,4256591872,154820608,3047788544,16427,2160,0,4263936,0,323,1852,2349,1.050,0.840,0.580,3,0,54,0,0,14,5,0,11,0
01-04 11:55:54,23.058,3.509,73.434,0,0,825462784,4215570432,154824704,3047784448,16008,2160,0,2830336,0,32,884,1058,1.050,0.840,0.580,3,1,1,0,0,14,7,0,12,0
01-04 11:55:55,19.451,4.738,72.319,3.242,0.249,800624640,4240338944,154841088,3047890944,5564,2160,73728,3416064,18,89,1729,2439,1.050,0.840,0.580,2,0,61,0,0,14,29,0,16,0
01-04 11:55:56,23.308,2.506,74.185,0,0,839061504,4201893888,154841088,3047890944,5574,2106,0,0,0,0,732,832,1.050,0.840,0.580,2,0,1,0,0,14,31,0,17,0
01-04 11:55:57,22.475,5.051,72.475,0,0,828047360,4212756480,154841088,3048042496,5752,2214,0,0,0,0,1299,2031,1.050,0.840,0.580,2,0,102,0,0,14,29,0,21,0
01-04 11:55:58,22.864,4.020,71.859,1.256,0,802103296,4238331904,154849280,3048382464,6971,1890,0,10645504,0,140,1478,2043,1.050,0.840,0.580,2,0,21,0,0,14,29,0,29,0
01-04 11:55:59,22.166,4.030,73.552,0,0.252,839368704,4201066496,154849280,3048382464,6238,2214,0,0,0,0,731,833,1.050,0.840,0.580,2,0,1,0,0,14,29,0,29,0
01-04 11:56:00,22.418,5.290,72.040,0.252,0,819597312,4220751872,154857472,3048448000,8088,2160,0,466944,0,14,1452,2212,1.050,0.840,0.580,2,0,74,0,0,14,29,0,37,0
01-04 11:56:01,24.181,2.267,73.552,0,0,846508032,4193652736,154857472,3048615936,7628,2160,0,0,0,0,1175,1735,1.050,0.840,0.590,2,0,0,0,0,14,29,0,45,0
01-04 11:56:02,20.403,5.793,73.300,0.252,0.252,834568192,4205588480,154857472,3048620032,9884,2106,0,278528,0,10,1089,1602,1.050,0.840,0.590,2,1,101,0,0,14,29,0,45,0
01-04 11:56:03,20.854,5.779,72.864,0.503,0,814682112,4225454080,154857472,3048640512,8455,2214,0,90112,0,11,1280,1845,1.050,0.840,0.590,2,0,69,0,0,14,29,0,50,0
01-04 11:56:04,23.174,3.275,73.048,0.504,0,846479360,4193652736,154861568,3048640512,7561,2160,0,2535424,0,34,1102,1530,1.050,0.840,0.590,2,0,2,0,0,14,31,0,55,0
01-04 11:56:05,21.303,5.013,73.183,0.251,0.251,827891712,4212187136,154869760,3048665088,8292,2160,0,237568,0,15,1013,1379,1.050,0.840,0.590,2,0,69,0,0,14,29,0,56,0
01-04 11:56:06,22.418,4.282,73.048,0.252,0,809369600,4230701056,154882048,3048660992,16632,2160,0,176128,0,19,1210,1858,1.040,0.850,0.590,3,0,68,0,0,14,29,0,60,0
01-04 11:56:07,22.807,3.509,73.684,0,0,848367616,4191547392,154886144,3048812544,6539,2160,0,311296,0,15,797,893,1.040,0.850,0.590,2,0,3,0,0,14,29,0,60,0
