-- Logs begin at Wed 2020-04-01 10:34:21 UTC, end at Wed 2020-04-01 12:06:14 UTC. --
Apr 01 11:55:29 cloud-provider-iscsi-0000000121 systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 11:55:29 cloud-provider-iscsi-0000000121 dstat.sh[29930]: [286B blob data]
Apr 01 11:55:29 cloud-provider-iscsi-0000000121 dstat.sh[29930]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 11:55:29 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:29|  3   1  96   1   0| 421M 4473M  144M 2705M|   0     0 |  68k 1787k|2.49  15.8 | 669  1011 |0.79 0.77 0.55|2.0   0  13|   0     0 |systemd              1    0.1%   0    0 |bash                 2461 1264k1171k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 11:55:30 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:30| 10  21  69   0   0| 421M 4473M  144M 2705M|6132B 2106B|  24k  124k|1.00  14.0 |2402  4407 |0.79 0.77 0.55|3.0   0 436|   0     0 |bash                 2461 4.0%1648k  28k|bash                 2461 1648k  28k4.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 11:55:31 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:31| 12  21  66   0   0| 421M 4472M  144M 2705M|7322B 2214B|   0    32k|   0  8.00 |3033  6055 |0.96 0.81 0.57|1.0   0 357|   0     0 |systemd              1    4.2%   0    0 |bash                 2461 2873k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 11:55:32 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:32| 11  12  78   0   0| 547M 4346M  144M 2828M|8149B 2160B|   0  4096B|   0  1.00 |3684  5936 |0.96 0.81 0.57|  0   0 106|   0     0 |systemd              1    7.0%   0    0 |bash                 2461  372k2353B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 01 11:55:33 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:33|  6  12  81   0   0| 548M 4345M  144M 2828M|  16k 2160B|   0   328k|   0  19.0 |1834  3195 |0.96 0.81 0.57|1.0   0 276|   0     0 |bash                 2461 2.8% 584k  17k|bash                 2461  584k  17k2.8%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 01 11:55:34 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:34| 22   3  75   0   0| 592M 4301M  144M 2828M|5991B 2160B|  96k    0 |4.00     0 | 822   985 |0.96 0.81 0.57|1.0   0  20|   0     0 |keystone-manage      31236 24%  11M 136k|keystone-manage      31236  11M 136k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 01 11:55:35 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:35| 17   3  74   6   0| 627M 4264M  144M 2830M|  14k 2160B| 108k 4272k|10.0   195 |1793  3563 |0.96 0.81 0.57|1.0   0   0|   0     0 |keystone-manage      31236 16%5555k 645k|keystone-manage      312365555k 645k 16%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 01 11:55:36 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:36|  7   5  73  15   0| 632M 4191M  144M 2894M|6105B 2052B|   0    13M|   0   899 |3002  8708 |0.97 0.81 0.57|1.0   0   0|   0     0 |mysqld               292117.2%   0    0 |keystone-manage      31236  20k  11k3.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 01 11:55:37 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:37|  8   3  72  17   0| 635M 4186M  145M 2896M|6558B 2052B|   0    70M|   0   880 |2898  8553 |0.97 0.81 0.57|2.0   0 2.0|   0     0 |mysqld               292115.0%   0    0 |keystone-manage      31236  26k  15k4.0%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 01 11:55:38 cloud-provider-iscsi-0000000121 dstat.sh[29930]: 01-04 11:55:38| 11   6  71  12   0| 637M 4183M  145M 2896M|5889B 2160B|   0    63M|   0   881 |3883  9767 |0.97 0.81 0.57|  0 1.0   0|   0     0 |keystone-manage      312366.8%  37k 285k|python3.6            6213  271k 564k1.2%|mysqld       195M|   0     0 |  14    7    0    6    0
