"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000249",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Apr 2020 16:55:36 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-04 16:55:36,0.474,0.164,99.269,0.052,0.040,446128128,4636139520,152276992,2881466368,0,0,10857.973,287517.490,0.393,2.553,265.952,281.199,0.570,0.610,0.470,2,0,2.000,0,0,12,3,0,4,0
13-04 16:55:37,9.974,19.949,69.821,0,0.256,445607936,4635848704,152281088,2881835008,14685,1998,24576,45056,1,7,2700,4755,0.570,0.610,0.470,2,0,472,0,0,12,3,0,4,0
13-04 16:55:38,12.879,20.455,66.414,0,0.253,446873600,4634025984,152281088,2882510848,10635,2214,0,32768,0,8,3024,6702,0.530,0.600,0.460,5,0,377,0,0,12,3,0,4,0
13-04 16:55:39,8.291,8.291,83.417,0,0,576782336,4503465984,152281088,3010506752,9152,2106,0,0,0,0,2567,4809,0.530,0.600,0.460,2,0,78,0,0,14,3,0,4,0
13-04 16:55:40,8.333,12.626,78.788,0,0.253,582127616,4498030592,152281088,3010527232,7551,2160,0,0,0,0,1972,3289,0.530,0.600,0.460,2,0,295,0,0,14,5,0,6,0
13-04 16:55:41,23.058,2.757,73.434,0.752,0,627105792,4452708352,152297472,3010854912,7407,2160,122880,0,7,0,669,829,0.530,0.600,0.460,2,0,1,0,0,14,5,0,6,0
13-04 16:55:42,14.286,3.509,73.684,8.271,0.251,661356544,4416102400,152489984,3012931584,8628,2106,86016,5672960,7,290,1784,3864,0.530,0.600,0.460,2,0,0,0,0,14,7,0,6,0
13-04 16:55:43,8.586,5.051,71.970,14.394,0,667140096,4406099968,152936448,3016699904,15014,2160,0,15654912,0,992,3240,9213,0.650,0.620,0.470,2,0,0,0,0,14,7,0,6,0
13-04 16:55:44,6.750,5.250,73,15,0,669384704,4336529408,153325568,3081990144,6093,2160,0,74964992,0,702,2279,6415,0.650,0.620,0.470,3,0,0,0,0,14,7,0,6,0
13-04 16:55:45,12.214,3.817,70.229,13.486,0.254,671539200,4333342720,153894912,3082379264,16182,2106,0,9224192,0,751,4124,9901,0.650,0.620,0.470,2,0,0,0,0,14,7,0,6,0
13-04 16:55:46,13.602,4.786,69.773,11.839,0,673419264,4329959424,154333184,3083431936,7010,2214,0,8404992,0,664,4307,11148,0.650,0.620,0.470,0,1,0,0,0,14,7,0,6,0
13-04 16:55:47,10.526,4.762,70.677,13.784,0.251,675545088,4326592512,154947584,3083948032,7272,2052,0,9838592,0,775,3840,8304,0.650,0.620,0.470,1,0,0,0,0,14,7,0,6,0
13-04 16:55:48,12.853,5.141,67.609,14.396,0,677785600,4322844672,155275264,3085045760,7044,2160,0,84652032,0,838,4769,10568,0.670,0.630,0.470,2,0,0,0,0,14,7,0,6,0
13-04 16:55:49,21.212,3.788,67.929,6.818,0.253,679186432,4320002048,155566080,3086188544,7259,2160,0,7585792,0,535,4019,14905,0.670,0.630,0.470,0,1,2,0,0,14,7,0,6,0
13-04 16:55:50,14.141,5.051,70.960,9.848,0,679104512,4319211520,156008448,3086544896,6588,2148,0,9375744,0,725,4232,12833,0.670,0.630,0.470,1,0,0,0,0,14,7,0,6,0
13-04 16:55:51,20.200,6.234,72.818,0.499,0.249,630325248,4367962112,156065792,3086499840,8631,2106,0,651264,0,41,1587,2780,0.670,0.630,0.470,3,0,78,0,0,14,5,0,7,0
13-04 16:55:52,23.308,3.258,72.682,0.752,0,608964608,4388786176,156086272,3087003648,6403,2160,0,5582848,0,38,868,1314,0.670,0.630,0.470,1,1,10,0,0,14,5,0,7,0
13-04 16:55:53,24.121,2.764,70.101,3.015,0,660107264,4337143808,156127232,3087552512,10636,2160,0,14880768,0,509,1808,1442,0.700,0.640,0.480,2,0,1,0,0,14,5,0,7,0
13-04 16:55:54,13.602,15.617,69.773,0.756,0.252,607039488,4389261312,156151808,3088449536,6202,2160,0,3661824,0,54,2232,4134,0.700,0.640,0.480,1,1,292,0,0,14,5,0,7,0
13-04 16:55:55,12.911,20.759,64.304,2.025,0,608100352,4386660352,156196864,3090034688,6707,2160,0,4141056,0,120,3108,7130,0.700,0.640,0.480,1,0,408,0,0,14,5,0,7,0
13-04 16:55:56,36.020,14.358,49.118,0,0.504,676052992,4318175232,156196864,3090669568,9071,2160,0,73728,0,5,2694,5988,0.700,0.640,0.480,3,0,176,0,0,14,7,0,7,0
13-04 16:55:57,45.844,4.030,49.118,1.008,0,754028544,4239699968,156205056,3091173376,9531,2052,151552,192512,5,14,989,784,0.700,0.640,0.480,2,0,0,0,0,14,7,0,7,0
13-04 16:55:58,35.062,13.333,51.358,0,0.247,783024128,4208685056,156205056,3093024768,8931,2160,0,335872,0,38,2272,8565,0.810,0.660,0.490,3,0,151,0,0,13,5,0,8,0
13-04 16:55:59,24.181,4.030,71.788,0,0,833204224,4157902848,156205056,3093282816,6830,2160,0,0,0,0,1032,1063,0.810,0.660,0.490,2,0,19,0,0,14,5,0,8,0
13-04 16:56:00,23.869,2.010,73.116,1.005,0,863191040,4127895552,156258304,3093245952,16910,2202,0,1351680,0,61,1225,2058,0.810,0.660,0.490,2,0,2,0,0,14,11,0,8,0
13-04 16:56:01,23.441,3.990,71.820,0.499,0.249,817537024,4173459456,156258304,3093315584,14449,1944,0,2199552,0,64,1055,1352,0.810,0.660,0.490,1,0,53,0,0,14,5,0,11,0
13-04 16:56:02,21.106,3.015,74.121,1.759,0,844103680,4146761728,156266496,3093401600,6662,2160,73728,217088,18,6,1191,1796,0.810,0.660,0.490,1,0,1,0,0,14,31,0,15,0
13-04 16:56:03,22.055,5.013,72.180,0.501,0.251,831209472,4159635456,156266496,3093422080,7299,2160,0,8118272,0,96,1019,1364,0.820,0.670,0.490,3,0,61,0,0,14,29,0,16,0
13-04 16:56:04,21.106,6.533,72.111,0.251,0,808579072,4182089728,156270592,3093577728,6973,2160,0,2420736,0,30,1235,2121,0.820,0.670,0.490,3,0,99,0,0,14,29,0,21,0
13-04 16:56:05,23.441,2.743,73.815,0,0,844541952,4146089984,156270592,3093581824,7918,2200,0,0,0,0,618,783,0.820,0.670,0.490,2,0,1,0,0,14,29,0,21,0
13-04 16:56:06,22.807,4.010,72.932,0,0.251,816783360,4173484032,156270592,3093946368,7801,1998,0,0,0,0,1238,2113,0.820,0.670,0.490,4,0,22,0,0,14,29,0,29,0
13-04 16:56:07,23.750,3.250,73,0,0,847163392,4143104000,156274688,3093942272,9972,2160,0,90112,0,6,1202,1945,0.820,0.670,0.490,1,0,2,0,0,14,31,0,36,0
13-04 16:56:08,22.693,5.237,71.820,0,0.249,834166784,4156100608,156278784,3093938176,7345,2160,0,69632,0,5,971,1356,0.840,0.670,0.490,1,0,72,0,0,14,29,0,37,0
13-04 16:56:09,23.174,3.526,72.544,0.756,0,801529856,4188499968,156291072,3094142976,6124,2160,0,3063808,0,38,1482,2469,0.840,0.670,0.490,2,0,24,0,0,14,29,0,45,0
13-04 16:56:10,20.854,6.281,72.613,0,0.251,845869056,4144152576,156291072,3094151168,8714,2160,0,319488,0,14,968,1310,0.840,0.670,0.490,1,0,79,0,0,14,29,0,45,0
13-04 16:56:11,21.266,5.570,73.165,0,0,827273216,4162723840,156295168,3094167552,6402,2106,0,28672,0,5,1243,1890,0.840,0.670,0.490,3,0,69,0,0,14,29,0,50,0
13-04 16:56:12,23.192,2.743,73.566,0.249,0.249,853741568,4136206336,156307456,3094183936,8615,2214,0,86016,0,8,925,1476,0.840,0.670,0.490,2,0,2,0,0,14,31,0,55,0
13-04 16:56:13,20.101,6.784,72.864,0,0.251,833994752,4155932672,156315648,3094196224,8641,2160,0,184320,0,9,1095,1356,0.850,0.680,0.490,3,0,69,0,0,14,29,0,56,0
13-04 16:56:14,21.500,5.500,72.750,0.250,0,807280640,4182478848,156344320,3094335488,15433,2160,0,1355776,0,54,1207,1849,0.850,0.680,0.490,1,0,68,0,0,14,29,0,60,0
13-04 16:56:15,23.308,2.757,73.935,0,0,850128896,4139618304,156348416,3094339584,16573,1998,0,315392,0,14,703,735,0.850,0.680,0.490,2,0,1,0,0,14,29,0,60,0
13-04 16:56:16,22.111,4.523,73.116,0,0.251,840278016,4149444608,156348416,3094364160,8987,2106,0,32768,0,3,1189,1836,0.850,0.680,0.490,2,0,73,0,0,14,29,0,64,0
13-04 16:56:17,20.455,6.061,73.485,0,0,820670464,4169035776,156348416,3094380544,12225,2160,0,45056,0,3,1241,1849,0.850,0.680,0.490,3,0,78,0,0,14,29,0,68,0
