-- Logs begin at Fri 2020-04-17 02:31:28 UTC, end at Fri 2020-04-17 05:17:41 UTC. --
Apr 17 04:45:51 cloud-provider-iscsi-0000000310 systemd[1]: Started Devstack devstack@dstat.service.
Apr 17 04:45:51 cloud-provider-iscsi-0000000310 dstat.sh[24040]: [286B blob data]
Apr 17 04:45:51 cloud-provider-iscsi-0000000310 dstat.sh[24040]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 17 04:45:51 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:51|  2   1  97   0   0| 428M 4013M  145M 3149M|   0     0 |  41k 1129k|1.48  9.92 | 458   592 |0.59 0.62 0.48|2.0   0 7.0|   0     0 |systemd              1    0.0%   0    0 |bash                 2232  895k 853k0.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 17 04:45:52 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:52| 11  20  69   0   0| 428M 4012M  145M 3150M|  16k   30k|   0   228k|   0  9.00 |2869  6365 |0.59 0.62 0.48|3.0   0 488|   0     0 |bash                 2232 3.8%1722k  31k|bash                 2232 1722k  31k3.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 17 04:45:53 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:53| 13  20  67   0   0| 429M 4011M  145M 3150M|9044B   11k|   0    28k|   0  7.00 |3267  6109 |0.59 0.62 0.48|1.0   0 337|   0     0 |systemd              1    4.2%   0    0 |bash                 2232 2644k  21k2.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 17 04:45:54 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:54| 10  11  78   0   0| 554M 3885M  145M 3272M|7169B 5002B|   0   412k|   0  3.00 |3082  4540 |0.59 0.62 0.48|1.0   0 118|   0     0 |systemd              1    5.8%   0    0 |bash                 2232  577k2792B0.2%|mysqld       173M|   0     0 |  14    4    0    4    0
Apr 17 04:45:55 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:55| 12  14  74   0   0| 565M 3874M  145M 3272M|6719B   15k|   0     0 |   0     0 |2120  4050 |0.59 0.62 0.48|1.0   0 295|   0     0 |keystone-manage      253584.8%2151k  79k|keystone-manage      253582151k  79k4.8%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 17 04:45:56 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:56| 23   3  74   1   0| 606M 3833M  145M 3273M|8078B 2214B| 120k    0 |7.00     0 | 602   712 |0.62 0.63 0.48|2.0   0   0|   0     0 |keystone-manage      25358 24%  10M 153k|keystone-manage      25358  10M 153k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 17 04:45:57 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:57| 13   3  74   9   0| 633M 3804M  145M 3274M|  11k  126k|  84k 4308k|7.00   178 |1671  3266 |0.62 0.63 0.48|  0 1.0   0|   0     0 |keystone-manage      25358 13%3748k 551k|keystone-manage      253583748k 551k 13%|mysqld       186M|   0     0 |  14    8    0    6    0
Apr 17 04:45:58 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:58|  2   1  75  22   0| 635M 3802M  145M 3275M|  17k 2160B|   0  3152k|   0   239 |1637  2134 |0.62 0.63 0.48|1.0 1.0   0|   0     0 |mysqld               233151.2%   0    0 |python2              24088  14k 458B  0%|mysqld       187M|   0     0 |  14    8    0    6    0
Apr 17 04:45:59 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:45:59|  4   4  60  32   0| 639M 3797M  145M 3275M|  16k 2160B|   0    47M|   0   577 |2251  2758 |0.62 0.63 0.48|1.0 2.0   0|   0     0 |mysqld               233153.5%   0    0 |python2              24088  14k 469B  0%|mysqld       188M|   0     0 |  14    8    0    6    0
Apr 17 04:46:00 cloud-provider-iscsi-0000000310 dstat.sh[24040]: 17-04 04:46:00|  5   4  69  22   0| 638M 3798M  145M 3275M|9075B 2106B|   0    27M|   0   494 |2559  4156 |0.62 0.63 0.48|1.0 1.0   0|   0     0 |mysqld               233156.0%   0    0 |python2              24088  14k 458B  0%|mysqld       190M|   0     0 |  14    8    0    6    0
