-- Logs begin at Wed 2020-04-01 04:40:03 UTC, end at Wed 2020-04-01 07:28:24 UTC. --
Apr 01 06:59:37 cloud-provider-iscsi-0000000114 systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 06:59:38 cloud-provider-iscsi-0000000114 dstat.sh[24547]: [286B blob data]
Apr 01 06:59:38 cloud-provider-iscsi-0000000114 dstat.sh[24547]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 06:59:38 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:38|  2   1  98   0   0| 427M 4441M  161M 2706M|   0     0 |  41k 1041k|1.94  9.36 | 427   639 |0.59 0.77 0.56|2.0   0 6.8|   0     0 |systemd              1    0.0%   0    0 |bash                 2373  709k 666k0.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 01 06:59:39 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:39|  9  21  70   0   0| 427M 4440M  161M 2707M|6948B   24k|  24k  176k|1.00  9.00 |2814  5974 |0.63 0.78 0.57|2.0   0 477|   0     0 |bash                 2373 3.8%1695k  30k|bash                 2373 1695k  30k3.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 01 06:59:40 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:40| 13  20  66   0   0| 427M 4439M  161M 2707M|9731B   15k|   0    32k|   0  8.00 |3049  6469 |0.63 0.78 0.57|  0   0 369|   0     0 |systemd              1    3.2%   0    0 |bash                 2373 2990k  24k2.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 01 06:59:41 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:41| 13  18  69   0   0| 552M 4313M  161M 2829M|  15k 9528B|   0     0 |   0     0 |4425  6807 |0.63 0.78 0.57|2.0   0 338|   0     0 |systemd              1    5.5%   0    0 |bash                 2373  690k  15k2.5%|mysqld       173M|   0     0 |  14    8    0    4    0
Apr 01 06:59:42 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:42| 20   6  73   2   0| 590M 4275M  161M 2829M|8367B   13k|  96k    0 |4.00     0 | 971  1188 |0.63 0.78 0.57|2.0   0  40|   0     0 |keystone-manage      25856 21%9144k 125k|keystone-manage      258569144k 125k 21%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 01 06:59:43 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:43| 23   3  72   2   0| 632M 4233M  161M 2831M|8935B 2160B| 108k 2336k|10.0  37.0 |1647  2484 |0.63 0.78 0.57|1.0 1.0   0|   0     0 |keystone-manage      25856 21%7448k 655k|keystone-manage      258567448k 655k 21%|mysqld       186M|   0     0 |  14    8    0    6    0
Apr 01 06:59:44 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:44|  7   4  72  17   0| 636M 4227M  162M 2832M|  11k  126k|   0    10M|   0   868 |4343  6628 |0.74 0.80 0.58|2.0   0   0|   0     0 |mysqld               238295.5%   0    0 |tail                 7138  120k 120k0.2%|mysqld       190M|   0     0 |  14    8    0    6    0
Apr 01 06:59:45 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:45|  5   3  74  18   0| 638M 4158M  162M 2897M|  16k 5914B|   0    69M|   0   395 |2327  3497 |0.74 0.80 0.58|1.0 1.0   0|   0     0 |mysqld               238294.0%   0    0 |keystone-manage      25856  14k8739B3.0%|mysqld       192M|   0     0 |  14    8    0    6    0
Apr 01 06:59:46 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:46|  9   4  72  15   0| 641M 4154M  163M 2897M|8980B 4204B|   0  8076k|   0   695 |4308  7592 |0.74 0.80 0.58|1.0   0   0|   0     0 |mysqld               238295.8%   0    0 |keystone-manage      25856  23k  13k4.0%|mysqld       194M|   0     0 |  14    8    0    6    0
Apr 01 06:59:47 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:47| 13   6  69  12   0| 642M 4151M  163M 2898M|8785B 6294B|   0  8200k|   0   674 |5242    12k|0.74 0.80 0.58|  0 1.0   0|   0     0 |mysqld               238297.2%   0    0 |python3.6            6127  271k 564k2.0%|mysqld       196M|   0     0 |  14    8    0    6    0
Apr 01 06:59:48 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:48| 11   5  71  13   0| 645M 4148M  164M 2899M|  16k  307k|   0  8896k|   0   728 |4961    11k|0.74 0.80 0.58|1.0 1.0   0|   0     0 |mysqld               238296.2%   0    0 |tail                 7138  296k 296k0.2%|mysqld       197M|   0     0 |  14    8    0    6    0
Apr 01 06:59:49 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:49| 10   7  66  17   0| 646M 4145M  164M 2899M|8577B 6906B|   0    86M|   0  1095 |3877  6578 |0.84 0.82 0.58|2.0   0   0|   0     0 |mysqld               238297.5%   0    0 |keystone-manage      25856  22k  14k4.0%|mysqld       198M|   0     0 |  14    8    0    7    0
Apr 01 06:59:50 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:50| 18   5  69   8   0| 648M 4142M  165M 2900M|  11k  312k|   0  6792k|   0   503 |7433    13k|0.84 0.82 0.58|1.0   0 2.0|   0     0 |keystone-manage      25856 13%  59k 362k|python3.6            6127  339k 708k1.8%|mysqld       199M|   0     0 |  14    8    0    7    0
Apr 01 06:59:51 cloud-provider-iscsi-0000000114 dstat.sh[24547]: 01-04 06:59:51| 15   6  71   8   0| 649M 4139M  165M 2901M|  11k  447k|   0  5848k|   0   450 |5305    13k|0.84 0.82 0.58|1.0 1.0   0|   0     0 |keystone-manage      258569.2%  42k 349k|python3.6            6127  334k 696k1.8%|mysqld       200M|   0     0 |  14    8    0    6    0
