"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000202",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","08 Apr 2020 22:23:12 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
08-04 22:23:12,0.762,0.264,98.847,0.089,0.038,443244544,4659908608,151867392,2865700864,0,0,18814.617,499510.617,0.669,4.440,302.611,378.564,0.870,0.750,0.510,2,0,3.170,0,0,12,3,0,4,0
08-04 22:23:13,8.906,22.646,68.193,0,0.254,443269120,4659220480,151871488,2866020352,5558,2052,24576,221184,1,9,2951,5156,0.870,0.750,0.510,1,0,500,0,0,12,3,0,4,0
08-04 22:23:14,14.286,19.549,65.915,0,0.251,443015168,4659068928,151871488,2866548736,6088,2160,0,32768,0,8,3838,7238,0.870,0.750,0.510,2,0,345,0,0,12,3,0,4,0
08-04 22:23:15,10.486,14.066,69.565,5.882,0,575471616,4525903872,151871488,2994737152,6133,2160,0,3780608,0,128,3538,6647,0.870,0.750,0.510,1,1,174,0,0,14,5,0,4,0
08-04 22:23:16,17.337,9.045,71.106,2.261,0.251,603451392,4497817600,151875584,2994839552,8267,2160,0,3313664,0,153,1867,2552,0.870,0.750,0.510,1,0,204,0,0,14,5,0,6,0
08-04 22:23:17,21.500,3.500,73,2,0,649150464,4450717696,151879680,2996236288,6858,2214,208896,2117632,14,22,1100,1990,0.960,0.780,0.520,2,0,0,0,0,14,7,0,6,0
08-04 22:23:18,7.053,3.526,73.048,16.121,0.252,662556672,4435369984,152309760,2997747712,8218,2160,0,9486336,0,800,4009,6595,0.960,0.780,0.520,2,0,0,0,0,14,7,0,6,0
08-04 22:23:19,7.179,4.103,74.103,14.615,0,665985024,4361936896,152670208,3065835520,5965,1998,0,74821632,0,664,3258,6793,0.960,0.780,0.520,2,0,0,0,0,14,7,0,6,0
08-04 22:23:20,12.060,4.523,70.352,12.814,0.251,668815360,4357844992,153305088,3066388480,9840,2214,0,11091968,0,923,4718,9813,0.960,0.780,0.520,1,0,0,0,0,14,7,0,6,0
08-04 22:23:21,14.796,5.867,67.602,11.480,0.255,670498816,4354367488,153964544,3067396096,7020,2160,0,62857216,0,992,5567,12097,0.960,0.780,0.520,1,0,0,0,0,14,7,0,6,0
08-04 22:23:22,12.879,4.545,70.707,11.869,0,673787904,4349386752,154738688,3068239872,8037,2052,0,12894208,0,990,5410,11626,1.050,0.800,0.530,2,0,0,0,0,14,7,0,6,0
08-04 22:23:23,21.483,4.604,68.542,5.115,0.256,675872768,4345569280,155099136,3069575168,7062,2160,0,7122944,0,507,6039,16378,1.050,0.800,0.530,1,0,2,0,0,14,7,0,6,0
08-04 22:23:24,19.799,5.514,68.170,6.266,0.251,676642816,4343508992,155566080,3070361600,15588,2160,0,8806400,0,717,5900,14401,1.050,0.800,0.530,1,0,0,0,0,14,7,0,6,0
08-04 22:23:25,16.584,6.931,70.545,5.693,0.248,604151808,4415344640,155820032,3070722048,8684,2160,0,5943296,0,424,3399,8482,1.050,0.800,0.530,1,0,52,0,0,14,5,0,7,0
08-04 22:23:26,22.613,4.523,70.854,2.010,0,646811648,4372107264,155865088,3071225856,12117,2160,0,39792640,0,271,1102,1442,1.050,0.800,0.530,1,0,26,0,0,14,5,0,7,0
08-04 22:23:27,23.174,3.023,73.804,0,0,615804928,4402548736,155918336,3071721472,10865,2160,0,7155712,0,67,965,1403,1.040,0.800,0.530,1,0,11,0,0,14,5,0,7,0
08-04 22:23:28,23.308,2.757,73.935,0,0,673923072,4343058432,156016640,3072995328,10786,2160,0,6774784,0,137,1075,1602,1.040,0.800,0.530,1,0,0,0,0,14,5,0,7,0
08-04 22:23:29,11.392,20,68.354,0,0.253,604557312,4411355136,156020736,3073990656,7194,2160,0,147456,0,11,2771,5812,1.040,0.800,0.530,2,0,460,0,0,14,5,0,7,0
08-04 22:23:30,14.467,19.543,65.736,0,0.254,612581376,4402843648,156020736,3074740224,11338,2052,0,20480,0,5,4314,7365,1.040,0.800,0.530,4,0,283,0,0,14,5,0,7,0
08-04 22:23:31,47.118,8.271,44.110,0.501,0,705970176,4309086208,156020736,3075137536,8208,2052,131072,4079616,1,175,1732,2139,1.040,0.800,0.530,2,0,129,0,0,14,7,0,7,0
08-04 22:23:32,46.750,7.500,45.250,0.250,0.250,769986560,4242485248,156037120,3077279744,16115,2160,20480,0,4,0,1323,6353,1.120,0.820,0.540,2,0,33,0,0,14,5,0,8,0
08-04 22:23:33,25.823,8.608,65.570,0,0,814682112,4197396480,156037120,3077619712,7657,2160,0,0,0,0,2015,3132,1.120,0.820,0.540,2,0,143,0,0,14,5,0,8,0
08-04 22:23:34,22.693,2.743,73.566,0.748,0.249,854904832,4157161472,156041216,3077623808,17799,2160,0,2363392,0,180,1023,888,1.120,0.820,0.540,1,0,2,0,0,14,7,0,8,0
08-04 22:23:35,21.696,5.486,72.319,0.499,0,789610496,4222386176,156078080,3077656576,8863,2160,0,552960,0,60,1446,2337,1.120,0.820,0.540,1,0,52,0,0,14,5,0,11,0
08-04 22:23:36,23.367,2.513,73.367,0.503,0.251,826904576,4185059328,156082176,3077656576,12781,2106,0,5738496,0,113,876,1110,1.120,0.820,0.540,1,0,1,0,0,14,5,0,11,0
08-04 22:23:37,21.053,3.509,72.682,2.757,0,792215552,4219645952,156082176,3077754880,9061,2202,73728,0,18,0,1168,1739,1.190,0.840,0.550,2,0,24,0,0,14,29,0,16,0
08-04 22:23:38,22.111,4.271,73.367,0.251,0,835465216,4176379904,156086272,3077763072,9089,2214,0,884736,0,15,874,1047,1.190,0.840,0.550,1,0,38,0,0,14,29,0,16,0
08-04 22:23:39,21.642,6.468,71.642,0,0.249,826195968,4185489408,156086272,3077918720,7999,2202,0,0,0,0,1208,2095,1.190,0.840,0.550,1,0,100,0,0,14,29,0,21,0
08-04 22:23:40,22.807,4.010,73.183,0,0,803790848,4207652864,156086272,3078152192,6407,1944,0,0,0,0,1130,2015,1.190,0.840,0.550,1,0,21,0,0,14,29,0,29,0
08-04 22:23:41,22.613,3.769,73.367,0.251,0,842301440,4169142272,156086272,3078152192,7671,2160,0,10072064,0,135,717,748,1.190,0.840,0.550,1,0,1,0,0,14,29,0,29,0
08-04 22:23:42,22.111,6.030,71.357,0.251,0.251,812523520,4198834176,156098560,3078189056,8417,2160,0,806912,0,15,1495,2525,1.170,0.840,0.550,1,0,73,0,0,14,29,0,37,0
08-04 22:23:43,22.556,4.010,73.434,0,0,849125376,4162166784,156098560,3078254592,14353,2106,0,536576,0,15,1002,1361,1.170,0.840,0.550,1,0,3,0,0,14,31,0,40,0
08-04 22:23:44,21.159,6.045,72.544,0,0.252,824713216,4186411008,156098560,3078422528,6775,2214,0,0,0,0,1465,2328,1.170,0.840,0.550,1,0,101,0,0,14,29,0,45,0
08-04 22:23:45,21.914,5.290,72.544,0,0.252,804249600,4206723072,156098560,3078574080,5748,2160,0,0,0,0,1193,1780,1.170,0.840,0.550,1,0,68,0,0,14,29,0,50,0
08-04 22:23:46,23.116,3.266,73.116,0.503,0,848973824,4161990656,156106752,3078574080,8398,2160,0,2867200,0,40,1107,1123,1.170,0.840,0.550,1,0,1,0,0,14,31,0,53,0
08-04 22:23:47,20.750,6.250,72.750,0,0.250,819363840,4191600640,156110848,3078569984,6735,2160,0,364544,0,9,1158,1758,1.160,0.850,0.550,1,0,71,0,0,14,29,0,56,0
08-04 22:23:48,23.559,2.506,73.684,0.251,0,851316736,4159561728,156114944,3078610944,10620,2160,0,286720,0,8,840,1237,1.160,0.850,0.550,1,0,0,0,0,14,29,0,60,0
08-04 22:23:49,21.106,5.779,73.116,0,0,837599232,4173271040,156123136,3078610944,7001,2052,0,286720,0,6,932,1274,1.160,0.850,0.550,1,0,69,0,0,14,29,0,60,0
08-04 22:23:50,20.802,6.266,72.682,0,0.251,816033792,4194807808,156131328,3078631424,7731,2052,0,335872,0,9,1232,1715,1.160,0.850,0.550,1,0,73,0,0,14,29,0,64,0
