-- Logs begin at Wed 2020-04-08 17:25:47 UTC, end at Wed 2020-04-08 22:54:17 UTC. --
Apr 08 22:23:12 cloud-provider-iscsi-0000000202 systemd[1]: Started Devstack devstack@dstat.service.
Apr 08 22:23:12 cloud-provider-iscsi-0000000202 dstat.sh[24251]: [286B blob data]
Apr 08 22:23:12 cloud-provider-iscsi-0000000202 dstat.sh[24251]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 08 22:23:12 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:12|  1   0  99   0   0| 423M 4444M  145M 2733M|   0     0 |  18k  488k|0.67  4.44 | 303   379 |0.87 0.75 0.51|2.0   0 3.2|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2126  336k 317k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 22:23:13 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:13|  9  23  68   0   0| 423M 4443M  145M 2733M|5558B 2052B|  24k  216k|1.00  9.00 |2959  5166 |0.87 0.75 0.51|2.0   0 501|   0     0 |bash                 2126 3.8%2019k  32k|bash                 2126 2019k  32k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 22:23:14 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:14| 14  19  66   0   0| 423M 4443M  145M 2734M|6088B 2160B|   0    32k|   0  8.00 |3860  7287 |0.87 0.75 0.51|  0   0 344|   0     0 |systemd              1    3.8%   0    0 |bash                 2126 2646k  22k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 22:23:15 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:15| 10  14  69   6   0| 549M 4316M  145M 2856M|6133B 2160B|   0  3692k|   0   128 |3513  6591 |0.87 0.75 0.51|2.0 1.0 174|   0     0 |systemd              1    8.2%   0    0 |bash                 2126  486k5923B0.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 08 22:23:16 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:16| 17   9  71   2   0| 576M 4289M  145M 2856M|8267B 2160B|   0  3236k|   0   153 |1866  2553 |0.87 0.75 0.51|1.0   0 204|   0     0 |keystone-manage      25561 15%6648k 125k|keystone-manage      255616648k 125k 15%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 08 22:23:17 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:17| 22   3  73   2   0| 623M 4240M  145M 2857M|6858B 2214B| 204k 2068k|14.0  22.0 |1098  1990 |0.96 0.78 0.52|1.0   0   0|   0     0 |keystone-manage      25561 21%9910k 603k|keystone-manage      255619910k 603k 21%|mysqld       184M|   0     0 |  14    7    0    6    0
Apr 08 22:23:18 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:18|  7   4  73  16   0| 632M 4230M  145M 2859M|8218B 2160B|   0  9328k|   0   807 |4034  6670 |0.96 0.78 0.52|1.0   0   0|   0     0 |mysqld               235265.2%   0    0 |keystone-manage      25561  38k  53k3.2%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 08 22:23:19 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:19|  7   4  74  15   0| 635M 4160M  146M 2924M|6113B 2160B|   0    71M|   0   657 |3235  6720 |0.96 0.78 0.52|  0 1.0   0|   0     0 |mysqld               235265.8%   0    0 |keystone-manage      25561  27k  16k4.2%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 08 22:23:20 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:20| 12   5  70  13   0| 638M 4156M  146M 2924M|9692B 2052B|   0    11M|   0   926 |4743  9863 |0.96 0.78 0.52|1.0   0   0|   0     0 |mysqld               235267.8%   0    0 |keystone-manage      25561  40k  23k6.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 08 22:23:21 cloud-provider-iscsi-0000000202 dstat.sh[24251]: 08-04 22:23:21| 15   6  67  12   0| 640M 4153M  147M 2925M|7020B 2160B|   0    60M|   0   992 |5556    12k|0.96 0.78 0.52|2.0   0   0|   0     0 |keystone-manage      255618.8%  42k 294k|python3.6            5877  275k 574k2.0%|mysqld       196M|   0     0 |  14    7    0    6    0
