-- Logs begin at Tue 2020-03-10 05:50:04 UTC, end at Tue 2020-03-10 07:21:10 UTC. --
Mar 10 07:18:51 cloud-provider1-0000012544 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 07:18:51 cloud-provider1-0000012544 dstat.sh[30493]: [286B blob data]
Mar 10 07:18:51 cloud-provider1-0000012544 dstat.sh[30493]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 07:18:51 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:51|  3   1  95   0   0| 423M 4123M  181M 2979M|   0     0 |  64k 1767k|3.02  16.3 | 606   941 |0.61 0.70 0.53|2.0   0  12|   0     0 |systemd              1    0.1%   0    0 |bash                 2197 1360k1183k0.1%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 10 07:18:52 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:52|  9  21  70   0   0| 422M 4123M  181M 2979M|4955B 2106B|   0  2840k|   0  17.0 |2703  5382 |0.61 0.70 0.53|1.0   0 476|   0     0 |bash                 2197 3.8%1696k  30k|bash                 2197 1696k  30k3.8%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 10 07:18:53 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:53| 14  19  67   0   0| 423M 4122M  181M 2979M|5457B 1998B|   0    32k|   0  8.00 |2677  5683 |0.61 0.70 0.53|2.0   0 374|   0     0 |systemd              1    3.5%   0    0 |bash                 2197 2978k  24k2.0%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 10 07:18:54 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:54|  8   9  83   0   0| 548M 3996M  181M 3102M|  14k 2160B|   0     0 |   0     0 |3191  6248 |1.52 0.89 0.59|1.0   0  84|   0     0 |systemd              1    6.0%   0    0 |bash                 2197  246k 656B0.2%|mysqld       174M|   0     0 |  14    3    0    3    0
Mar 10 07:18:55 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:55| 11  14  74   0   0| 559M 3985M  181M 3102M|5081B 2106B|   0     0 |   0     0 |2087  3545 |1.52 0.89 0.59|2.0   0 297|   0     0 |keystone-manage      318035.8%2226k  79k|keystone-manage      318032226k  79k5.8%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 10 07:18:56 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:56| 22   4  74   1   0| 597M 3947M  181M 3102M|6288B 2160B|  88k    0 |4.00     0 | 659   722 |1.52 0.89 0.59|2.0   0 1.0|   0     0 |keystone-manage      31803 24%9834k 190k|keystone-manage      318039834k 190k 24%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 10 07:18:57 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:57| 15   5  72   7   0| 632M 3909M  181M 3104M|6661B 2214B|  64k 5240k|7.00   214 |1760  2869 |1.52 0.89 0.59|2.0   0   0|   0     0 |keystone-manage      31803 15%5514k 571k|keystone-manage      318035514k 571k 15%|mysqld       187M|   0     0 |  14    7    0    5    0
Mar 10 07:18:58 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:58|  9   5  71  15   0| 637M 3904M  182M 3105M|5477B 2160B|   0  9792k|   0   842 |4056  7686 |1.52 0.89 0.59|2.0   0   0|   0     0 |mysqld               297686.5%   0    0 |keystone-manage      31803  16k9231B3.8%|mysqld       191M|   0     0 |  14    7    0    5    0
Mar 10 07:18:59 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:18:59| 10   6  72  12   0| 640M 3833M  182M 3170M|  19k 2106B|   0    72M|   0   721 |3834  6779 |1.56 0.90 0.60|4.0   0 2.0|   0     0 |mysqld               297687.8%   0    0 |keystone-manage      31803  23k  15k5.5%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 10 07:19:00 cloud-provider1-0000012544 dstat.sh[30493]: 10-03 07:19:00| 19   6  66   9   0| 643M 3829M  183M 3171M|8067B 2214B|   0    11M|   0   898 |6134    14k|1.56 0.90 0.60|3.0   0   0|   0     0 |mysqld               297689.2%   0    0 |python               6108  290k 603k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
