"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000146",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Apr 2020 10:55:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-04 10:55:38,7.204,2.423,89.417,0.900,0.057,439062528,4669546496,152014848,2857959424,0,0,173255.468,4491887.349,6.223,39.091,1291.268,2332.239,0.690,0.840,0.570,2,0,32.033,0,0,12,3,0,4,0
02-04 10:55:39,9.114,21.266,69.620,0,0,440655872,4667052032,152018944,2858475520,15549,2254,24576,90112,1,6,2402,4793,0.690,0.840,0.570,2,0,435,0,0,12,3,0,4,0
02-04 10:55:40,12.281,20.301,67.168,0,0.251,439136256,4667961344,152018944,2859044864,16049,1944,0,32768,0,8,3021,6740,0.880,0.880,0.580,1,0,342,0,0,12,3,0,4,0
02-04 10:55:41,13.010,18.112,68.878,0,0,570994688,4535615488,152018944,2987065344,6530,2160,0,4096,0,1,4395,7133,0.880,0.880,0.580,2,0,282,0,0,14,5,0,4,0
02-04 10:55:42,18.136,8.564,73.048,0.252,0,606978048,4499488768,152023040,2987171840,7877,2160,77824,0,2,0,1453,2229,0.880,0.880,0.580,1,0,159,0,0,14,5,0,6,0
02-04 10:55:43,22.250,2.250,74,1.250,0.250,640602112,4464799744,152027136,2988232704,6609,2160,131072,0,12,0,752,1052,0.880,0.880,0.580,2,0,0,0,0,14,5,0,6,0
02-04 10:55:44,7.576,3.030,73.232,16.162,0,655527936,4447825920,152354816,2989834240,6791,2106,0,10670080,0,545,3172,4834,0.880,0.880,0.580,0,1,0,0,0,14,7,0,6,0
02-04 10:55:45,8.397,3.817,73.282,14.504,0,660516864,4372910080,152739840,3057831936,7252,2214,0,76083200,0,810,4223,8593,0.890,0.880,0.590,1,0,0,0,0,14,7,0,6,0
02-04 10:55:46,10.474,4.988,70.823,13.466,0.249,663916544,4367941632,153272320,3058864128,7479,2160,0,11063296,0,956,4719,9651,0.890,0.880,0.590,0,1,2,0,0,14,7,0,6,0
02-04 10:55:47,16.040,6.516,67.920,9.524,0,666460160,4363825152,153862144,3059769344,8154,2160,0,10731520,0,864,6133,13467,0.890,0.880,0.590,1,0,0,0,0,14,7,0,6,0
02-04 10:55:48,11.558,3.769,71.608,13.065,0,669503488,4359380992,154472448,3060502528,6741,2160,0,12017664,0,915,4652,10451,0.890,0.880,0.590,0,1,0,0,0,14,7,0,6,0
02-04 10:55:49,17.468,6.329,68.861,7.342,0,670859264,4356448256,154750976,3061698560,6078,2160,0,86790144,0,838,5110,11151,0.890,0.880,0.590,1,0,0,0,0,14,7,0,6,0
02-04 10:55:50,15.267,3.308,69.720,11.705,0,672129024,4354064384,154996736,3062554624,6075,2052,0,5632000,0,413,3803,10585,0.900,0.880,0.590,0,1,0,0,0,14,7,0,6,0
02-04 10:55:51,11.646,5.316,70.380,12.405,0.253,672088064,4353040384,155492352,3063029760,5963,2052,0,9314304,0,717,4776,12969,0.900,0.880,0.590,0,1,0,0,0,14,7,0,6,0
02-04 10:55:52,19.647,6.297,73.552,0.504,0,627331072,4397821952,155541504,3062947840,23192,2160,0,1261568,0,95,1593,3285,0.900,0.880,0.590,1,0,78,0,0,14,5,0,7,0
02-04 10:55:53,23.308,3.258,72.682,0.752,0,667897856,4356714496,155553792,3063472128,9558,2106,0,6963200,0,74,806,1194,0.900,0.880,0.590,1,0,0,0,0,14,5,0,7,0
02-04 10:55:54,23.116,3.015,70.854,3.015,0,645570560,4378517504,155586560,3063963648,12396,2214,0,8466432,0,300,1316,1516,0.900,0.880,0.590,1,2,11,0,0,14,5,0,7,0
02-04 10:55:55,16.667,10.354,70.202,2.778,0,600014848,4422828032,155684864,3065221120,9069,2160,0,9809920,0,207,2159,3634,0.910,0.890,0.590,1,0,222,0,0,14,5,0,7,0
02-04 10:55:56,10.973,22.693,66.085,0,0.249,601182208,4420378624,155693056,3066400768,14335,2160,0,98304,0,17,2688,5555,0.910,0.890,0.590,1,0,453,0,0,14,5,0,7,0
02-04 10:55:57,32.911,14.937,51.899,0.253,0,641142784,4379848704,155697152,3067211776,10960,2160,0,94208,0,6,4136,6905,0.910,0.890,0.590,2,0,203,0,0,14,7,0,7,0
02-04 10:55:58,45.477,4.020,49.497,1.005,0,730206208,4290457600,155705344,3067559936,9026,2106,151552,0,5,0,864,793,0.910,0.890,0.590,2,0,0,0,0,14,7,0,7,0
02-04 10:55:59,47.739,6.281,45.980,0,0,767488000,4250603520,155705344,3069743104,9284,2160,0,380928,0,51,1861,7577,0.910,0.890,0.590,2,0,80,0,0,14,5,0,8,0
02-04 10:56:00,22.727,6.061,70.455,0.505,0.253,810201088,4207980544,155705344,3069755392,7134,2148,0,4046848,0,175,2103,2070,0.990,0.900,0.600,1,0,91,0,0,14,5,0,8,0
02-04 10:56:01,24.311,2.005,73.684,0,0,846770176,4171276288,155705344,3069816832,8379,2052,0,0,0,0,812,1014,0.990,0.900,0.600,1,0,0,0,0,14,7,0,8,0
02-04 10:56:02,21.608,4.774,72.613,1.005,0,783044608,4234866688,155799552,3069833216,6765,2160,0,1392640,0,62,1533,2592,0.990,0.900,0.600,1,0,54,0,0,14,5,0,11,0
02-04 10:56:03,22.444,3.990,72.818,0.499,0.249,821829632,4196081664,155799552,3069833216,7785,2160,0,2445312,0,68,832,1124,0.990,0.900,0.600,1,0,1,0,0,14,5,0,11,0
02-04 10:56:04,19.849,3.769,72.864,3.518,0,792686592,4225060864,155799552,3069935616,5263,2160,73728,253952,18,6,1516,2423,0.990,0.900,0.600,2,0,61,0,0,14,29,0,16,0
02-04 10:56:05,23.869,2.513,73.367,0.251,0,836272128,4181475328,155799552,3069935616,5564,2160,0,9416704,0,137,761,809,1.070,0.920,0.610,1,0,1,0,0,14,29,0,16,0
02-04 10:56:06,22.306,5.514,71.679,0.251,0.251,822501376,4195078144,155803648,3070091264,14570,2234,0,925696,0,7,1367,2324,1.070,0.920,0.610,1,0,102,0,0,14,29,0,21,0
