-- Logs begin at Thu 2020-04-02 10:23:22 UTC, end at Thu 2020-04-02 11:31:44 UTC. --
Apr 02 10:55:38 cloud-provider-iscsi-0000000146 systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 10:55:38 cloud-provider-iscsi-0000000146 dstat.sh[29797]: [286B blob data]
Apr 02 10:55:38 cloud-provider-iscsi-0000000146 dstat.sh[29797]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 02 10:55:38 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:38|  7   2  89   1   0| 419M 4453M  145M 2726M|   0     0 | 169k 4387k|6.22  39.1 |1291  2332 |0.69 0.84 0.57|2.0   0  32|   0     0 |systemd              1    0.1%   0    0 |bash                 2318 3199k2974k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 02 10:55:39 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:39|  9  21  70   0   0| 420M 4451M  145M 2726M|  15k 2254B|  24k   88k|1.00  6.00 |2415  4819 |0.69 0.84 0.57|1.0   0 436|   0     0 |bash                 2318 3.5%1354k  27k|bash                 2318 1354k  27k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 02 10:55:40 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:40| 12  20  67   0   0| 419M 4452M  145M 2727M|  16k 2160B|   0    32k|   0  8.00 |3025  6730 |0.88 0.88 0.58|1.0   0 343|   0     0 |systemd              1    3.8%   0    0 |bash                 2318 2938k  22k2.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 02 10:55:41 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:41| 13  18  69   0   0| 545M 4325M  145M 2849M|6474B 1944B|   0  4096B|   0  1.00 |4385  7118 |0.88 0.88 0.58|1.0   0 281|   0     0 |systemd              1    7.8%   0    0 |bash                 2318  899k  12k1.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 02 10:55:42 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:42| 18   8  73   0   0| 579M 4291M  145M 2849M|7817B 2160B|  76k    0 |2.00     0 |1450  2229 |0.88 0.88 0.58|1.0   0 158|   0     0 |keystone-manage      31113 17%7986k 125k|keystone-manage      311137986k 125k 17%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 02 10:55:43 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:43| 23   2  74   1   0| 611M 4258M  145M 2850M|6429B 2160B| 128k    0 |12.0     0 | 761  1082 |0.88 0.88 0.58|1.0   0   0|   0     0 |keystone-manage      31113 24%8471k 547k|keystone-manage      311138471k 547k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 02 10:55:44 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:44|  7   3  73  16   0| 625M 4242M  145M 2851M|7165B 2106B|   0    10M|   0   553 |3200  4883 |0.88 0.88 0.58|2.0   0   0|   0     0 |keystone-manage      311134.8% 135k 109k|python3.6            6068   84k 174k0.5%|mysqld       188M|   0     0 |  14    7    0    6    0
Apr 02 10:55:45 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:45|  8   4  73  15   0| 630M 4170M  146M 2916M|6980B 2214B|   0    73M|   0   805 |4193  8524 |0.89 0.88 0.59|  0 1.0   0|   0     0 |mysqld               290757.0%   0    0 |keystone-manage      31113  23k  13k3.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 02 10:55:46 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:46| 10   5  70  14   0| 633M 4166M  146M 2917M|7479B 2160B|   0    11M|   0   956 |4726  9665 |0.89 0.88 0.59|1.0   0 2.0|   0     0 |mysqld               290757.8%   0    0 |keystone-manage      31113  36k  20k4.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 02 10:55:47 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:47| 16   6  68   9   0| 636M 4162M  147M 2918M|7992B 2160B|   0    10M|   0   861 |6127    13k|0.89 0.88 0.59|1.0   0   0|   0     0 |keystone-manage      31113 10%  53k 298k|python3.6            6068  274k 572k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 02 10:55:48 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:48| 12   4  71  13   0| 638M 4157M  147M 2919M|6741B 2160B|   0    11M|   0   915 |4645    10k|0.89 0.88 0.59|  0 1.0   0|   0     0 |mysqld               290756.5%   0    0 |keystone-manage      31113  35k  22k5.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 02 10:55:49 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:49| 18   6  69   7   0| 640M 4155M  148M 2920M|6078B 2160B|   0    83M|   0   838 |5112    11k|0.89 0.88 0.59|2.0   0   0|   0     0 |keystone-manage      31113 13%  47k 354k|python3.6            6068  336k 701k2.2%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 02 10:55:50 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:50| 15   3  70  12   0| 641M 4152M  148M 2921M|6223B 2160B|   0  5512k|   0   415 |3815    11k|0.90 0.88 0.59|1.0   0   0|   0     0 |keystone-manage      311139.2%  46k 351k|python3.6            6068  335k 699k1.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 02 10:55:51 cloud-provider-iscsi-0000000146 dstat.sh[29797]: 02-04 10:55:51| 12   5  70  12   0| 641M 4151M  148M 2921M|5815B 1944B|   0  9168k|   0   726 |4788    13k|0.90 0.88 0.59|2.0   0   0|   0     0 |mysqld               290757.8%   0    0 |keystone-manage      31113  48k  32k7.2%|mysqld       200M|   0     0 |  14    7    0    6    0
