-- Logs begin at Thu 2020-04-02 13:18:25 UTC, end at Fri 2020-04-03 04:11:17 UTC. --
Apr 03 03:41:04 cloud-provider-iscsi-0000000149 systemd[1]: Started Devstack devstack@dstat.service.
Apr 03 03:41:04 cloud-provider-iscsi-0000000149 dstat.sh[24351]: [286B blob data]
Apr 03 03:41:04 cloud-provider-iscsi-0000000149 dstat.sh[24351]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 03 03:41:04 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:04|  0   0 100   0   0| 422M 4447M  147M 2728M|   0     0 |6480B  172k|0.23  1.57 | 226   220 |0.68 0.73 0.51|3.0   0 1.1|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2206  116k 110k0.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 03 03:41:05 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:05| 11  21  68   0   0| 423M 4445M  147M 2729M|  16k 2160B|  24k  244k|1.00  7.00 |2748  5062 |0.68 0.73 0.51|4.0   0 480|   0     0 |bash                 2206 3.8%1698k  31k|bash                 2206 1698k  31k3.8%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 03 03:41:06 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:06| 12  21  66   0   0| 422M 4446M  147M 2730M|7828B 2160B|   0    32k|   0  8.00 |3457  6894 |0.68 0.73 0.51|1.0   0 355|   0     0 |systemd              1    3.2%   0    0 |bash                 2206 2956k  23k2.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 03 03:41:07 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:07| 10   8  82   0   0| 548M 4320M  147M 2851M|8505B 2160B|   0     0 |   0     0 |3260  5093 |0.63 0.71 0.51|1.0   0  94|   0     0 |systemd              1    6.0%   0    0 |bash                 2206  246k 656B  0%|mysqld       174M|   0     0 |  14    3    0    4    0
Apr 03 03:41:08 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:08|  8  12  80   0   0| 550M 4317M  147M 2851M|7514B 2160B|   0     0 |   0     0 |2068  3614 |0.63 0.71 0.51|2.0   0 295|   0     0 |bash                 2206 2.5% 608k  18k|bash                 2206  608k  18k2.5%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 03 03:41:09 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:09| 22   3  74   0   0| 592M 4275M  147M 2852M|7166B 2052B|  96k    0 |4.00     0 | 710   725 |0.63 0.71 0.51|2.0   0 1.0|   0     0 |keystone-manage      25674 25%  10M 125k|keystone-manage      25674  10M 125k 25%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 03 03:41:10 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:10| 17   3  74   5   0| 628M 4238M  147M 2853M|8986B 2202B| 108k 3948k|10.0   126 |1641  3128 |0.63 0.71 0.51|1.0 1.0 2.0|   0     0 |keystone-manage      25674 17%5919k 655k|keystone-manage      256745919k 655k 17%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 03 03:41:11 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:11|  7   4  73  16   0| 632M 4232M  148M 2854M|  10k 2160B|   0  9068k|   0   797 |2496  7063 |0.63 0.71 0.51|2.0   0   0|   0     0 |mysqld               236265.8%   0    0 |python2              24417  14k 450B  0%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 03 03:41:12 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:12|  7   5  74  14   0| 635M 4162M  148M 2919M|7655B 2160B|   0    71M|   0   628 |2975  5787 |0.66 0.72 0.51|2.0   0   0|   0     0 |mysqld               236265.8%   0    0 |keystone-manage      25674  21k  13k4.2%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 03 03:41:13 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:13| 13   6  69  11   0| 638M 4158M  149M 2920M|6585B 2106B|   0    11M|   0  1008 |5190    11k|0.66 0.72 0.51|  0 1.0   0|   0     0 |mysqld               236269.5%   0    0 |keystone-manage      25674  39k  22k7.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 03 03:41:14 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:14| 15   6  71   8   0| 639M 4155M  149M 2921M|  15k 2106B|   0  7632k|   0   619 |5257    12k|0.66 0.72 0.51|2.0   0   0|   0     0 |keystone-manage      256749.5%  46k 294k|python3.6            5963  273k 569k2.2%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 03 03:41:15 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:15|  9   7  62  22   0| 644M 4149M  150M 2921M|7532B 2160B|   0    75M|   0  1008 |4104  7848 |0.66 0.72 0.51|2.0 1.0   0|   0     0 |mysqld               236268.0%   0    0 |keystone-manage      25674  20k  12k4.0%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 03 03:41:16 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:16| 14   6  68  12   0| 644M 4148M  150M 2922M|7659B 2254B|   0    19M|   0   671 |6033    12k|0.66 0.72 0.51|2.0   0   0|   0     0 |keystone-manage      256749.0%  37k 347k|python3.6            5963  334k 696k1.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 03 03:41:17 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:17| 21   5  68   6   0| 645M 4146M  151M 2924M|6855B 2160B|   0  6772k|   0   487 |4976    14k|0.69 0.72 0.52|2.0   0   0|   0     0 |keystone-manage      25674 15%  68k 366k|python3.6            5963  340k 710k2.2%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 03 03:41:18 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:18| 13   6  71  10   0| 645M 4144M  151M 2924M|  10k 2052B|   0  8276k|   0   643 |5068    11k|0.69 0.72 0.52|2.0   0   0|   0     0 |keystone-manage      256748.5%  45k  30k|keystone-manage      25674  45k  30k8.5%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 03 03:41:19 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:19| 17   6  74   3   0| 586M 4203M  151M 2924M|  15k 2160B|   0  2388k|   0   175 |2180  3929 |0.69 0.72 0.52|2.0   0  78|   0     0 |keystone-manage      257546.8%2228k  37k|bash                 2206   17M1881k1.2%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 03 03:41:20 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:20| 24   3  73   1   0| 627M 4162M  151M 2924M|7333B 2160B|   0  6864k|   0  70.0 | 930  1569 |0.69 0.72 0.52|1.0   0 2.0|   0     0 |keystone-manage      25754 25%  11M   0 |keystone-manage      25754  11M   0  25%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 03 03:41:21 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:21| 21   4  70   5   0| 593M 4195M  151M 2925M|6947B 2106B|   0    10M|   0   288 |1170  1379 |0.69 0.72 0.52|2.0   0  11|   0     0 |keystone-manage      25767 12%4566k  37k|bash                 2206   16M  39k  0%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 03 03:41:22 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:22| 24   3  72   2   0| 642M 4145M  151M 2926M|7293B 2214B|   0  6240k|   0   132 |1055  1592 |0.87 0.76 0.53|3.0   0   0|   0     0 |keystone-manage      25767 25%  11M1362B|keystone-manage      25767  11M1362B 25%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 03 03:41:23 cloud-provider-iscsi-0000000149 dstat.sh[24351]: 03-04 03:41:23| 11  21  68   0   0| 576M 4211M  151M 2927M|6898B 1998B|   0   176k|   0  10.0 |2827  5866 |0.87 0.76 0.53|2.0   0 460|   0     0 |bash                 2206 3.2%  18M  68k|bash                 2206   18M  68k3.2%|mysqld       200M|   0     0 |  14    5    0    7    0
