"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000242",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Apr 2020 13:29:46 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-04 13:29:46,1.245,0.422,98.154,0.134,0.046,447180800,4629147648,151658496,2887524352,0,0,29091.753,771621.756,1.045,6.695,381.293,513.628,0.560,0.610,0.480,2,0,5.350,0,0,12,4,0,4,0
11-04 13:29:47,11.278,20.802,67.669,0,0.251,447565824,4628119552,151662592,2887819264,11392,17606,24576,90112,1,8,2768,5864,0.560,0.610,0.480,1,0,483,0,0,12,4,0,4,0
11-04 13:29:48,13.232,21.883,64.631,0,0.254,448860160,4626317312,151662592,2888302592,9596,20534,0,28672,0,7,3923,7538,0.600,0.620,0.480,2,0,367,0,0,12,4,0,4,0
11-04 13:29:49,7.595,15.949,76.203,0,0.253,578945024,4495699968,151662592,3016404992,7413,8074,0,323584,0,15,3722,4852,0.600,0.620,0.480,1,0,255,0,0,14,6,0,4,0
11-04 13:29:50,19.347,7.035,73.367,0.251,0,622309376,4452003840,151666688,3016699904,15663,15972,98304,0,4,0,1178,2378,0.600,0.620,0.480,2,0,96,0,0,14,6,0,6,0
11-04 13:29:51,22.139,3.234,71.891,2.488,0.249,662294528,4410740736,151715840,3017928704,5850,2106,110592,2084864,10,47,1059,1891,0.600,0.620,0.480,1,0,0,0,0,14,8,0,6,0
11-04 13:29:52,9.596,4.798,70.960,14.394,0.253,668004352,4402978816,152276992,3019354112,9943,129084,0,11878400,0,1010,4957,8093,0.600,0.620,0.480,1,1,0,0,0,14,8,0,6,0
11-04 13:29:53,10.152,5.584,71.574,12.437,0.254,670920704,4329373696,152764416,3087851520,6670,5860,0,76627968,0,827,4308,7890,0.710,0.640,0.490,0,1,0,0,0,14,8,0,6,0
11-04 13:29:54,12.020,7.161,67.008,13.811,0,672976896,4326072320,153358336,3088367616,11307,5094,0,63062016,0,1027,4079,10068,0.710,0.640,0.490,3,0,0,0,0,14,8,0,6,0
