-- Logs begin at Tue 2022-03-29 15:33:10 UTC, end at Tue 2022-03-29 17:02:47 UTC. --
Mar 29 16:26:27 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 29 16:26:28 ubuntu dstat.sh[70643]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 29 16:26:28 ubuntu dstat.sh[70643]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 29 16:26:28 ubuntu dstat.sh[70643]: 29-03 16:26:28|                   | 976M 1576M  188M 4898M|           |           |           |           |1.50 1.13 0.73|7.0   0    |           |   0     0 |  8    3    0   14    0
Mar 29 16:26:29 ubuntu dstat.sh[70643]: 29-03 16:26:29| 32  19  46   1   0| 974M 1579M  188M 4898M|  61k 9093 |   0  1066k|   0  7.98 |2940  4647 |1.50 1.13 0.73|5.0   0 424|   0     0 |   0     0 |  8    4    0   14    0
Mar 29 16:26:30 ubuntu dstat.sh[70643]: 29-03 16:26:30| 27  19  53   0   0| 895M 1656M  188M 4898M| 260k   13k|   0   429k|   0  10.5 |3170  5389 |1.50 1.13 0.73|5.0   0 326|   0     0 |   0     0 |  8    8    0   14    0
Mar 29 16:26:31 ubuntu dstat.sh[70643]: 29-03 16:26:31| 35  17  46   0   0| 900M 1651M  188M 4898M| 186k 6868 |   0   328k|   0  7.00 |3577  8369 |1.50 1.13 0.73|1.0   0 227|   0     0 |   0     0 |  8    8    0   14    0
Mar 29 16:26:32 ubuntu dstat.sh[70643]: 29-03 16:26:32| 26  12  58   2   0| 966M 1577M  188M 5027M|3296k   77k|   0  7585k|   0   224 |6293  6004 |1.50 1.13 0.73|1.0   0 103|   0     0 |   0     0 |  9    7    0   12    2
Mar 29 16:26:33 ubuntu dstat.sh[70643]: 29-03 16:26:33| 33   8  58   0   0| 992M 1551M  188M 5027M|1005k   23k|   0    32k|   0  7.99 |2030  1708 |1.54 1.15 0.74|3.0   0  47|   0     0 |   0     0 |  9    8    0   12    0
Mar 29 16:26:34 ubuntu dstat.sh[70643]: 29-03 16:26:34| 66  13  21   0   0|1063M 1480M  188M 5028M| 195k   20k|   0  1577k|   0  42.0 |2273  3332 |1.54 1.15 0.74|5.0   0 175|   0     0 |   0     0 |  9    7    0   10    1
Mar 29 16:26:35 ubuntu dstat.sh[70643]: 29-03 16:26:35| 57   9  32   2   0|1116M 1425M  188M 5029M| 337k   10k| 196k  743k|14.0  5.99 |1854  1796 |1.54 1.15 0.74|1.0   0  10|   0     0 |   0     0 |  9    8    1   10    1
Mar 29 16:26:36 ubuntu dstat.sh[70643]: 29-03 16:26:36| 44   3  53   0   1|1062M 1471M  188M 5036M|3802k   76k|   0  5407k|   0  27.0 |4576  2928 |1.54 1.15 0.74|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 29 16:26:37 ubuntu dstat.sh[70643]: 29-03 16:26:37| 22   3  62  11   0|1084M 1444M  188M 5041M|2254k   55k|  12k 8530k|1.00   461 |4603  6284 |1.54 1.15 0.74|  0 2.0 9.0|   0     0 |   0     0 |  9   10    0   10    2
Mar 29 16:26:38 ubuntu dstat.sh[70643]: 29-03 16:26:38| 14   3  59  23   0|1088M 1435M  189M 5045M|1445k   49k|   0    11M|   0   803 |6559    11k|1.66 1.18 0.75|1.0 1.0 5.0|   0     0 |   0     0 |  9    8    0   10    3
