-- Logs begin at Thu 2022-05-05 12:04:42 UTC, end at Thu 2022-05-05 14:08:07 UTC. --
May 05 13:30:54 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 05 13:30:54 ubuntu dstat.sh[85597]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 05 13:30:54 ubuntu dstat.sh[85597]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 05 13:30:54 ubuntu dstat.sh[85597]: 05-05 13:30:54|                   | 904M 1621M  191M 4916M|           |           |           |           |1.55 1.15 0.78|4.0   0    |           |   0     0 |  8    4    0   14    0
May 05 13:30:55 ubuntu dstat.sh[85597]: 05-05 13:30:55| 29  19  51   0   0| 894M 1630M  191M 4916M|  25k 2051 |   0  1190k|   0  53.9 |2960  4855 |1.55 1.15 0.78|4.5   0 372|   0     0 |   0     0 |  8    4    0   14    0
May 05 13:30:56 ubuntu dstat.sh[85597]: 05-05 13:30:56| 18  19  62   0   0| 871M 1653M  191M 4917M|  40k 5640 |   0   464k|   0  34.0 |2998  4990 |1.55 1.15 0.78|1.0   0 304|   0     0 |   0     0 |  8    5    1   12    0
May 05 13:30:57 ubuntu dstat.sh[85597]: 05-05 13:30:57| 18  16  65   0   0| 873M 1650M  191M 4917M|  35k 2740 |   0    12k|   0  3.00 |3328  5731 |1.50 1.15 0.78|1.0   0 165|   0     0 |   0     0 |  8    6    0   12    0
May 05 13:30:58 ubuntu dstat.sh[85597]: 05-05 13:30:58|  8   6  84   0   0|1011M 1512M  191M 5039M| 107k 6924 |   0   460k|   0  9.00 |2585  3697 |1.50 1.15 0.78|2.0   0  49|   0     0 |   0     0 |  9    7    0    8    1
May 05 13:30:59 ubuntu dstat.sh[85597]: 05-05 13:30:59| 28   8  61   2   0|1018M 1504M  191M 5040M| 399k   13k|   0  5832k|   0   189 |2278  2108 |1.50 1.15 0.78|1.0   0  94|   0     0 |   0     0 |  9    7    0    8    1
May 05 13:31:00 ubuntu dstat.sh[85597]: 05-05 13:31:00| 19  11  67   1   0|1033M 1482M  191M 5047M|3728k   85k|   0  4026k|   0  24.0 |4763  4710 |1.50 1.15 0.78|2.0   0 177|   0     0 |   0     0 |  9    6    0   10    2
May 05 13:31:01 ubuntu dstat.sh[85597]: 05-05 13:31:01| 28   5  64   2   0|1058M 1453M  191M 5050M|2100k   27k|  52k 2963k|5.01  29.0 |2267  1304 |1.50 1.15 0.78|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
May 05 13:31:02 ubuntu dstat.sh[85597]: 05-05 13:31:02| 25   3  70   1   0|1091M 1418M  191M 5052M| 257k   12k| 144k 1650k|8.99  19.0 |1480  1418 |1.46 1.14 0.78|1.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
May 05 13:31:03 ubuntu dstat.sh[85597]: 05-05 13:31:03| 27   2  69   2   0|1112M 1396M  192M 5052M| 236k   29k|  12k 1564k|1.00   104 |2049  2786 |1.46 1.14 0.78|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
May 05 13:31:04 ubuntu dstat.sh[85597]: 05-05 13:31:04| 11   3  60  23   0|1117M 1388M  192M 5055M| 272k   19k|   0    11M|   0   835 |5732  9672 |1.46 1.14 0.78|2.0   0  11|   0     0 |   0     0 |  9    8    0   10    2
May 05 13:31:05 ubuntu dstat.sh[85597]: 05-05 13:31:05| 15   3  62  17   0|1124M 1378M  193M 5057M|  78k   20k|   0  8078k|   0   694 |5373  9303 |1.46 1.14 0.78|  0 1.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
May 05 13:31:06 ubuntu dstat.sh[85597]: 05-05 13:31:06| 16   3  59  21   0|1126M 1372M  193M 5060M| 202k   18k|   0  7244k|   0   630 |5630  9161 |1.46 1.14 0.78|  0 1.0  22|   0     0 |   0     0 |  9    8    0    9    2
May 05 13:31:07 ubuntu dstat.sh[85597]: 05-05 13:31:07| 17   3  57  20   0|1131M 1364M  193M 5063M|1131k   20k|   0  7935k|   0   683 |6017  9638 |1.59 1.17 0.79|3.0 1.0  15|   0     0 |   0     0 |  9    8    0    9    2
May 05 13:31:08 ubuntu dstat.sh[85597]: 05-05 13:31:08| 11   3  64  21   0|1133M 1359M  194M 5066M| 529k   19k|   0  6975k|   0   637 |5402  9058 |1.59 1.17 0.79|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0    9    2
