"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","29 Mar 2022 01:20:41 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
29-03 01:20:41,,767544,1762852,197680,5089948,,,,,,,0.780,0.640,0.450,3,0,,,,8,4,0,12,0
29-03 01:20:42,10.489,19.479,69.426,0,0,769168,1760900,197680,5090172,469599.225,5376.301,0,15.983,0,3.996,2909,4154,0.780,0.640,0.450,3,0,373.604,0,0,8,4,0,12,0
29-03 01:20:43,15.237,17.485,65.943,0,0,754460,1775392,197680,5090364,268040.022,5065.654,0,23.979,0,5.995,3420,5023,0.800,0.640,0.450,2,0,240.793,0,0,8,4,0,12,0
29-03 01:20:44,18.998,18.248,61.493,0,0,862516,1666984,197680,5177892,437745.222,4325.498,0,4.000,0,1.000,4258,8747,0.800,0.640,0.450,4,0,156.982,0,0,9,4,0,12,0
29-03 01:20:45,1.500,1.500,96.503,0.250,0,902400,1626764,197680,5215696,1623370.818,4622.162,0,2128.074,0,123.004,1505,1237,0.800,0.640,0.450,1,0,4.000,0,0,9,6,0,12,0
29-03 01:20:46,18.779,7.762,72.361,0.250,0,905132,1623868,197680,5215824,597879.343,3341.132,0,428.658,0,9.014,1669,1897,0.800,0.640,0.450,1,0,107.165,0,0,9,6,0,12,0
29-03 01:20:47,15.974,10.733,72.133,0.499,0.250,918180,1610616,197696,5216012,1629859.148,15238.375,0,247.600,0,16.973,2573,3078,0.800,0.640,0.450,1,0,175.716,0,0,9,6,0,14,0
29-03 01:20:48,22.997,4.249,72.490,0.250,0,949788,1578492,197720,5216468,911168.903,3269.562,75.990,907.878,5.999,18.997,1506,1444,0.980,0.680,0.470,2,0,0,0,0,9,6,0,14,0
29-03 01:20:49,24.003,1.500,73.260,0,0,976856,1550296,197840,5217372,2809989.779,3138.433,144.020,0,9.001,0,1653,1204,0.980,0.680,0.470,1,0,1.000,0,0,9,6,0,8,0
29-03 01:20:50,16.249,2.500,69.745,10.749,0,995892,1530420,197896,5218040,306539.236,24892.233,11.999,5963.577,1.000,454.968,3380,4590,0.980,0.680,0.470,2,2,6.000,0,0,9,8,0,8,0
29-03 01:20:51,5.749,2.750,69.243,22.248,0.500,999076,1525048,198008,5220016,338131.201,16387.410,0,6955.325,0,643.938,5197,9183,0.980,0.680,0.470,0,1,3.000,0,0,9,8,0,8,0
29-03 01:20:52,4.754,2.502,68.062,21.520,0,1005064,1516480,198196,5222356,326463.714,13123.008,0,6061.546,0,542.496,4853,8680,0.980,0.680,0.470,0,1,20.018,0,0,9,8,0,8,0
29-03 01:20:53,3.249,1.749,69.230,23.743,0,1006788,1513360,198336,5223584,483741.780,10237.990,0,4106.793,0,416.877,4295,7403,1.060,0.710,0.480,0,1,11.996,0,0,9,8,0,8,0
29-03 01:20:54,5.002,2.251,70.280,19.508,0.250,1008508,1509700,198656,5225164,206196.283,14464.263,0,5702.469,0,584.253,4513,9304,1.060,0.710,0.480,1,1,13.006,0,0,9,8,0,8,0
29-03 01:20:55,5.252,2.001,68.280,21.259,0,1009976,1505920,198996,5227072,387192.914,17827.916,0,6582.923,0,670.298,5035,9766,1.060,0.710,0.480,1,0,3.001,0,0,9,8,0,7,0
29-03 01:20:56,14.507,3.001,69.534,12.006,0,1014336,1500328,199300,5227964,984601.547,101829.285,0,4081.976,0,477.231,5026,8962,1.060,0.710,0.480,1,0,12.006,0,0,9,8,0,7,0
29-03 01:20:57,20.981,4.996,71.186,1.499,0,921200,1592824,199356,5228512,563665.392,79254.908,0,1079.032,0,107.903,2993,4817,1.060,0.710,0.480,1,0,75.932,0,0,9,6,0,7,0
29-03 01:20:58,24.484,3.248,72.454,0,0,969164,1544436,199376,5228904,622353.805,7291.370,0,607.614,0,18.988,1707,1807,1.050,0.710,0.480,1,0,0,0,0,9,6,0,7,0
29-03 01:20:59,24.254,2.500,71.513,1.000,0,1005404,1507824,199448,5229200,1421412.540,5779.063,0,7149.315,0,399.073,2478,3016,1.050,0.710,0.480,1,0,0,0,0,9,6,0,7,0
29-03 01:21:00,24.734,2.249,69.956,2.748,0,927592,1585260,199512,5229508,633049.546,6302.023,0,15865.989,0,388.755,2464,3019,1.050,0.710,0.480,1,0,10.993,0,0,9,6,0,7,0
29-03 01:21:01,22.771,3.253,71.065,1.251,0.250,965464,1547040,199588,5229772,8680278.414,5386.913,0,7266.627,0,411.375,3974,3193,1.050,0.710,0.480,1,0,0,0,0,9,6,0,7,0
29-03 01:21:02,24.477,2.498,66.687,4.746,0,1006532,1505580,199700,5230032,1501843.765,5916.433,0,7297.133,0,383.639,2477,2949,1.050,0.710,0.480,1,0,1.998,0,0,9,6,0,7,0
29-03 01:21:03,24.044,2.505,73.383,0.250,0,913820,1598104,199748,5230172,2426317.914,5127.296,0,2797.071,0,165.300,2049,1969,1.210,0.750,0.490,1,0,19.035,0,0,9,6,0,7,0
29-03 01:21:04,11.999,17.999,68.996,0,0.250,915824,1595548,199760,5230700,437305.074,3533.799,0,227.987,0,13.999,3157,4713,1.210,0.750,0.490,1,0,383.978,0,0,9,6,0,7,0
29-03 01:21:05,15.988,17.737,64.951,0,0,915844,1595164,199760,5231160,993232.069,4020.988,0,10024.492,0,55.958,4069,5796,1.210,0.750,0.490,5,0,256.808,0,0,9,6,0,7,0
29-03 01:21:06,42.553,15.269,41.802,0,0,1018400,1492032,199760,5231824,4118970.929,4667.765,324.401,0,4.005,0,4801,8168,1.210,0.750,0.490,5,0,213.263,0,0,9,7,0,7,0
29-03 01:21:07,48.436,5.742,45.939,0,0,1075176,1434952,199760,5232096,413283.746,5291.967,0,0,0,0,1671,2402,1.210,0.750,0.490,3,0,1.997,0,0,9,7,0,7,0
29-03 01:21:08,47.715,2.248,48.714,0.749,0,1120236,1388712,199792,5233088,1180268.421,4760.472,375.722,207.846,8.993,0.999,1778,1425,1.270,0.770,0.500,2,0,0,0,0,9,7,0,7,0
29-03 01:21:09,48.511,1.750,48.261,0,0,1135364,1372664,199820,5233832,3764845.501,5089.115,0,1064.233,0,4.001,2143,1233,1.270,0.770,0.500,4,0,0,0,0,9,7,0,7,0
29-03 01:21:10,37.525,10.757,51.535,0,0.250,1162692,1342916,199912,5235840,348335.733,6017.037,0,2649.778,0,15.010,2732,6898,1.270,0.770,0.500,1,0,141.095,0,0,9,6,0,7,0
29-03 01:21:11,23.999,2.500,73.498,0,0.250,1218904,1286560,199912,5235984,1003693.908,3929.902,0,0,0,0,1196,1192,1.270,0.770,0.500,1,0,0,0,0,9,6,0,5,0
29-03 01:21:12,24.512,1.251,73.035,0,0,1244524,1260796,199912,5236128,428364.902,4063.934,0,0,0,0,1117,1227,1.270,0.770,0.500,1,0,2.001,0,0,9,6,0,5,0
29-03 01:21:13,20.995,2.499,71.232,4.249,0.250,1263928,1241012,199988,5236432,2259707.333,53400.703,0,1743.566,0,116.971,2737,3661,1.250,0.770,0.500,1,0,0,0,0,9,12,0,5,0
29-03 01:21:14,23.229,4.246,71.435,1.249,0,1155036,1349636,200056,5236632,821219.869,17172.356,0,2485.735,0,172.843,2464,3155,1.250,0.770,0.500,1,0,42.961,0,0,9,6,0,7,0
29-03 01:21:15,21.513,2.752,72.795,2.001,0,1185772,1318112,200076,5237316,8363571.050,3800.352,252.156,2437.509,20.012,39.024,2777,1294,1.250,0.770,0.500,1,0,2.001,0,0,9,6,0,7,0
29-03 01:21:16,19.979,2.497,72.675,4.246,0,1215616,1287760,200080,5237716,11820705.391,110963.264,159.835,915.054,35.963,6.993,3738,2296,1.250,0.770,0.500,1,0,1.998,0,0,9,31,0,7,0
29-03 01:21:17,21.248,4.749,72.742,0,0,1178608,1324464,200080,5238012,404109.356,19116.935,0,0,0,0,1486,1717,1.250,0.770,0.500,1,0,44.995,0,0,9,30,0,7,0
29-03 01:21:18,22.997,3.250,72.991,0.500,0,1217972,1284928,200080,5238184,978283.649,61990.437,0,807.901,0,4.000,1578,1589,1.230,0.780,0.510,1,0,0,0,0,9,31,0,7,0
29-03 01:21:19,32.557,11.771,55.848,0,0,1209692,1292992,200080,5238396,417948.664,4957.691,0,12.021,0,3.005,1831,2311,1.230,0.780,0.510,2,0,195.342,0,0,9,30,0,7,0
29-03 01:21:20,44.210,5.745,48.956,0,0,1284720,1217736,200080,5238620,544113.842,187838.134,0,0,0,0,2000,2693,1.230,0.780,0.510,2,0,0,0,0,9,32,0,7,0
29-03 01:21:21,47.293,16.265,35.032,0.500,0,1202580,1299660,200080,5238836,914388.751,579862.995,0,5553.076,0,468.428,4894,8518,1.230,0.780,0.510,5,0,367.336,0,0,9,30,0,8,0
29-03 01:21:22,85.502,14.500,0,0,0.250,1380024,1121936,200080,5239084,348204.098,5712.166,0,12.000,0,3.000,2100,2556,1.230,0.780,0.510,7,0,162.005,0,0,9,30,0,8,0
29-03 01:21:23,83.741,13.499,2.500,0,0.250,1438504,1062936,200088,5239532,1138913.275,802824.901,0,795.916,0,27.997,5166,8340,1.610,0.860,0.540,5,0,35.996,0,0,9,33,0,8,0
29-03 01:21:24,71.715,14.493,14.743,0.250,0,1265256,1235860,200152,5239780,711692.559,475731.416,0,1419.303,0,82.959,4180,7611,1.610,0.860,0.540,3,0,215.894,0,0,9,30,0,9,0
29-03 01:21:25,42.964,8.243,48.459,0,0.250,1271820,1228996,200168,5240060,243779.956,54875.070,0,535.552,0,18.984,1911,2348,1.610,0.860,0.540,2,0,62.947,0,0,9,30,0,9,0
