-- Logs begin at Mon 2022-06-06 11:24:51 UTC, end at Mon 2022-06-06 13:35:10 UTC. --
Jun 06 12:51:26 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 06 12:51:26 ubuntu dstat.sh[71402]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 06 12:51:26 ubuntu dstat.sh[71402]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 06 12:51:26 ubuntu dstat.sh[71402]: 06-06 12:51:26|                   | 939M 1549M  192M 4954M|           |           |           |           |1.52 0.94 0.62|3.0   0    |           |   0     0 |  8    6    0   10    2
Jun 06 12:51:27 ubuntu dstat.sh[71402]: 06-06 12:51:27| 34  22  43   0   0| 928M 1558M  192M 4955M| 813k   28k|   0  2147k|   0  18.0 |3451  4731 |1.52 0.94 0.62|3.5   0 438|   0     0 |   0     0 |  8    6    0   10    2
Jun 06 12:51:28 ubuntu dstat.sh[71402]: 06-06 12:51:28| 39  19  40   0   0| 915M 1570M  192M 4957M|  80k 7032 |   0   791k|   0  16.5 |3317  4766 |1.52 0.94 0.62|3.0   0 347|   0     0 |   0     0 |  8    5    0    8    2
Jun 06 12:51:29 ubuntu dstat.sh[71402]: 06-06 12:51:29| 47  20  32   1   0| 956M 1527M  192M 5029M| 352k 7351 |   0  1542k|   0  15.0 |4570  6311 |1.52 0.94 0.62| 20   0 133|   0     0 |   0     0 |  9    4    1    8    2
Jun 06 12:51:30 ubuntu dstat.sh[71402]: 06-06 12:51:30| 35   8  56   0   0|1027M 1454M  192M 5082M|  21k 3256 |   0    16k|   0  4.00 |1972  2340 |1.52 0.94 0.62|2.0   0  99|   0     0 |   0     0 |  9    7    0    8    2
Jun 06 12:51:31 ubuntu dstat.sh[71402]: 06-06 12:51:31| 29  11  59   1   0|1017M 1463M  193M 5082M|  78k   18k|   0    22M|   0  97.1 |2380  3313 |1.64 0.98 0.64|2.0   0 193|   0     0 |   0     0 |  9    7    1   10    2
Jun 06 12:51:32 ubuntu dstat.sh[71402]: 06-06 12:51:32| 23   4  71   2   0|1055M 1426M  193M 5082M|  67k 6587 |  20k   14M|2.00  59.9 |1290  1101 |1.64 0.98 0.64|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Jun 06 12:51:33 ubuntu dstat.sh[71402]: 06-06 12:51:33| 42   5  51   1   0|1095M 1377M  193M 5089M| 940k   13k| 176k 2182k|12.0  11.0 |2218  1510 |1.64 0.98 0.64|2.0   0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 06 12:51:34 ubuntu dstat.sh[71402]: 06-06 12:51:34| 43   1  56   1   0|1083M 1389M  193M 5089M| 378k 8372 |   0   932k|   0  14.0 |1645  1130 |1.64 0.98 0.64|2.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Jun 06 12:51:35 ubuntu dstat.sh[71402]: 06-06 12:51:35| 13   3  63  18   0|1104M 1363M  194M 5093M|1786k   53k|  12k 9121k|1.00   624 |6109  8564 |1.64 0.98 0.64|1.0   0  12|   0     0 |   0     0 |  9   10    0   10    2
