-- Logs begin at Fri 2022-06-17 00:40:00 UTC, end at Fri 2022-06-17 02:16:50 UTC. --
Jun 17 01:39:21 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 17 01:39:22 ubuntu dstat.sh[78278]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 17 01:39:22 ubuntu dstat.sh[78278]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 17 01:39:22 ubuntu dstat.sh[78278]: 17-06 01:39:22|                   | 901M 1590M  185M 4956M|           |           |           |           |1.19 0.84 0.50|2.0   0    |           |   0     0 |  8    8    0   10    2
Jun 17 01:39:23 ubuntu dstat.sh[78278]: 17-06 01:39:23| 18  19  61   0   0| 877M 1612M  185M 4959M|2266k   53k|   0    21M|   0   105 |4363  4364 |1.19 0.84 0.50|2.0   0 391|   0     0 |   0     0 |  8    7    0   10    3
Jun 17 01:39:24 ubuntu dstat.sh[78278]: 17-06 01:39:24| 27  18  54   0   0| 809M 1676M  185M 4963M|1159k   32k|   0  2966k|   0  62.4 |4161  4772 |1.19 0.84 0.50|3.0   0 300|   0     0 |   0     0 |  8    4    0   10    2
Jun 17 01:39:25 ubuntu dstat.sh[78278]: 17-06 01:39:25| 44  19  37   0   0| 825M 1659M  185M 4964M|  22k 4016 |   0   896k|   0  11.0 |2265  7457 |1.25 0.86 0.51|2.0   0 152|   0     0 |   0     0 |  8    4    0   10    2
Jun 17 01:39:26 ubuntu dstat.sh[78278]: 17-06 01:39:26| 33  13  53   1   0| 992M 1492M  185M 5086M| 123k 7046 |   0   889k|   0  9.01 |2190  4494 |1.25 0.86 0.51|2.0   0 122|   0     0 |   0     0 |  9    6    0   10    2
Jun 17 01:39:27 ubuntu dstat.sh[78278]: 17-06 01:39:27| 21   9  69   0   0| 984M 1499M  185M 5087M|  54k 6286 |   0   752k|   0  18.0 |1714  2038 |1.25 0.86 0.51|1.0   0 126|   0     0 |   0     0 |  9    7    0   10    2
Jun 17 01:39:28 ubuntu dstat.sh[78278]: 17-06 01:39:28| 29   7  61   2   1|1024M 1458M  185M 5087M| 127k   17k|  36k 1356k|4.00  40.0 |1789  2214 |1.25 0.86 0.51|1.0 1.0  85|   0     0 |   0     0 |  9    7    0   12    2
Jun 17 01:39:29 ubuntu dstat.sh[78278]: 17-06 01:39:29| 26   5  66   2   0|1046M 1435M  185M 5088M| 151k 8790 | 160k   35M|10.0   173 |1635  1506 |1.25 0.86 0.51|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 17 01:39:30 ubuntu dstat.sh[78278]: 17-06 01:39:30| 29   0  69   0   0|1053M 1428M  185M 5088M|  81k 6741 |  12k  520k|1.00  18.0 |1088  1148 |1.23 0.86 0.52|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 17 01:39:31 ubuntu dstat.sh[78278]: 17-06 01:39:31| 11   5  67  16   0|1073M 1406M  186M 5090M| 520k   39k|   0  8688k|   0   658 |5084  9110 |1.23 0.86 0.52|1.0 2.0  12|   0     0 |   0     0 |  9   10    0   10    2
Jun 17 01:39:32 ubuntu dstat.sh[78278]: 17-06 01:39:32|  9   2  63  25   0|1075M 1399M  186M 5094M|1760k   40k|   0  4460k|   0   287 |4292  5626 |1.23 0.86 0.52|1.0 1.0   0|   0     0 |   0     0 |  9   10    0   10    2
Jun 17 01:39:33 ubuntu dstat.sh[78278]: 17-06 01:39:33| 12   3  61  21   0|1022M 1449M  186M 5096M| 723k   29k|   0  6039k|   0   354 |4158  6712 |1.23 0.86 0.52|  0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 17 01:39:34 ubuntu dstat.sh[78278]: 17-06 01:39:34|  9   2  64  24   0|1026M 1444M  187M 5098M| 198k   15k|   0    11M|   0   943 |5376  8915 |1.23 0.86 0.52|  0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Jun 17 01:39:35 ubuntu dstat.sh[78278]: 17-06 01:39:35| 11   2  64  21   0|1029M 1438M  187M 5101M|  70k   22k|   0  7730k|   0   712 |6029    10k|1.37 0.90 0.53|1.0   0  22|   0     0 |   0     0 |  9   10    0   10    2
Jun 17 01:39:36 ubuntu dstat.sh[78278]: 17-06 01:39:36| 10   4  65  20   0|1032M 1433M  187M 5102M| 258k   16k|   0  5973k|   0   548 |4875  8316 |1.37 0.90 0.53|1.0   0 7.0|   0     0 |   0     0 |  9   10    0   10    2
Jun 17 01:39:37 ubuntu dstat.sh[78278]: 17-06 01:39:37| 24   4  51  19   0|1053M 1408M  188M 5105M| 118k   44k|   0  7053k|   0   573 |4955  9003 |1.37 0.90 0.53|3.0   0  16|   0     0 |   0     0 |  9   10    0   10    2
Jun 17 01:39:38 ubuntu dstat.sh[78278]: 17-06 01:39:38| 40   2  55   2   0|1037M 1424M  188M 5106M| 258k  142k|   0  2125k|   0   224 |3419  6869 |1.37 0.90 0.53|1.0   0   0|   0     0 |   0     0 |  9   10    0   10    2
Jun 17 01:39:39 ubuntu dstat.sh[78278]: 17-06 01:39:39| 22   6  70   1   0| 978M 1482M  188M 5106M| 279k   10k|   0  5291k|   0  36.0 |1707  2025 |1.37 0.90 0.53|1.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Jun 17 01:39:40 ubuntu dstat.sh[78278]: 17-06 01:39:40| 32   5  62   0   0|1039M 1414M  188M 5112M| 889k   23k|   0  1347k|   0  20.0 |2244  1837 |1.34 0.90 0.53|2.0   0 5.0|   0     0 |   0     0 |  9    6    0   10    2
Jun 17 01:39:41 ubuntu dstat.sh[78278]: 17-06 01:39:41| 50   1  47   2   0|1049M 1405M  188M 5112M|8415  1567 |   0  7752k|   0   383 |2027  2698 |1.34 0.90 0.53|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jun 17 01:39:42 ubuntu dstat.sh[78278]: 17-06 01:39:42| 34   4  61   1   0| 989M 1465M  188M 5112M|  20k 3300 |   0  7381k|   0   395 |2258  2851 |1.34 0.90 0.53|1.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
