-- Logs begin at Fri 2022-07-08 12:01:31 UTC, end at Fri 2022-07-08 13:09:33 UTC. --
Jul 08 12:55:42 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 08 12:55:43 ubuntu dstat.sh[71655]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 08 12:55:43 ubuntu dstat.sh[71655]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 08 12:55:43 ubuntu dstat.sh[71655]: 08-07 12:55:43|                   | 797M 1698M  185M 4955M|           |           |           |           |1.48 0.89 0.58|3.0   0    |           |   0     0 |  8    4    0   10    2
Jul 08 12:55:44 ubuntu dstat.sh[71655]: 08-07 12:55:44| 12  20  66   1   0| 798M 1696M  185M 4956M| 126k 7376 |   0   699k|   0  14.0 |3423  5838 |1.48 0.89 0.58|3.0   0 353|   0     0 |   0     0 |  8    4    0   10    2
Jul 08 12:55:45 ubuntu dstat.sh[71655]: 08-07 12:55:45| 19  17  64   0   0| 784M 1710M  185M 4956M|  42k 6042 |   0   657k|   0  13.9 |3170  5364 |1.52 0.90 0.59|3.0   0 285|   0     0 |   0     0 |  8    4    0   10    2
Jul 08 12:55:46 ubuntu dstat.sh[71655]: 08-07 12:55:46| 21  20  58   0   1| 787M 1706M  185M 4957M|8727  3949 |   0   671k|   0  13.1 |3336  6998 |1.52 0.90 0.59|1.0   0 228|   0     0 |   0     0 |  8    4    0   10    2
Jul 08 12:55:47 ubuntu dstat.sh[71655]: 08-07 12:55:47| 11   7  81   1   0| 924M 1569M  185M 5079M| 162k 8034 |   0   695k|   0  8.99 |1639  2836 |1.52 0.90 0.59|  0   0  36|   0     0 |   0     0 |  9    4    0   10    2
Jul 08 12:55:48 ubuntu dstat.sh[71655]: 08-07 12:55:48| 20   8  71   1   0| 929M 1564M  185M 5079M|  28k 5052 |   0   500k|   0  16.0 |1715  2194 |1.52 0.90 0.59|1.0   0 112|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:55:49 ubuntu dstat.sh[71655]: 08-07 12:55:49| 20  10  68   1   0| 951M 1541M  185M 5079M| 140k   20k|   0   871k|   0  26.0 |2088  3132 |1.52 0.90 0.59|1.0   0 179|   0     0 |   0     0 |  9    6    0   12    2
Jul 08 12:55:50 ubuntu dstat.sh[71655]: 08-07 12:55:50| 24   4  68   1   0| 975M 1516M  185M 5081M|1005k   27k|  52k   21M|5.00   115 |2373  2012 |1.48 0.91 0.59|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 08 12:55:51 ubuntu dstat.sh[71655]: 08-07 12:55:51| 31   3  64   2   0|1000M 1488M  185M 5083M| 519k   16k| 144k 1773k|9.01  7.00 |1652  1391 |1.48 0.91 0.59|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 08 12:55:52 ubuntu dstat.sh[71655]: 08-07 12:55:52| 23   2  69   5   0|1019M 1470M  185M 5083M| 115k   27k|  12k 2247k|1.00   162 |2154  3588 |1.48 0.91 0.59|  0 1.0 2.0|   0     0 |   0     0 |  9    8    0   12    2
Jul 08 12:55:53 ubuntu dstat.sh[71655]: 08-07 12:55:53| 12   4  61  23   0|1024M 1462M  185M 5085M|  67k   18k|   0    12M|   0   954 |5745    11k|1.48 0.91 0.59|1.0   0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Jul 08 12:55:54 ubuntu dstat.sh[71655]: 08-07 12:55:54| 18   4  58  20   0|1046M 1436M  186M 5088M|  89k   14k|   0  7786k|   0   697 |5446  9822 |1.48 0.91 0.59|1.0 1.0  17|   0     0 |   0     0 |  9    8    0   10    2
Jul 08 12:55:55 ubuntu dstat.sh[71655]: 08-07 12:55:55| 30   3  45  20   0|1055M 1423M  186M 5092M|  31k   18k|   0    41M|   0   677 |5168  8308 |1.60 0.94 0.61|2.0   0  18|   0     0 |   0     0 |  9   10    0   10    2
Jul 08 12:55:56 ubuntu dstat.sh[71655]: 08-07 12:55:56| 10   3  64  21   0|1035M 1441M  186M 5093M|  62k   18k|   0  6912k|   0   654 |5346  9660 |1.60 0.94 0.61|1.0   0  16|   0     0 |   0     0 |  9   10    0   10    2
Jul 08 12:55:57 ubuntu dstat.sh[71655]: 08-07 12:55:57|  9   3  66  21   0|1038M 1436M  187M 5095M| 298k   23k|   0  6835k|   0   591 |5174  9201 |1.60 0.94 0.61|  0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
Jul 08 12:55:58 ubuntu dstat.sh[71655]: 08-07 12:55:58| 28   5  60   6   0|1056M 1410M  187M 5101M|1031k  174k|   0  5191k|   0   375 |5980  9764 |1.60 0.94 0.61|2.0   0 5.0|   0     0 |   0     0 |  9   10    0   10    2
Jul 08 12:55:59 ubuntu dstat.sh[71655]: 08-07 12:55:59| 45   6  48   1   0| 986M 1480M  187M 5101M|  31k   22k|   0  1111k|   0  93.9 |2340  3330 |1.60 0.94 0.61|2.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:00 ubuntu dstat.sh[71655]: 08-07 12:56:00| 36   3  61   0   0|1010M 1456M  187M 5101M|  17k 3261 |   0  2759k|   0  29.0 |1073  1060 |1.56 0.94 0.61|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:01 ubuntu dstat.sh[71655]: 08-07 12:56:01| 28   2  67   2   0|1034M 1432M  188M 5102M| 272k   11k|   0  7483k|   0   406 |2280  2872 |1.56 0.94 0.61|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:02 ubuntu dstat.sh[71655]: 08-07 12:56:02| 28   3  67   2   0| 974M 1490M  188M 5103M| 605k   18k|   0  7833k|   0   414 |2837  3309 |1.56 0.94 0.61|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:03 ubuntu dstat.sh[71655]: 08-07 12:56:03| 27   3  68   1   0|1032M 1432M  188M 5103M| 222k 9404 |   0  8037k|   0   414 |2448  2773 |1.56 0.94 0.61|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:04 ubuntu dstat.sh[71655]: 08-07 12:56:04| 29   1  68   1   0|1037M 1427M  188M 5103M|  27k 5389 |   0  7668k|   0   406 |2136  2690 |1.56 0.94 0.61|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:05 ubuntu dstat.sh[71655]: 08-07 12:56:05| 19  17  62   0   0| 949M 1514M  188M 5104M| 166k 8605 |   0  2509k|   0  82.2 |2827  4456 |1.51 0.94 0.61|3.0   0 345|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:06 ubuntu dstat.sh[71655]: 08-07 12:56:06| 17  21  60   0   0| 958M 1504M  188M 5105M| 137k 6829 |   0   827k|   0  26.0 |3209  5585 |1.51 0.94 0.61|2.0   0 332|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:07 ubuntu dstat.sh[71655]: 08-07 12:56:07| 55  15  30   1   0|1041M 1421M  188M 5105M|  15k 1987 | 196k    0 |3.00     0 |3638  6296 |1.51 0.94 0.61|3.0   0 188|   0     0 |   0     0 |  9    7    0   10    2
Jul 08 12:56:08 ubuntu dstat.sh[71655]: 08-07 12:56:08| 58   5  37   0   0|1120M 1341M  188M 5105M|8845  3145 | 128k  642k|1.00  4.98 |1222  1019 |1.51 0.94 0.61|1.0 1.0   0|   0     0 |   0     0 |  9    7    0   10    2
Jul 08 12:56:09 ubuntu dstat.sh[71655]: 08-07 12:56:09| 63   4  31   2   0|1171M 1289M  188M 5106M|  15k 2462 | 373k  798k|8.02  34.1 |1435  1130 |1.51 0.94 0.61|3.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 08 12:56:10 ubuntu dstat.sh[71655]: 08-07 12:56:10| 72   5  21   1   0|1201M 1256M  188M 5109M|7415  2277 |   0    15M|   0   500 |3211  5581 |1.79 1.01 0.64|3.0 1.0  13|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:11 ubuntu dstat.sh[71655]: 08-07 12:56:11| 45   9  45   0   0|1240M 1217M  188M 5109M|7387  1618 |   0  3971k|   0  39.0 |2388  3494 |1.79 1.01 0.64|2.0   0 131|   0     0 |   0     0 |  9    6    0   10    2
Jul 08 12:56:12 ubuntu dstat.sh[71655]: 08-07 12:56:12| 49   2  49   0   0|1288M 1164M  189M 5113M|  18k 1622 |   0    32k|   0  5.01 |1633  1976 |1.79 1.01 0.64|3.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
