-- Logs begin at Thu 2022-08-11 10:26:38 UTC, end at Thu 2022-08-11 12:04:49 UTC. --
Aug 11 11:22:09 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 11 11:22:09 ubuntu dstat.sh[93807]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 11 11:22:09 ubuntu dstat.sh[93807]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 11 11:22:09 ubuntu dstat.sh[93807]: 11-08 11:22:09|                   | 800M 1579M  187M 5056M|           |           |           |           |1.31 0.82 0.57|2.0   0    |           |   0     0 |  8    4    0   10    2
Aug 11 11:22:10 ubuntu dstat.sh[93807]: 11-08 11:22:10| 12  20  66   0   0| 802M 1576M  187M 5056M|  77k 6458 |   0   612k|   0  20.0 |2633  4694 |1.31 0.82 0.57|3.0   0 355|   0     0 |   0     0 |  8    4    0   10    2
Aug 11 11:22:11 ubuntu dstat.sh[93807]: 11-08 11:22:11| 18  19  61   0   1| 790M 1588M  187M 5057M|  48k 5150 |   0   332k|   0  16.0 |2592  5196 |1.31 0.82 0.57|1.0   0 305|   0     0 |   0     0 |  8    4    0   10    2
Aug 11 11:22:12 ubuntu dstat.sh[93807]: 11-08 11:22:12| 18  18  64   0   0| 789M 1588M  187M 5057M| 144k 8287 |   0   481k|   0  13.0 |2644  6648 |1.20 0.81 0.57|2.0   0 206|   0     0 |   0     0 |  8    4    0   10    2
Aug 11 11:22:13 ubuntu dstat.sh[93807]: 11-08 11:22:13| 15  16  69   0   0| 936M 1440M  187M 5180M|  77k 6253 |   0    20M|   0   107 |3962  7842 |1.20 0.81 0.57|1.0   0 139|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:14 ubuntu dstat.sh[93807]: 11-08 11:22:14| 25   4  70   0   0| 942M 1434M  187M 5180M| 115k 8020 |   0   500k|   0  17.0 |1513  1663 |1.20 0.81 0.57|1.0   0  54|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:15 ubuntu dstat.sh[93807]: 11-08 11:22:15| 20   9  69   0   0| 962M 1413M  188M 5181M| 605k   29k|   0   644k|   0  31.0 |2601  3365 |1.20 0.81 0.57|1.0   0 172|   0     0 |   0     0 |  9    6    0   12    2
Aug 11 11:22:16 ubuntu dstat.sh[93807]: 11-08 11:22:16| 26   4  69   1   0|1015M 1359M  188M 5183M| 483k   17k|  44k 2589k|6.00  16.0 |1766  1807 |1.20 0.81 0.57|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:17 ubuntu dstat.sh[93807]: 11-08 11:22:17| 30   2  68   1   0|1010M 1363M  188M 5183M| 487k   15k|   0   960k|   0  16.0 |1757  1726 |1.19 0.81 0.57|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:18 ubuntu dstat.sh[93807]: 11-08 11:22:18| 16   3  62  18   0|1029M 1342M  188M 5184M|  72k   16k|   0    40M|   0   828 |4117  5821 |1.19 0.81 0.57|  0 2.0 8.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 11 11:22:19 ubuntu dstat.sh[93807]: 11-08 11:22:19|  8   2  68  20   0|1030M 1339M  188M 5186M|  95k   13k|   0  7981k|   0   685 |4969  9470 |1.19 0.81 0.57|2.0   0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 11 11:22:20 ubuntu dstat.sh[93807]: 11-08 11:22:20| 13   3  64  19   0|1037M 1329M  188M 5188M|  55k   13k|   0  6685k|   0   662 |5186  9871 |1.19 0.81 0.57|  0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Aug 11 11:22:21 ubuntu dstat.sh[93807]: 11-08 11:22:21|  7   3  67  21   0|1039M 1324M  189M 5191M| 275k   15k|   0  7278k|   0   604 |5666  9457 |1.19 0.81 0.57|  0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Aug 11 11:22:22 ubuntu dstat.sh[93807]: 11-08 11:22:22| 18   5  55  21   0|1044M 1315M  189M 5195M|  83k   11k|   0  8440k|   0   625 |5155  9102 |1.33 0.85 0.58|  0 2.0  14|   0     0 |   0     0 |  9    8    0   10    2
Aug 11 11:22:23 ubuntu dstat.sh[93807]: 11-08 11:22:23| 21   4  58  14   0|1058M 1293M  189M 5201M| 884k   29k|   0  9885k|   0   520 |5277  8260 |1.33 0.85 0.58|2.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Aug 11 11:22:24 ubuntu dstat.sh[93807]: 11-08 11:22:24| 26   8  66   0   0| 985M 1367M  189M 5201M|  49k 5723 |   0   843k|   0  25.0 |1609  2094 |1.33 0.85 0.58|1.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:25 ubuntu dstat.sh[93807]: 11-08 11:22:25| 26   2  69   0   0|1039M 1311M  189M 5202M| 616k   19k|   0  1236k|   0  16.0 |1786  1649 |1.33 0.85 0.58|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:26 ubuntu dstat.sh[93807]: 11-08 11:22:26| 29   2  67   2   0|1045M 1304M  190M 5203M| 407k   14k|   0  7844k|   0   417 |2628  3201 |1.33 0.85 0.58|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:27 ubuntu dstat.sh[93807]: 11-08 11:22:27| 25   4  68   3   0| 992M 1357M  190M 5203M|  70k 6515 |   0  7547k|   0   406 |2188  3130 |1.31 0.85 0.58|3.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:28 ubuntu dstat.sh[93807]: 11-08 11:22:28| 31   3  60   5   0|1040M 1309M  190M 5203M|  80k 6958 |   0  8443k|   0   438 |2302  3204 |1.31 0.85 0.58|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:29 ubuntu dstat.sh[93807]: 11-08 11:22:29| 26   5  65   3   0| 951M 1397M  190M 5204M| 225k 9266 |   0  7771k|   0   385 |2641  3794 |1.31 0.85 0.58|3.0   0  73|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:30 ubuntu dstat.sh[93807]: 11-08 11:22:30| 22  19  58   0   0| 952M 1396M  190M 5204M|  14k 3393 |   0  2075k|   0   118 |3019  5102 |1.31 0.85 0.58|1.0   0 364|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:31 ubuntu dstat.sh[93807]: 11-08 11:22:31| 20  18  60   1   0| 952M 1395M  190M 5204M|  32k 4943 |   0   557k|   0  25.0 |3415  6006 |1.31 0.85 0.58|2.0   0 279|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:32 ubuntu dstat.sh[93807]: 11-08 11:22:32| 51  17  32   0   1|1047M 1300M  190M 5205M|  22k 3413 |   0   296k|   0  7.00 |3794  7616 |2.40 1.09 0.66|3.0   0 182|   0     0 |   0     0 |  9    7    0   10    2
Aug 11 11:22:33 ubuntu dstat.sh[93807]: 11-08 11:22:33| 67   9  24   0   0|1129M 1214M  190M 5208M|7926  1617 |   0  5773k|   0  23.0 |1656  2978 |2.40 1.09 0.66|4.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 11 11:22:34 ubuntu dstat.sh[93807]: 11-08 11:22:34| 68   4  24   2   0|1158M 1163M  191M 5227M|6042  1460 |   0  3232k|   0  98.1 |1543  1652 |2.40 1.09 0.66|3.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 11 11:22:35 ubuntu dstat.sh[93807]: 11-08 11:22:35| 63  12  25   1   0|1194M 1114M  192M 5238M|6411  2222 |   0  3041k|   0  73.0 |2456  6620 |2.40 1.09 0.66|2.0   0 100|   0     0 |   0     0 |  9    6    0   10    2
Aug 11 11:22:36 ubuntu dstat.sh[93807]: 11-08 11:22:36| 38   9  47   4   0|1237M 1059M  192M 5248M|7556  1618 |   0  1822k|   0  65.9 |2175  2966 |2.40 1.09 0.66|2.0   0  42|   0     0 |   0     0 |  9    6    0   10    2
