-- Logs begin at Sat 2022-09-03 01:54:29 UTC, end at Sat 2022-09-03 04:22:14 UTC. --
Sep 03 03:43:32 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 03 03:43:32 ubuntu dstat.sh[83838]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 03 03:43:32 ubuntu dstat.sh[83838]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 03 03:43:32 ubuntu dstat.sh[83838]: 03-09 03:43:32|                   | 868M 1623M  184M 4958M|           |           |           |           |1.38 0.99 0.64|3.0   0    |           |   0     0 |  8    6    0   10    2
Sep 03 03:43:33 ubuntu dstat.sh[83838]: 03-09 03:43:33| 18  20  61   2   0| 870M 1620M  184M 4959M|1104k   40k|   0  2097k|   0  25.1 |3726  4308 |1.38 0.99 0.64|3.0   0 374|   0     0 |   0     0 |  8    5    0   10    3
Sep 03 03:43:34 ubuntu dstat.sh[83838]: 03-09 03:43:34| 35  20  43   0   0| 837M 1651M  184M 4961M| 143k 8082 |   0   837k|   0  20.1 |3480  4394 |1.38 0.99 0.64|4.0   0 314|   0     0 |   0     0 |  8    4    0   10    2
Sep 03 03:43:35 ubuntu dstat.sh[83838]: 03-09 03:43:35| 42  19  38   0   0| 849M 1639M  184M 4961M|  61k 6152 |   0  1029k|   0  13.0 |3650  7745 |1.35 0.99 0.64|2.0   0 198|   0     0 |   0     0 |  8    4    1   10    2
Sep 03 03:43:36 ubuntu dstat.sh[83838]: 03-09 03:43:36| 15  12  72   0   0| 993M 1494M  184M 5084M|  52k 7622 |   0   931k|   0  11.0 |2437  3937 |1.35 0.99 0.64|1.0   0 115|   0     0 |   0     0 |  9    7    0   10    2
Sep 03 03:43:37 ubuntu dstat.sh[83838]: 03-09 03:43:37| 25  10  63   0   1| 995M 1491M  184M 5085M| 655k   19k|   0  1032k|   0  15.0 |2450  2783 |1.35 0.99 0.64|1.0   0 141|   0     0 |   0     0 |  9    7    1   10    2
Sep 03 03:43:38 ubuntu dstat.sh[83838]: 03-09 03:43:38| 22   7  69   2   0|1037M 1448M  184M 5087M| 928k   38k|  20k 3026k|2.00   198 |2993  3155 |1.35 0.99 0.64|1.0 1.0  67|   0     0 |   0     0 |  9    8    0   12    2
Sep 03 03:43:39 ubuntu dstat.sh[83838]: 03-09 03:43:39| 27   5  61   6   0|1061M 1423M  184M 5087M| 192k   10k| 176k   26M|12.0   221 |1954  1694 |1.35 0.99 0.64|1.0   0   0|   0     0 |   0     0 |  9    8    0   12    2
Sep 03 03:43:40 ubuntu dstat.sh[83838]: 03-09 03:43:40| 26   2  69   3   0|1081M 1400M  184M 5089M| 791k   31k|  12k 2267k|1.00  43.1 |2230  2232 |1.32 0.99 0.64|1.0   0 2.0|   0     0 |   0     0 |  9   10    0   12    2
Sep 03 03:43:41 ubuntu dstat.sh[83838]: 03-09 03:43:41| 16   5  56  21   0|1063M 1414M  185M 5093M|1040k   40k|   0    12M|   0   833 |7267    11k|1.32 0.99 0.64|2.0 1.0  11|   0     0 |   0     0 |  9    8    0   11    2
Sep 03 03:43:42 ubuntu dstat.sh[83838]: 03-09 03:43:42| 30   5  58   6   0|1088M 1387M  185M 5095M|  84k   12k|   0  7333k|   0   643 |5354  9249 |1.32 0.99 0.64|1.0 1.0 7.0|   0     0 |   0     0 |  9    8    0   11    2
Sep 03 03:43:43 ubuntu dstat.sh[83838]: 03-09 03:43:43| 28   5  52  14   0|1098M 1373M  185M 5098M| 305k   18k|   0  8230k|   0   619 |5550  9247 |1.32 0.99 0.64|3.0 1.0  29|   0     0 |   0     0 |  9    8    1   10    2
Sep 03 03:43:44 ubuntu dstat.sh[83838]: 03-09 03:43:44| 16   4  61  18   0|1118M 1350M  186M 5101M|  84k   11k|   0    40M|   0   696 |4982  8381 |1.32 0.99 0.64|1.0 1.0  16|   0     0 |   0     0 |  9    9    0   10    2
Sep 03 03:43:45 ubuntu dstat.sh[83838]: 03-09 03:43:45| 16   3  57  22   0|1104M 1360M  186M 5103M|  53k   12k|   0  6931k|   0   615 |4981  8943 |1.38 1.01 0.65|1.0   0 6.0|   0     0 |   0     0 |  9    9    1   10    2
Sep 03 03:43:46 ubuntu dstat.sh[83838]: 03-09 03:43:46| 22   5  64   7   0|1011M 1447M  186M 5108M| 895k   29k|   0  3185k|   0   255 |4186  5915 |1.38 1.01 0.65|2.0   0  77|   0     0 |   0     0 |  9    8    0   10    2
Sep 03 03:43:47 ubuntu dstat.sh[83838]: 03-09 03:43:47| 32   6  60   0   0|1057M 1401M  186M 5109M|  88k 6531 |   0  1246k|   0  22.0 |1368  1465 |1.38 1.01 0.65|1.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Sep 03 03:43:48 ubuntu dstat.sh[83838]: 03-09 03:43:48| 27   2  70   1   0|1103M 1353M  186M 5110M| 586k   18k|   0  1089k|   0  20.0 |1719  1567 |1.38 1.01 0.65|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 03 03:43:49 ubuntu dstat.sh[83838]: 03-09 03:43:49| 26   5  67   3   0|1049M 1405M  187M 5112M|1226k   34k|   0    10M|   0   410 |3462  3543 |1.38 1.01 0.65|1.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
Sep 03 03:43:50 ubuntu dstat.sh[83838]: 03-09 03:43:50| 46   4  46   2   0|1085M 1367M  187M 5114M| 502k   11k|   0  9136k|   0   424 |2924  3190 |1.51 1.04 0.66|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 03 03:43:51 ubuntu dstat.sh[83838]: 03-09 03:43:51| 48  12  39   2   0|1012M 1441M  187M 5114M|  86k 6838 |   0  7758k|   0   412 |3151  4571 |1.51 1.04 0.66|3.0   0 196|   0     0 |   0     0 |  9    6    0   10    2
Sep 03 03:43:52 ubuntu dstat.sh[83838]: 03-09 03:43:52| 18  19  59   1   0|1013M 1438M  187M 5114M|  96k 7668 |   0  8332k|   0   401 |3832  6375 |1.51 1.04 0.66|1.0   0 390|   0     0 |   0     0 |  9    7    0   10    2
Sep 03 03:43:53 ubuntu dstat.sh[83838]: 03-09 03:43:53| 33  17  47   1   0|1017M 1434M  187M 5115M| 142k 7972 |   0  1841k|   0  56.9 |4040  7030 |1.51 1.04 0.66|2.0   0 164|   0     0 |   0     0 |  9    7    0   10    2
Sep 03 03:43:54 ubuntu dstat.sh[83838]: 03-09 03:43:54| 50  15  35   0   0|1122M 1329M  187M 5115M|  46k 7150 | 324k 5113k|4.00  27.0 |2578  4604 |1.51 1.04 0.66|2.0   0 146|   0     0 |   0     0 |  9    9    0   10    2
Sep 03 03:43:55 ubuntu dstat.sh[83838]: 03-09 03:43:55| 61  10  29   1   0|1206M 1243M  187M 5116M|  55k 3715 |  20k  336k|4.00  4.00 |1778  1923 |1.55 1.06 0.67|3.0   0 6.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 03 03:43:56 ubuntu dstat.sh[83838]: 03-09 03:43:56| 68   8  24   0   0|1229M 1214M  188M 5121M| 249k 9609 | 352k   48k|4.00  9.00 |2371  5267 |1.55 1.06 0.67|4.0   0 3.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 03 03:43:57 ubuntu dstat.sh[83838]: 03-09 03:43:57| 51  15  27   5   0|1235M 1189M  188M 5138M|1025k   24k|   0  9247k|   0   256 |5172  7100 |1.55 1.06 0.67|3.0   0 145|   0     0 |   0     0 |  9    6    0   10    4
Sep 03 03:43:58 ubuntu dstat.sh[83838]: 03-09 03:43:58| 61   9  30   0   0|1316M 1097M  189M 5147M|9869  1842 |   0  1999k|   0  72.2 |1692  1535 |1.55 1.06 0.67|4.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 03 03:43:59 ubuntu dstat.sh[83838]: 03-09 03:43:59| 54   7  37   1   0|1351M 1050M  189M 5156M|  13k 8745 |   0  9899k|   0   205 |2010  2036 |1.55 1.06 0.67|2.0 2.0 5.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 03 03:44:00 ubuntu dstat.sh[83838]: 03-09 03:44:00| 40   6  50   4   0|1253M 1136M  190M 5166M|  70k   58k|   0  5334k|   0   333 |3696  5844 |1.58 1.08 0.68|1.0 1.0  43|   0     0 |   0     0 |  9    7    0   12    2
