-- Logs begin at Tue 2022-10-04 15:36:57 UTC, end at Wed 2022-10-05 21:01:06 UTC. --
Oct 05 20:22:11 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 05 20:22:11 ubuntu dstat.sh[81945]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 05 20:22:11 ubuntu dstat.sh[81945]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 05 20:22:11 ubuntu dstat.sh[81945]: 05-10 20:22:11|                   | 925M 1358M  213M 5126M|           |           |           |           |0.73 0.68 0.54|9.0   0    |           |   0     0 |  8    5    0   10    2
Oct 05 20:22:12 ubuntu dstat.sh[81945]: 05-10 20:22:12| 24  19  56   1   0| 920M 1363M  213M 5126M| 148k 9987 |   0   903k|   0  25.0 |3215  6198 |0.73 0.68 0.54|5.5   0 396|   0     0 |   0     0 |  8    6    0   10    2
Oct 05 20:22:13 ubuntu dstat.sh[81945]: 05-10 20:22:13| 19  17  62   2   0| 896M 1386M  214M 5127M| 164k 9258 |   0   576k|   0  19.5 |3267  6232 |0.73 0.68 0.54|1.0   0 317|   0     0 |   0     0 |  8    6    0   10    2
Oct 05 20:22:14 ubuntu dstat.sh[81945]: 05-10 20:22:14| 23  15  61   1   0| 899M 1382M  214M 5128M|  89k 7155 |   0   460k|   0  12.0 |2828  7167 |0.73 0.68 0.54|2.0   0 165|   0     0 |   0     0 |  8    6    0   10    2
Oct 05 20:22:15 ubuntu dstat.sh[81945]: 05-10 20:22:15| 10   6  82   0   0|1037M 1243M  214M 5250M| 472k   13k|   0   415k|   0  8.99 |1915  3083 |0.73 0.68 0.54|2.0   0  36|   0     0 |   0     0 |  9    6    0   10    2
Oct 05 20:22:16 ubuntu dstat.sh[81945]: 05-10 20:22:16| 23   9  66   1   0|1044M 1233M  214M 5252M| 873k   12k|   0  1825k|   0  17.0 |2083  2257 |0.75 0.69 0.55|3.0   0 100|   0     0 |   0     0 |  9    6    0    8    4
Oct 05 20:22:17 ubuntu dstat.sh[81945]: 05-10 20:22:17| 20  11  68   0   0| 989M 1289M  214M 5252M|  39k   17k|   0   584k|   0  30.0 |2080  3076 |0.75 0.69 0.55|1.0   0 186|   0     0 |   0     0 |  9    6    0   10    2
Oct 05 20:22:18 ubuntu dstat.sh[81945]: 05-10 20:22:18| 23   4  71   1   0|1010M 1267M  214M 5253M| 177k 8382 |  52k  748k|5.00  18.0 |1415  1506 |0.75 0.69 0.55|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 05 20:22:19 ubuntu dstat.sh[81945]: 05-10 20:22:19| 23   3  72   1   0|1047M 1229M  214M 5254M|  18k 2586 | 144k 1340k|9.00  12.0 |1184  1415 |0.75 0.69 0.55|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Oct 05 20:22:20 ubuntu dstat.sh[81945]: 05-10 20:22:20| 19   2  68  10   0|1066M 1209M  214M 5254M|  34k   14k|  12k 3948k|1.00   285 |2917  4729 |0.75 0.69 0.55|3.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
