-- Logs begin at Wed 2022-05-11 06:44:54 UTC, end at Wed 2022-05-11 07:50:03 UTC. --
May 11 07:29:33 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 11 07:29:34 ubuntu dstat.sh[71590]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 11 07:29:34 ubuntu dstat.sh[71590]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 11 07:29:34 ubuntu dstat.sh[71590]: 11-05 07:29:34|                   |1075M 1406M  191M 4961M|           |           |           |           |1.58 1.14 0.69|3.0   0    |           |   0     0 |  8    6    1   14    0
May 11 07:29:35 ubuntu dstat.sh[71590]: 11-05 07:29:35| 26  19  54   0   0|1028M 1452M  191M 4961M|1280k   10k|   0   515k|   0  13.0 |3087  4266 |1.58 1.14 0.69|3.5   0 383|   0     0 |   0     0 |  8    6    0   14    0
May 11 07:29:36 ubuntu dstat.sh[71590]: 11-05 07:29:36| 30  18  51   0   0| 939M 1541M  192M 4961M|1009k 8817 |   0   244k|   0  11.0 |3080  4505 |1.58 1.14 0.69|3.0   0 304|   0     0 |   0     0 |  8    6    0   14    0
May 11 07:29:37 ubuntu dstat.sh[71590]: 11-05 07:29:37| 29  14  54   0   0| 945M 1532M  192M 4964M|1230k   32k|   0  5456k|   0  26.0 |4443  8298 |1.58 1.14 0.69|3.0   0 162|   0     0 |   0     0 |  8    5    0   14    2
May 11 07:29:38 ubuntu dstat.sh[71590]: 11-05 07:29:38| 19  12  69   0   0|1057M 1419M  192M 5086M|4154k   21k|   0   335k|   0  3.99 |3861  4173 |1.61 1.16 0.70|3.0   0 116|   0     0 |   0     0 |  9    8    0   14    0
May 11 07:29:39 ubuntu dstat.sh[71590]: 11-05 07:29:39| 41  10  47   0   1|1076M 1399M  192M 5086M|1648k 5896 |   0   649k|   0  17.0 |2384  2382 |1.61 1.16 0.70|4.0   0 141|   0     0 |   0     0 |  9    7    0   14    1
May 11 07:29:40 ubuntu dstat.sh[71590]: 11-05 07:29:40| 48   9  41   1   0|1133M 1342M  192M 5087M| 857k   26k|  20k 1639k|2.00  31.0 |2339  2211 |1.61 1.16 0.70|2.0   0  74|   0     0 |   0     0 |  9    7    0   16    1
May 11 07:29:41 ubuntu dstat.sh[71590]: 11-05 07:29:41| 32   4  58   5   0|1151M 1319M  192M 5091M|2060k   46k| 176k 1187k|12.0  11.0 |3207  2231 |1.61 1.16 0.70|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
May 11 07:29:42 ubuntu dstat.sh[71590]: 11-05 07:29:42| 33   2  65   0   0|1106M 1356M  192M 5098M|4250k   58k|   0  6573k|   0  30.0 |3817  1883 |1.61 1.16 0.70|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   12    2
May 11 07:29:43 ubuntu dstat.sh[71590]: 11-05 07:29:43| 18   3  63  14   0|1127M 1334M  192M 5100M| 836k   33k|  12k 7694k|1.00   543 |4537  7135 |1.64 1.17 0.71|1.0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
