-- Logs begin at Thu 2022-12-08 14:14:49 UTC, end at Thu 2022-12-08 16:44:11 UTC. --
Dec 08 16:31:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 08 16:31:47 ubuntu dstat.sh[91864]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 08 16:31:47 ubuntu dstat.sh[91864]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 08 16:31:47 ubuntu dstat.sh[91864]: 08-12 16:31:47|                   | 868M 1510M  193M 5056M|           |           |           |           |0.78 0.40 0.15|4.0   0    |           |   0     0 |  8    4    0   10    2
Dec 08 16:31:48 ubuntu dstat.sh[91864]: 08-12 16:31:48| 16  20  62   0   1| 869M 1508M  193M 5056M| 427k 7414 |   0    15M|   0   232 |3338  4580 |0.78 0.40 0.15|3.0   0 363|   0     0 |   0     0 |  8    4    0   10    2
Dec 08 16:31:49 ubuntu dstat.sh[91864]: 08-12 16:31:49| 13  17  68   0   0| 870M 1505M  193M 5059M|1247k   13k|   0    24k|   0   119 |3324  4480 |0.78 0.40 0.15|3.0   0 345|   0     0 |   0     0 |  8    4    0   10    2
Dec 08 16:31:50 ubuntu dstat.sh[91864]: 08-12 16:31:50| 17  17  65   0   0| 850M 1522M  193M 5061M|1103k   15k|   0    20k|   0  5.00 |4083  5313 |0.78 0.40 0.15|2.0   0 210|   0     0 |   0     0 |  8    4    0   10    2
Dec 08 16:31:51 ubuntu dstat.sh[91864]: 08-12 16:31:51| 21  16  60   0   0| 990M 1380M  193M 5186M|1230k   17k|   0     0 |   0     0 |4623  7601 |0.78 0.40 0.15|  0   0 108|   0     0 |   0     0 |  9    4    0    8    2
Dec 08 16:31:52 ubuntu dstat.sh[91864]: 08-12 16:31:52|  4   3  92   1   0| 995M 1374M  193M 5186M| 353k 7317 |   0  4631k|   0  9.01 |1334  1945 |0.72 0.39 0.15|1.0   0  30|   0     0 |   0     0 |  9    6    0    8    2
Dec 08 16:31:53 ubuntu dstat.sh[91864]: 08-12 16:31:53| 19   8  72   0   0| 998M 1368M  193M 5189M|1701k   14k|   0    32k|   0  8.00 |2521  2518 |0.72 0.39 0.15|1.0   0  87|   0     0 |   0     0 |  9    6    0    8    2
Dec 08 16:31:54 ubuntu dstat.sh[91864]: 08-12 16:31:54| 18  12  69   2   1|1020M 1344M  193M 5190M| 364k   20k|   0  2704k|   0  30.0 |2445  3587 |0.72 0.39 0.15|1.0   0 172|   0     0 |   0     0 |  9    6    0   10    2
Dec 08 16:31:55 ubuntu dstat.sh[91864]: 08-12 16:31:55| 25   5  68   1   0|1052M 1312M  193M 5191M| 197k 7427 | 164k 1087k|11.0  28.0 |1676  2183 |0.72 0.39 0.15|  0 1.0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 08 16:31:56 ubuntu dstat.sh[91864]: 08-12 16:31:56| 26   2  70   0   0|1076M 1287M  193M 5192M| 239k 7703 |  44k 1582k|4.00  13.0 |1552  1850 |0.72 0.39 0.15|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 08 16:31:57 ubuntu dstat.sh[91864]: 08-12 16:31:57| 12   4  63  19   0|1092M 1269M  193M 5194M| 181k   21k|   0  9174k|   0   710 |5625  9556 |0.82 0.42 0.16|2.0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
Dec 08 16:31:58 ubuntu dstat.sh[91864]: 08-12 16:31:58|  9   5  63  21   0|1098M 1258M  193M 5197M|  60k   12k|   0  7464k|   0   679 |5698    10k|0.82 0.42 0.16|4.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 08 16:31:59 ubuntu dstat.sh[91864]: 08-12 16:31:59| 10   4  63  21   1|1101M 1254M  194M 5199M| 146k   11k|   0    16M|   0   629 |5654  9606 |0.82 0.42 0.16|2.0   0  19|   0     0 |   0     0 |  9    8    0   10    2
