-- Logs begin at Wed 2022-07-27 21:50:40 UTC, end at Thu 2022-07-28 01:33:58 UTC. --
Jul 28 00:55:50 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 28 00:55:50 ubuntu dstat.sh[91929]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 28 00:55:50 ubuntu dstat.sh[91929]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 28 00:55:50 ubuntu dstat.sh[91929]: 28-07 00:55:50|                   | 925M 1440M  187M 5070M|           |           |           |           |1.81 1.34 0.84|1.0   0    |           |   0     0 |  8    7    0   10    2
Jul 28 00:55:51 ubuntu dstat.sh[91929]: 28-07 00:55:51| 29  19  50   1   0| 883M 1481M  187M 5071M|1030k   36k|   0  1897k|   0  20.0 |3501  4215 |1.81 1.34 0.84|2.0   0 400|   0     0 |   0     0 |  8    6    0   10    2
Jul 28 00:55:52 ubuntu dstat.sh[91929]: 28-07 00:55:52| 39  19  40   0   0| 839M 1524M  187M 5073M| 146k 5893 |   0  9932k|   0  33.0 |2928  5162 |1.81 1.34 0.84|3.0   0 323|   0     0 |   0     0 |  8    4    0   10    2
Jul 28 00:55:53 ubuntu dstat.sh[91929]: 28-07 00:55:53| 39  18  43   0   0| 850M 1512M  187M 5073M|  35k 5301 |   0   488k|   0  11.0 |3977  8206 |1.81 1.34 0.84|3.0   0 144|   0     0 |   0     0 |  8    4    1   10    2
Jul 28 00:55:54 ubuntu dstat.sh[91929]: 28-07 00:55:54|  7   5  86   1   0| 994M 1366M  187M 5197M|1002k   16k|   0  1371k|   0  13.0 |2274  2873 |1.81 1.34 0.84|1.0   0  38|   0     0 |   0     0 |  9    5    0   10    2
Jul 28 00:55:55 ubuntu dstat.sh[91929]: 28-07 00:55:55| 38   8  53   0   1| 961M 1398M  187M 5198M| 607k   15k|   0  1086k|   0  17.0 |2222  2294 |1.83 1.35 0.84|2.0   0 112|   0     0 |   0     0 |  9    6    0   10    3
Jul 28 00:55:56 ubuntu dstat.sh[91929]: 28-07 00:55:56| 18  11  68   1   0| 952M 1407M  187M 5198M|  85k   18k|   0   619k|   0  26.0 |2092  3002 |1.83 1.35 0.84|1.0   0 179|   0     0 |   0     0 |  9    6    0   12    2
Jul 28 00:55:57 ubuntu dstat.sh[91929]: 28-07 00:55:57| 25   4  70   1   0| 983M 1375M  187M 5198M|  75k 5951 |4097B   18M|1.00   115 |1232  1278 |1.83 1.35 0.84|  0 2.0   0|   0     0 |   0     0 |  9    6    0   12    2
Jul 28 00:55:58 ubuntu dstat.sh[91929]: 28-07 00:55:58| 23   2  69   5   0|1004M 1353M  187M 5199M|  49k 6525 |  40k 1421k|5.00  12.0 | 983   963 |1.83 1.35 0.84|2.0   0   0|   0     0 |   0     0 |  9    6    0   12    2
Jul 28 00:55:59 ubuntu dstat.sh[91929]: 28-07 00:55:59| 23   2  65   8   0|1039M 1315M  187M 5201M| 354k   26k|   0  3866k|   0   241 |2948  4674 |1.83 1.35 0.84|1.0 2.0  10|   0     0 |   0     0 |  9    8    0   12    2
