-- Logs begin at Thu 2022-07-28 19:31:05 UTC, end at Fri 2022-07-29 02:59:53 UTC. --
Jul 29 02:22:35 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 29 02:22:36 ubuntu dstat.sh[92145]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 29 02:22:36 ubuntu dstat.sh[92145]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 29 02:22:36 ubuntu dstat.sh[92145]: 29-07 02:22:36|                   | 884M 1501M  186M 5051M|           |           |           |           |1.14 0.74 0.50|5.0   0    |           |   0     0 |  8    5    0   10    4
Jul 29 02:22:37 ubuntu dstat.sh[92145]: 29-07 02:22:37| 39  20  39   0   0| 898M 1486M  186M 5052M|1596k   36k|   0  3908k|   0  23.0 |4188  5458 |1.14 0.74 0.50|4.0   0 434|   0     0 |   0     0 |  8    6    0   10    3
Jul 29 02:22:38 ubuntu dstat.sh[92145]: 29-07 02:22:38| 33  19  47   0   0| 907M 1475M  186M 5055M| 519k   14k|   0  2323k|   0  19.5 |4154  5839 |1.14 0.74 0.50|1.0   0 348|   0     0 |   0     0 |  8    7    0   10    2
Jul 29 02:22:39 ubuntu dstat.sh[92145]: 29-07 02:22:39| 25  15  59   1   0| 907M 1473M  186M 5055M| 344k   12k|   0   464k|   0  8.01 |4511  6518 |1.14 0.74 0.50|4.0   0 139|   0     0 |   0     0 |  8    7    0   10    2
Jul 29 02:22:40 ubuntu dstat.sh[92145]: 29-07 02:22:40| 13   6  79   1   0| 996M 1382M  186M 5180M|1338k   44k|   0  2129k|   0  20.0 |2940  2938 |1.14 0.74 0.50|3.0   0  64|   0     0 |   0     0 |  9    6    0   10    4
Jul 29 02:22:41 ubuntu dstat.sh[92145]: 29-07 02:22:41| 45  10  44   0   0| 982M 1395M  186M 5180M|  75k 7476 |   0    13M|   0   230 |2096  2172 |1.20 0.76 0.51|2.0   0 101|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:42 ubuntu dstat.sh[92145]: 29-07 02:22:42| 43  12  45   1   0|1020M 1356M  186M 5181M| 125k   18k|   0  1037k|   0  36.0 |2174  3104 |1.20 0.76 0.51|2.0   0 162|   0     0 |   0     0 |  9    6    0   12    2
Jul 29 02:22:43 ubuntu dstat.sh[92145]: 29-07 02:22:43| 29   5  64   1   0|1046M 1329M  186M 5182M| 126k 7529 |  44k 1040k|6.00  15.0 |1358  1688 |1.20 0.76 0.51|1.0   0 2.0|   0     0 |   0     0 |  9    7    0   12    2
Jul 29 02:22:44 ubuntu dstat.sh[92145]: 29-07 02:22:44| 32   2  66   0   0|1062M 1313M  186M 5183M|  29k 6383 |   0  1299k|   0  23.0 |1089  1219 |1.20 0.76 0.51|3.0   0   0|   0     0 |   0     0 |  9    7    0   12    2
Jul 29 02:22:45 ubuntu dstat.sh[92145]: 29-07 02:22:45| 29   2  55  12   0|1020M 1354M  186M 5184M|  48k   27k|   0  5188k|   0   426 |3750  6485 |1.20 0.76 0.51|  0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Jul 29 02:22:46 ubuntu dstat.sh[92145]: 29-07 02:22:46| 10   4  61  23   0|1021M 1351M  186M 5185M|  67k   18k|   0    21M|   0   956 |5606  9369 |1.35 0.80 0.52|2.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Jul 29 02:22:47 ubuntu dstat.sh[92145]: 29-07 02:22:47| 10   3  66  20   0|1026M 1344M  187M 5187M| 158k   18k|   0  6216k|   0   601 |5206  9335 |1.35 0.80 0.52|1.0   0  19|   0     0 |   0     0 |  9    8    0   10    2
Jul 29 02:22:48 ubuntu dstat.sh[92145]: 29-07 02:22:48| 10   3  65  20   0|1030M 1337M  187M 5190M|  63k   23k|   0  8060k|   0   734 |5046    10k|1.35 0.80 0.52|  0 1.0  19|   0     0 |   0     0 |  9   10    0   10    2
Jul 29 02:22:49 ubuntu dstat.sh[92145]: 29-07 02:22:49| 10   3  63  19   0|1032M 1330M  187M 5193M| 951k   37k|   0  7772k|   0   660 |6152    11k|1.35 0.80 0.52|1.0 1.0  11|   0     0 |   0     0 |  9   10    0   10    2
Jul 29 02:22:50 ubuntu dstat.sh[92145]: 29-07 02:22:50| 10   3  66  19   0|1036M 1325M  188M 5195M| 228k   31k|   0  6609k|   0   669 |5644    10k|1.35 0.80 0.52|2.0 1.0  15|   0     0 |   0     0 |  9   10    0   10    2
Jul 29 02:22:51 ubuntu dstat.sh[92145]: 29-07 02:22:51| 26   4  62   5   0|1038M 1321M  188M 5196M| 642k  173k|   0    37M|   0   467 |5040  8623 |1.32 0.80 0.53|2.0   0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Jul 29 02:22:52 ubuntu dstat.sh[92145]: 29-07 02:22:52| 21   7  71   1   0| 967M 1393M  188M 5196M|  83k 9108 |   0   826k|   0  29.1 |1759  2344 |1.32 0.80 0.53|1.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:53 ubuntu dstat.sh[92145]: 29-07 02:22:53| 26   2  71   0   0|1019M 1340M  188M 5196M|  44k 5252 |   0   703k|   0  22.0 |1033  1210 |1.32 0.80 0.53|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:54 ubuntu dstat.sh[92145]: 29-07 02:22:54| 38   3  59   1   0|1056M 1300M  188M 5198M|  73k 4488 |   0  7853k|   0   418 |2331  2997 |1.32 0.80 0.53|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:55 ubuntu dstat.sh[92145]: 29-07 02:22:55| 46   3  49   1   0| 967M 1389M  188M 5199M|4786  2235 |   0  7598k|   0   411 |2281  3050 |1.32 0.80 0.53|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:56 ubuntu dstat.sh[92145]: 29-07 02:22:56| 24   4  69   3   0|1025M 1331M  188M 5199M|  48k 5842 |   0  9796k|   0   425 |2057  3009 |1.29 0.80 0.53|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:57 ubuntu dstat.sh[92145]: 29-07 02:22:57| 27   2  69   2   0|1035M 1320M  188M 5199M| 329k   12k|   0  7508k|   0   382 |2423  3660 |1.29 0.80 0.53|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:58 ubuntu dstat.sh[92145]: 29-07 02:22:58| 31  12  55   1   0| 967M 1382M  189M 5205M| 825k   21k|   0  6167k|   0   250 |3327  5149 |1.29 0.80 0.53|2.0   0 255|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:22:59 ubuntu dstat.sh[92145]: 29-07 02:22:59| 35  19  45   0   0| 969M 1379M  189M 5205M|5268  1620 |   0   420k|   0  21.0 |2509  4489 |1.29 0.80 0.53|2.0   0 384|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:23:00 ubuntu dstat.sh[92145]: 29-07 02:23:00| 28  16  53   1   0| 988M 1360M  189M 5206M|  44k 5349 |   0   428k|   0  6.99 |4195  7427 |1.29 0.80 0.53|3.0   0 155|   0     0 |   0     0 |  9    6    0   10    2
Jul 29 02:23:01 ubuntu dstat.sh[92145]: 29-07 02:23:01| 49   7  43   0   0|1094M 1253M  189M 5206M| 386k   13k|   0  2721k|   0  9.00 |1953  2019 |1.35 0.82 0.54|3.0   0  70|   0     0 |   0     0 |  9    7    0   10    2
Jul 29 02:23:02 ubuntu dstat.sh[92145]: 29-07 02:23:02| 48   4  47   0   0|1145M 1201M  189M 5207M| 405k   14k|   0   767k|   0  5.99 |1769  1499 |1.35 0.82 0.54|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Jul 29 02:23:03 ubuntu dstat.sh[92145]: 29-07 02:23:03| 52   5  44   0   0|1168M 1175M  189M 5209M| 237k 9002 |   0   816k|   0  14.0 |1921  4256 |1.35 0.82 0.54|2.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 29 02:23:04 ubuntu dstat.sh[92145]: 29-07 02:23:04| 28  11  60   0   0|1197M 1145M  189M 5210M|  35k 3424 |   0   256k|   0  35.0 |2356  4195 |1.35 0.82 0.54|1.0   0 144|   0     0 |   0     0 |  9    6    0   11    2
Jul 29 02:23:05 ubuntu dstat.sh[92145]: 29-07 02:23:05| 30   7  61   0   0|1255M 1087M  189M 5210M|  35k 6002 |   0  1072k|   0  13.0 |1667  5569 |1.35 0.82 0.54|2.0   0  34|   0     0 |   0     0 |  9    6    0   12    2
Jul 29 02:23:06 ubuntu dstat.sh[92145]: 29-07 02:23:06| 31   1  67   0   0|1265M 1077M  189M 5210M|  75k 5801 |   0  8226k|   0  43.0 |1194  1196 |1.48 0.86 0.55|2.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Jul 29 02:23:07 ubuntu dstat.sh[92145]: 29-07 02:23:07| 25   3  68   3   0|1267M 1075M  189M 5211M| 161k   68k|   0  1929k|   0   193 |2832  5080 |1.48 0.86 0.55|4.0   0 2.0|   0     0 |   0     0 |  9   12    0   11    2
Jul 29 02:23:08 ubuntu dstat.sh[92145]: 29-07 02:23:08| 31   5  63   1   0|1208M 1133M  189M 5211M| 132k 6215 |  20k  561k|5.01  20.0 |1428  1768 |1.48 0.86 0.55|2.0   0  47|   0     0 |   0     0 |  9    6    0   13    2
