-- Logs begin at Fri 2022-10-14 03:02:53 UTC, end at Fri 2022-10-14 13:35:10 UTC. --
Oct 14 12:56:39 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 14 12:56:40 ubuntu dstat.sh[72788]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 14 12:56:40 ubuntu dstat.sh[72788]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 14 12:56:40 ubuntu dstat.sh[72788]: 14-10 12:56:40|                   | 787M 1767M  186M 4899M|           |           |           |           |0.80 0.64 0.46|2.0   0    |           |   0     0 |  8    4    0    8    0
Oct 14 12:56:41 ubuntu dstat.sh[72788]: 14-10 12:56:41| 10  19  69   0   0| 788M 1766M  186M 4900M| 256k 4337 |   0   671k|   0  19.0 |2848  4334 |0.80 0.64 0.46|2.0   0 374|   0     0 |   0     0 |  8    4    0    8    0
Oct 14 12:56:42 ubuntu dstat.sh[72788]: 14-10 12:56:42| 17  18  65   0   0| 772M 1781M  186M 4900M| 250k 4545 |   0    20k|   0  12.0 |3210  5134 |0.80 0.64 0.46|3.0   0 312|   0     0 |   0     0 |  8    4    0    8    0
Oct 14 12:56:43 ubuntu dstat.sh[72788]: 14-10 12:56:43| 20  16  62   0   0| 774M 1779M  186M 4900M| 285k 6078 |   0    12k|   0  3.00 |4448  8837 |0.81 0.64 0.46|2.0   0 165|   0     0 |   0     0 |  8    4    0    8    0
Oct 14 12:56:44 ubuntu dstat.sh[72788]: 14-10 12:56:44|  6   8  85   0   0| 913M 1639M  186M 5023M| 138k 5572 |   0     0 |   0     0 |2293  3810 |0.81 0.64 0.46|2.0   0  85|   0     0 |   0     0 |  9    6    0    6    0
Oct 14 12:56:45 ubuntu dstat.sh[72788]: 14-10 12:56:45| 20   7  73   0   0| 914M 1638M  186M 5023M| 179k 4826 |   0    36k|   0  9.00 |1719  1914 |0.81 0.64 0.46|1.0   0  65|   0     0 |   0     0 |  9    6    0    6    0
Oct 14 12:56:46 ubuntu dstat.sh[72788]: 14-10 12:56:46| 16  11  72   0   0| 936M 1615M  186M 5023M| 260k   16k|   0   508k|   0  15.0 |2254  3281 |0.81 0.64 0.46|1.0   0 170|   0     0 |   0     0 |  9    6    0    8    0
Oct 14 12:56:47 ubuntu dstat.sh[72788]: 14-10 12:56:47| 23   4  72   1   0| 969M 1581M  186M 5024M| 270k 4536 | 220k  672k|15.0  12.0 |1356  1727 |0.81 0.64 0.46|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Oct 14 12:56:48 ubuntu dstat.sh[72788]: 14-10 12:56:48| 25   3  73   0   0| 993M 1557M  186M 5025M| 298k 5449 |  32k 1100k|2.00  9.00 |1410  1928 |0.83 0.65 0.46|  0 1.0   0|   0     0 |   0     0 |  9    6    0    8    0
Oct 14 12:56:49 ubuntu dstat.sh[72788]: 14-10 12:56:49|  8   4  67  19   0|1008M 1540M  186M 5027M| 430k   21k|4100B 9357k|1.00   785 |6072    11k|0.83 0.65 0.46|  0 2.0  12|   0     0 |   0     0 |  9    8    0    8    0
