-- Logs begin at Sat 2022-07-09 11:34:35 UTC, end at Mon 2022-07-11 07:45:33 UTC. --
Jul 11 07:31:07 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 11 07:31:08 ubuntu dstat.sh[88004]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 11 07:31:08 ubuntu dstat.sh[88004]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 11 07:31:08 ubuntu dstat.sh[88004]: 11-07 07:31:08|                   | 859M 1612M  187M 4968M|           |           |           |           |1.71 0.73 0.47|1.0   0    |           |   0     0 |  8    4    2   10    2
Jul 11 07:31:09 ubuntu dstat.sh[88004]: 11-07 07:31:09| 10  21  67   0   0| 861M 1611M  187M 4968M| 247k 8816 |   0  1250k|   0  22.0 |2483  3893 |1.71 0.73 0.47|1.5   0 357|   0     0 |   0     0 |  8    4    2   10    2
Jul 11 07:31:10 ubuntu dstat.sh[88004]: 11-07 07:31:10| 28  17  54   1   0| 784M 1686M  187M 4969M| 186k 7534 |   0   832k|   0  20.0 |3072  4973 |1.71 0.73 0.47|1.0   0 290|   0     0 |   0     0 |  8    4    1   10    3
Jul 11 07:31:11 ubuntu dstat.sh[88004]: 11-07 07:31:11| 20  20  60   1   1| 787M 1683M  187M 4970M| 142k 6199 |   0   528k|   0  13.0 |3498  9272 |1.71 0.73 0.47|2.0   0 204|   0     0 |   0     0 |  8    4    1   10    2
Jul 11 07:31:12 ubuntu dstat.sh[88004]: 11-07 07:31:12| 11   5  83   1   0| 927M 1542M  187M 5092M| 123k 5139 |   0   524k|   0  8.99 |1765  4208 |1.71 0.73 0.47|1.0   0  38|   0     0 |   0     0 |  9    4    1   10    2
Jul 11 07:31:13 ubuntu dstat.sh[88004]: 11-07 07:31:13| 20   8  71   0   0| 933M 1536M  187M 5093M|  23k 4513 |   0   421k|   0  15.0 |1504  1999 |1.65 0.73 0.47|2.0   0 107|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:14 ubuntu dstat.sh[88004]: 11-07 07:31:14| 19  12  66   1   0| 941M 1528M  187M 5093M|  55k   17k|   0   639k|   0  27.0 |2041  2960 |1.65 0.73 0.47|2.0   0 181|   0     0 |   0     0 |  9    6    1   12    2
Jul 11 07:31:15 ubuntu dstat.sh[88004]: 11-07 07:31:15| 26   4  67   2   0| 967M 1501M  187M 5093M|  13k 3939 |  52k   13M|5.00   245 |1698  1445 |1.65 0.73 0.47|2.0   0   0|   0     0 |   0     0 |  9    6    1   12    2
Jul 11 07:31:16 ubuntu dstat.sh[88004]: 11-07 07:31:16| 26   2  69   1   0| 999M 1467M  187M 5094M| 150k 6333 | 144k 1735k|9.00  13.0 |1122  1068 |1.65 0.73 0.47|1.0   0 1.0|   0     0 |   0     0 |  9    6    1   12    2
Jul 11 07:31:17 ubuntu dstat.sh[88004]: 11-07 07:31:17| 25   2  68   3   0|1018M 1447M  187M 5095M| 135k   25k|  12k 1772k|1.00   117 |2000  2983 |1.65 0.73 0.47|3.0 1.0 2.0|   0     0 |   0     0 |  9    8    1   12    2
Jul 11 07:31:18 ubuntu dstat.sh[88004]: 11-07 07:31:18| 10   3  63  23   1|1024M 1438M  188M 5098M| 926k   19k|   0    14M|   0   965 |6530    11k|1.76 0.77 0.49|  0 1.0  12|   0     0 |   0     0 |  9    8    1   12    2
Jul 11 07:31:19 ubuntu dstat.sh[88004]: 11-07 07:31:19| 15   3  59  21   0|1031M 1428M  188M 5101M| 609k   22k|   0  7125k|   0   623 |5564  9272 |1.76 0.77 0.49|1.0 2.0  13|   0     0 |   0     0 |  9    8    1   10    2
Jul 11 07:31:20 ubuntu dstat.sh[88004]: 11-07 07:31:20|  8   4  64  21   0|1034M 1423M  188M 5103M|  94k   23k|   0    16M|   0   651 |5218  9222 |1.76 0.77 0.49|  0 1.0  20|   0     0 |   0     0 |  9   10    1   10    2
Jul 11 07:31:21 ubuntu dstat.sh[88004]: 11-07 07:31:21|  9   3  67  18   0|1036M 1418M  189M 5105M|  76k   16k|   0  6632k|   0   653 |5244  9368 |1.76 0.77 0.49|  0 1.0  16|   0     0 |   0     0 |  9   10    1   10    2
Jul 11 07:31:22 ubuntu dstat.sh[88004]: 11-07 07:31:22| 12   3  64  21   0|1039M 1414M  189M 5107M|  55k   18k|   0  6574k|   0   584 |4915  8613 |1.76 0.77 0.49|3.0   0 3.0|   0     0 |   0     0 |  9   10    1   10    2
Jul 11 07:31:23 ubuntu dstat.sh[88004]: 11-07 07:31:23| 20   4  66   9   0|1047M 1404M  189M 5107M| 192k  120k|   0  3774k|   0   409 |4669  8998 |1.70 0.77 0.49|3.0   0  11|   0     0 |   0     0 |  9   10    1   10    2
Jul 11 07:31:24 ubuntu dstat.sh[88004]: 11-07 07:31:24| 42   7  48   1   0| 981M 1468M  189M 5110M|  68k   60k|   0  1948k|   0   118 |2604  3919 |1.70 0.77 0.49|2.0   0  78|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:25 ubuntu dstat.sh[88004]: 11-07 07:31:25| 42   4  53   0   0|1008M 1440M  189M 5110M|  14k 2295 |   0    36M|   0   194 |1607  1276 |1.70 0.77 0.49|1.0   0   0|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:26 ubuntu dstat.sh[88004]: 11-07 07:31:26| 28   2  67   3   0|1034M 1414M  190M 5110M| 320k 7100 |   0  7980k|   0   399 |2446  2898 |1.70 0.77 0.49|2.0   0 1.0|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:27 ubuntu dstat.sh[88004]: 11-07 07:31:27| 27   6  65   3   0| 974M 1467M  190M 5116M| 881k 8828 |   0  8310k|   0   427 |2838  3035 |1.70 0.77 0.49|3.0   0  13|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:28 ubuntu dstat.sh[88004]: 11-07 07:31:28| 48   3  48   1   0|1049M 1392M  190M 5116M|  17k 1618 |   0  7449k|   0   390 |2265  2717 |1.72 0.79 0.50|2.0   0 3.0|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:29 ubuntu dstat.sh[88004]: 11-07 07:31:29| 39   1  57   2   0|1038M 1403M  190M 5116M|  46k 4176 |   0  7423k|   0   387 |2230  2768 |1.72 0.79 0.50|2.0   0   0|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:30 ubuntu dstat.sh[88004]: 11-07 07:31:30| 16  16  66   0   0| 948M 1492M  190M 5117M| 413k 8430 |   0  2252k|   0  68.0 |2724  3969 |1.72 0.79 0.50|1.0   0 301|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:31 ubuntu dstat.sh[88004]: 11-07 07:31:31| 15  20  65   0   0| 948M 1490M  190M 5118M| 553k 8533 |   0  1180k|   0  27.0 |2789  3945 |1.72 0.79 0.50|2.0   0 329|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:32 ubuntu dstat.sh[88004]: 11-07 07:31:32| 27  18  54   1   0| 979M 1459M  190M 5119M|  66k 6256 | 196k  601k|3.00  14.0 |3564  8676 |1.72 0.79 0.50|3.0   0 148|   0     0 |   0     0 |  9    6    1   10    2
Jul 11 07:31:33 ubuntu dstat.sh[88004]: 11-07 07:31:33| 53  10  36   0   0|1070M 1368M  190M 5119M| 168k 6643 | 128k  396k|1.00  6.00 |1612  1953 |1.75 0.81 0.51|2.0   0  83|   0     0 |   0     0 |  9    7    1   10    2
Jul 11 07:31:34 ubuntu dstat.sh[88004]: 11-07 07:31:34| 51   6  42   1   1|1157M 1279M  190M 5120M| 143k 4345 | 372k  660k|8.00  16.0 |1357  1410 |1.75 0.81 0.51|3.0   0 2.0|   0     0 |   0     0 |  9    7    1   10    2
Jul 11 07:31:35 ubuntu dstat.sh[88004]: 11-07 07:31:35| 74   1  23   3   0|1178M 1258M  190M 5120M|8787  1621 |   0  9406k|   0   341 |1896  1128 |1.75 0.81 0.51|3.0   0 1.0|   0     0 |   0     0 |  9    7    1   10    2
Jul 11 07:31:36 ubuntu dstat.sh[88004]: 11-07 07:31:36| 42  12  46   0   0|1187M 1247M  190M 5122M|  21k 4636 |   0   966k|   0  12.0 |2704  6883 |1.75 0.81 0.51|1.0   0 143|   0     0 |   0     0 |  9    6    1   11    2
Jul 11 07:31:37 ubuntu dstat.sh[88004]: 11-07 07:31:37| 44   5  50   0   0|1256M 1177M  191M 5123M|9077  1686 |   0   172k|   0  3.00 |1175  1098 |1.75 0.81 0.51|2.0   0 3.0|   0     0 |   0     0 |  9    6    1   11    2
