-- Logs begin at Tue 2022-09-13 18:53:20 UTC, end at Tue 2022-09-13 20:21:02 UTC. --
Sep 13 19:42:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 13 19:42:02 ubuntu dstat.sh[78967]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 13 19:42:02 ubuntu dstat.sh[78967]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 13 19:42:02 ubuntu dstat.sh[78967]: 13-09 19:42:02|                   | 876M 1605M  185M 4967M|           |           |           |           |1.21 0.92 0.61|4.0   0    |           |   0     0 |  8    4    0   10    2
Sep 13 19:42:03 ubuntu dstat.sh[78967]: 13-09 19:42:03| 25  21  52   1   0| 877M 1603M  185M 4968M| 670k   17k|   0  1646k|   0  24.0 |3632  9902 |1.21 0.92 0.61|3.5   0 424|   0     0 |   0     0 |  8    4    0   10    2
Sep 13 19:42:04 ubuntu dstat.sh[78967]: 13-09 19:42:04| 19  19  62   1   0| 863M 1614M  185M 4970M| 922k   21k|   0  1692k|   0  19.5 |3722  7598 |1.11 0.90 0.61|3.0   0 336|   0     0 |   0     0 |  8    5    0   10    2
Sep 13 19:42:05 ubuntu dstat.sh[78967]: 13-09 19:42:05| 31  14  53   0   0| 868M 1609M  185M 4971M| 390k   12k|   0   680k|   0  8.00 |4069  7132 |1.11 0.90 0.61|3.0   0 131|   0     0 |   0     0 |  8    6    0   10    2
Sep 13 19:42:06 ubuntu dstat.sh[78967]: 13-09 19:42:06|  6   4  88   1   0|1011M 1464M  185M 5093M| 259k 9029 |   0  1123k|   0  12.0 |1845  2688 |1.11 0.90 0.61|4.0   0  37|   0     0 |   0     0 |  9    6    0   10    2
Sep 13 19:42:07 ubuntu dstat.sh[78967]: 13-09 19:42:07| 22  10  68   1   0|1017M 1458M  185M 5094M| 109k 8581 |   0    33M|   0   125 |1814  2057 |1.11 0.90 0.61|1.0   0 113|   0     0 |   0     0 |  9    8    0   10    2
Sep 13 19:42:08 ubuntu dstat.sh[78967]: 13-09 19:42:08| 18  12  69   1   0|1036M 1438M  185M 5095M| 492k   25k|   0  1153k|   0  26.0 |2384  3175 |1.11 0.90 0.61|1.0   0 177|   0     0 |   0     0 |  9    8    0   10    2
Sep 13 19:42:09 ubuntu dstat.sh[78967]: 13-09 19:42:09| 26   5  68   2   0|1068M 1403M  185M 5097M|1134k   25k| 196k 2756k|14.0  24.0 |1826  1495 |1.10 0.90 0.61|2.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 13 19:42:10 ubuntu dstat.sh[78967]: 13-09 19:42:10| 59   8  32   1   0|1070M 1398M  185M 5100M|  71k 4237 |  12k 1291k|1.00  12.0 |1655  1539 |1.10 0.90 0.61|3.0   0 6.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 13 19:42:11 ubuntu dstat.sh[78967]: 13-09 19:42:11| 40   8  38  13   0|1118M 1341M  186M 5107M| 890k   29k|   0    11M|   0   670 |6029  9112 |1.10 0.90 0.61|2.0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Sep 13 19:42:12 ubuntu dstat.sh[78967]: 13-09 19:42:12| 13   3  61  20   0|1103M 1355M  186M 5109M|  50k   11k|   0  7380k|   0   638 |5005  9033 |1.10 0.90 0.61|  0 1.0 1.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 13 19:42:13 ubuntu dstat.sh[78967]: 13-09 19:42:13| 15   3  59  21   0|1110M 1344M  187M 5111M| 465k   20k|   0  8656k|   0   665 |5672  8998 |1.10 0.90 0.61|2.0 1.0  19|   0     0 |   0     0 |  9    9    0   10    2
