-- Logs begin at Tue 2022-04-12 14:21:03 UTC, end at Tue 2022-04-12 15:45:27 UTC. --
Apr 12 15:08:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 12 15:08:19 ubuntu dstat.sh[78910]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 12 15:08:19 ubuntu dstat.sh[78910]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 12 15:08:19 ubuntu dstat.sh[78910]: 12-04 15:08:19|                   | 933M 1611M  189M 4900M|           |           |           |           |0.95 0.95 0.70|3.0   0    |           |   0     0 |  8    6    1    7    0
Apr 12 15:08:20 ubuntu dstat.sh[78910]: 12-04 15:08:20| 32  17  49   0   0| 894M 1650M  189M 4900M| 400k   13k|   0   315k|   0  14.0 |3068  4742 |0.99 0.96 0.70|3.0   0 455|   0     0 |   0     0 |  8    6    1    7    0
Apr 12 15:08:21 ubuntu dstat.sh[78910]: 12-04 15:08:21| 24  17  58   0   0| 840M 1703M  189M 4900M| 114k 6218 |   0   204k|   0  11.0 |3213  5830 |1.03 0.97 0.71|5.0   0 333|   0     0 |   0     0 |  8    7    1    7    0
Apr 12 15:08:22 ubuntu dstat.sh[78910]: 12-04 15:08:22| 24  17  58   1   0| 944M 1596M  189M 5024M|1297k   32k|   0  1498k|   0  9.99 |5234  7970 |1.03 0.97 0.71|  0   0 102|   0     0 |   0     0 |  9    6    1    7    0
Apr 12 15:08:23 ubuntu dstat.sh[78910]: 12-04 15:08:23| 19   8  55  18   0| 964M 1576M  189M 5024M| 998k   19k|   0  7405k|   0   291 |2649  2255 |1.03 0.97 0.71|3.0   0  97|   0     0 |   0     0 |  9    8    1    7    0
Apr 12 15:08:24 ubuntu dstat.sh[78910]: 12-04 15:08:24| 46  11  41   1   0| 990M 1549M  190M 5026M| 462k   28k|   0   928k|   0  29.0 |2649  3132 |1.03 0.97 0.71|3.0   0 194|   0     0 |   0     0 |  9    7    1    9    1
Apr 12 15:08:25 ubuntu dstat.sh[78910]: 12-04 15:08:25| 45   7  46   1   0|1041M 1494M  190M 5029M|1950k   43k|  52k  472k|5.00  12.0 |3014  2127 |1.19 1.00 0.72|1.0   0 8.0|   0     0 |   0     0 |  9    6    1    9    2
Apr 12 15:08:26 ubuntu dstat.sh[78910]: 12-04 15:08:26| 30   3  59   8   0|1058M 1469M  190M 5037M|3820k   48k| 144k 6734k|9.00  25.0 |3430  1891 |1.19 1.00 0.72|2.0   0 1.0|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:27 ubuntu dstat.sh[78910]: 12-04 15:08:27| 32   1  66   2   0|1067M 1458M  190M 5038M| 525k   12k|   0  1489k|   0  28.0 |1607  1250 |1.19 1.00 0.72|1.0   0 3.0|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:28 ubuntu dstat.sh[78910]: 12-04 15:08:28| 15   3  63  17   0|1090M 1432M  190M 5041M|1309k   57k|  12k 8998k|1.00   644 |6059  9176 |1.19 1.00 0.72|1.0   0  10|   0     0 |   0     0 |  9   10    1    9    2
Apr 12 15:08:29 ubuntu dstat.sh[78910]: 12-04 15:08:29| 36   5  46  13   0|1079M 1437M  191M 5046M| 690k   28k|   0    12M|   0   769 |5822  9842 |1.19 1.00 0.72|3.0 1.0  16|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:30 ubuntu dstat.sh[78910]: 12-04 15:08:30| 34   4  45  15   0|1101M 1412M  191M 5048M| 303k   21k|   0  7404k|   0   675 |5367  9131 |1.33 1.04 0.74|2.0   0  23|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:31 ubuntu dstat.sh[78910]: 12-04 15:08:31| 29   4  50  17   0|1105M 1404M  192M 5052M| 111k   25k|   0  9417k|   0   838 |5702    10k|1.33 1.04 0.74|  0 2.0  16|   0     0 |   0     0 |  9    9    1    9    2
Apr 12 15:08:32 ubuntu dstat.sh[78910]: 12-04 15:08:32| 30   3  53  14   0|1113M 1393M  192M 5055M|1258k   80k|   0  6370k|   0   523 |5312  8405 |1.33 1.04 0.74|1.0   0  14|   0     0 |   0     0 |  9   10    1    9    2
Apr 12 15:08:33 ubuntu dstat.sh[78910]: 12-04 15:08:33| 27   3  64   4   0|1018M 1486M  193M 5056M| 784k  115k|   0  3653k|   0   230 |3823  6035 |1.33 1.04 0.74|2.0   0  40|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:34 ubuntu dstat.sh[78910]: 12-04 15:08:34| 38   7  54   1   0|1046M 1454M  193M 5059M|1246k   32k|   0  2166k|   0  33.0 |2276  2346 |1.33 1.04 0.74|3.0   0  41|   0     0 |   0     0 |  9    6    1    9    2
Apr 12 15:08:35 ubuntu dstat.sh[78910]: 12-04 15:08:35| 69   7  25   0   0|1115M 1383M  193M 5061M|  16k 1694 |   0   824k|   0  18.0 |1410  1194 |1.47 1.07 0.75|3.0   0 5.0|   0     0 |   0     0 |  9    6    1    9    2
Apr 12 15:08:36 ubuntu dstat.sh[78910]: 12-04 15:08:36| 48   4  45   2   0|1026M 1471M  193M 5061M| 329k 8413 |   0  8147k|   0   410 |2665  2958 |1.47 1.07 0.75|2.0   0  16|   0     0 |   0     0 |  9    6    2    9    2
Apr 12 15:08:37 ubuntu dstat.sh[78910]: 12-04 15:08:37| 40   6  53   2   0|1086M 1404M  194M 5067M| 923k   12k|   0  8342k|   0   401 |2803  2778 |1.47 1.07 0.75|2.0   0 2.0|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:38 ubuntu dstat.sh[78910]: 12-04 15:08:38| 49   2  48   1   0|1124M 1366M  194M 5067M|  29k 3436 |   0  7607k|   0   414 |2415  2715 |1.47 1.07 0.75|2.0   0 1.0|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:39 ubuntu dstat.sh[78910]: 12-04 15:08:39| 35   6  57   1   1|1020M 1467M  194M 5070M|1772k   35k|   0  8234k|   0   385 |3934  4251 |1.47 1.07 0.75|2.0   0  81|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:40 ubuntu dstat.sh[78910]: 12-04 15:08:40| 35  22  40   1   0|1006M 1480M  194M 5072M| 784k   10k|   0  4494k|   0   144 |3525  5433 |1.51 1.08 0.76|4.0   0 430|   0     0 |   0     0 |  9    6    1    9    2
Apr 12 15:08:41 ubuntu dstat.sh[78910]: 12-04 15:08:41| 48  17  33   1   0|1025M 1460M  194M 5072M| 296k 8634 |   0   829k|   0  23.9 |4272  9027 |1.51 1.08 0.76|3.0   0 191|   0     0 |   0     0 |  9    6    1    9    2
Apr 12 15:08:42 ubuntu dstat.sh[78910]: 12-04 15:08:42| 72  13  14   1   0|1156M 1327M  194M 5073M| 155k 6013 | 325k  393k|4.01  6.02 |2074  3284 |1.51 1.08 0.76|3.0   0 150|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:43 ubuntu dstat.sh[78910]: 12-04 15:08:43| 74   6  20   1   0|1215M 1268M  194M 5074M|  58k 5161 | 372k  753k|8.01  13.0 |1909  2041 |1.51 1.08 0.76|3.0   0 1.0|   0     0 |   0     0 |  9    9    1    9    2
Apr 12 15:08:44 ubuntu dstat.sh[78910]: 12-04 15:08:44| 74   2  24   0   0|1246M 1235M  194M 5075M| 140k 4041 |   0    18M|   0  86.0 |1664  1075 |1.51 1.08 0.76|3.0   0 2.0|   0     0 |   0     0 |  9    9    1    9    2
Apr 12 15:08:45 ubuntu dstat.sh[78910]: 12-04 15:08:45| 76   8  16   0   0|1242M 1235M  194M 5079M|1193k   29k|   0  2673k|   0  7.00 |3695  5775 |1.63 1.12 0.77|4.0   0 5.0|   0     0 |   0     0 |  9    7    1    9    2
Apr 12 15:08:46 ubuntu dstat.sh[78910]: 12-04 15:08:46| 72  11  17   0   0|1298M 1175M  195M 5081M|  16k 2383 |   0    32k|   0  5.00 |2697  4844 |1.63 1.12 0.77|3.0   0 145|   0     0 |   0     0 |  9    6    1    9    2
Apr 12 15:08:47 ubuntu dstat.sh[78910]: 12-04 15:08:47| 63   6  31   0   0|1363M 1109M  195M 5082M| 409k 1862 |   0     0 |   0     0 |2173  2101 |1.63 1.12 0.77|2.0   0 6.0|   0     0 |   0     0 |  9    6    2    9    2
Apr 12 15:08:48 ubuntu dstat.sh[78910]: 12-04 15:08:48| 62   3  35   0   0|1356M 1116M  195M 5082M| 531k 5055 |   0  1045k|   0  8.01 |2219  4488 |1.63 1.12 0.77|2.0   0  34|   0     0 |   0     0 |  9    8    1    8    2
Apr 12 15:08:49 ubuntu dstat.sh[78910]: 12-04 15:08:49| 41   6  47   5   1|1371M 1084M  195M 5097M|8303k   67k|   0    42M|   0   467 |5648  5101 |1.63 1.12 0.77|2.0   0   0|   0     0 |   0     0 |  9    8    1   10    2
Apr 12 15:08:50 ubuntu dstat.sh[78910]: 12-04 15:08:50| 42  10  47   2   0|1281M 1164M  196M 5106M|1703k   28k| 160k 2449k|9.01  51.0 |2634  2485 |1.66 1.13 0.77|3.0   0  44|   0     0 |   0     0 |  9    8    1    9    2
Apr 12 15:08:51 ubuntu dstat.sh[78910]: 12-04 15:08:51| 60   9  28   3   0|1295M 1140M  196M 5114M|2936k   51k|  64k 3748k|6.00  69.0 |2951  2776 |1.66 1.13 0.77|3.0   0 3.0|   0     0 |   0     0 |  9   15    1    9    2
Apr 12 15:08:52 ubuntu dstat.sh[78910]: 12-04 15:08:52| 59  10  24   7   0|1271M 1139M  197M 5135M|1347k   76k| 132k 9202k|33.0   397 |3634  4103 |1.66 1.13 0.77|3.0   0  46|   0     0 |   0     0 |  9   30    1   10    2
Apr 12 15:08:53 ubuntu dstat.sh[78910]: 12-04 15:08:53| 45   8  47   0   0|1318M 1083M  198M 5142M| 924k 4037 |   0  2161k|   0  90.9 |2000  1424 |1.66 1.13 0.77|2.0 1.0 5.0|   0     0 |   0     0 |  9   31    2   10    2
Apr 12 15:08:54 ubuntu dstat.sh[78910]: 12-04 15:08:54| 49  12  37   2   0|1252M 1170M  198M 5123M|1921k   63k|   0    13M|   0   600 |3470  3066 |1.66 1.13 0.77|4.0   0 197|   0     0 |   0     0 |  9   30    1   10    0
Apr 12 15:08:55 ubuntu dstat.sh[78910]: 12-04 15:08:55| 69   8  22   0   0|1377M 1044M  198M 5123M| 525k   87k|   0     0 |   0     0 |6825    14k|1.77 1.16 0.79|5.0   0  13|   0     0 |   0     0 |  9   32    1   10    0
Apr 12 15:08:56 ubuntu dstat.sh[78910]: 12-04 15:08:56| 67  12  18   0   0|1243M 1176M  198M 5125M|2821k  711k|   0  2372k|   0  20.0 |6783    11k|1.77 1.16 0.79|8.0   0 255|   0     0 |   0     0 |  9   28    1   13    1
Apr 12 15:08:57 ubuntu dstat.sh[78910]: 12-04 15:08:57| 89  11   0   0   0|1361M 1058M  198M 5125M| 524k 1728 |   0    12k|   0  3.00 |1956  2152 |1.77 1.16 0.79|8.0   0 151|   0     0 |   0     0 |  9   28    1   13    0
Apr 12 15:08:58 ubuntu dstat.sh[78910]: 12-04 15:08:58| 87  13   0   0   0|1446M  972M  198M 5126M| 618k  470k|   0    92k|   0  4.00 |3258  5481 |1.77 1.16 0.79|9.0   0 135|   0     0 |   0     0 |  9   30    1   13    0
Apr 12 15:08:59 ubuntu dstat.sh[78910]: 12-04 15:08:59| 88  12   0   0   0|1430M  989M  198M 5126M| 641k  359k|   0  3769k|   0   131 |3692  5778 |1.77 1.16 0.79|9.0   0  83|   0     0 |   0     0 |  9   28    1   13    0
Apr 12 15:09:00 ubuntu dstat.sh[78910]: 12-04 15:09:00| 87  13   0   0   0|1433M  985M  198M 5126M| 846k  350k|   0   540k|   0  26.0 |3364    34k|2.19 1.26 0.82|7.0   0 115|   0     0 |   0     0 |  9   31    1   13    0
Apr 12 15:09:01 ubuntu dstat.sh[78910]: 12-04 15:09:01| 73   9  17   0   0|1300M 1118M  198M 5126M| 476k  454k|   0   544k|   0  38.0 |3452  6172 |2.19 1.26 0.82|4.0   0 122|   0     0 |   0     0 |  9   29    1   13    0
Apr 12 15:09:02 ubuntu dstat.sh[78910]: 12-04 15:09:02| 53   7  40   0   0|1271M 1147M  198M 5126M| 340k  270k|   0   232k|   0  10.0 |2039  3281 |2.19 1.26 0.82|3.0   0  76|   0     0 |   0     0 |  9   29    1   13    0
Apr 12 15:09:03 ubuntu dstat.sh[78910]: 12-04 15:09:03| 43   9  49   0   0|1192M 1226M  198M 5126M|  63k   24k|   0   488k|   0  25.0 |1875  2503 |2.19 1.26 0.82|3.0   0  73|   0     0 |   0     0 |  9   28    1   13    0
Apr 12 15:09:04 ubuntu dstat.sh[78910]: 12-04 15:09:04| 44   5  49   0   0|1222M 1196M  198M 5126M|  72k   52k|   0  1298k|   0  19.0 |1482  1512 |2.19 1.26 0.82|3.0   0  10|   0     0 |   0     0 |  9   29    1   13    0
Apr 12 15:09:05 ubuntu dstat.sh[78910]: 12-04 15:09:05| 36  16  46   1   0|1167M 1252M  198M 5126M| 171k  152k|   0  1649k|   0   107 |3139  5019 |2.33 1.31 0.84|5.0   0 322|   0     0 |   0     0 |  9   28    1   13    0
Apr 12 15:09:06 ubuntu dstat.sh[78910]: 12-04 15:09:06| 48  31  21   0   0|1183M 1235M  198M 5126M|  29k 1695 |   0   152k|   0  18.0 |2839  6271 |2.33 1.31 0.84|7.0   0 817|   0     0 |   0     0 |  9   28    1   13    0
Apr 12 15:09:07 ubuntu dstat.sh[78910]: 12-04 15:09:07| 87  13   0   0   0|1364M 1054M  198M 5126M|  52k 1620 |   0   156k|   0  9.00 |1742  1904 |2.33 1.31 0.84|5.0   0  88|   0     0 |   0     0 |  9   28    1   13    0
Apr 12 15:09:08 ubuntu dstat.sh[78910]: 12-04 15:09:08| 71   9  19   0   0|1442M  975M  198M 5126M|1404k 1389k|   0     0 |   0     0 |4273  9541 |2.33 1.31 0.84|2.0   0   0|   0     0 |   0     0 |  9   33    1   14    0
Apr 12 15:09:09 ubuntu dstat.sh[78910]: 12-04 15:09:09| 74   9  17   0   0|1249M 1169M  198M 5127M|1363k 1024k|   0  1566k|   0  19.0 |5125  9295 |2.33 1.31 0.84|5.0   0  77|   0     0 |   0     0 |  9   29    1   19    0
Apr 12 15:09:10 ubuntu dstat.sh[78910]: 12-04 15:09:10| 84  16   0   0   0|1329M 1089M  198M 5127M| 196k  177k|   0   156k|   0  11.0 |2230  3662 |2.55 1.37 0.86|6.0   0 221|   0     0 |   0     0 |  9   29    1   19    0
Apr 12 15:09:11 ubuntu dstat.sh[78910]: 12-04 15:09:11| 90   9   0   0   0|1388M 1029M  198M 5127M|1018k  934k|   0   356k|   0  35.0 |3831  7916 |2.55 1.37 0.86|6.0   0  53|   0     0 |   0     0 |  9   29    1   19    0
