-- Logs begin at Mon 2022-06-13 13:40:52 UTC, end at Tue 2022-06-14 11:49:09 UTC. --
Jun 14 11:36:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 14 11:36:38 ubuntu dstat.sh[87385]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 14 11:36:38 ubuntu dstat.sh[87385]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 14 11:36:38 ubuntu dstat.sh[87385]: 14-06 11:36:38|                   | 914M 1562M  188M 4964M|           |           |           |           |1.37 0.95 0.56|1.0   0    |           |   0     0 |  8    8    0   11    2
Jun 14 11:36:39 ubuntu dstat.sh[87385]: 14-06 11:36:39| 16  20  62   0   0| 915M 1558M  188M 4967M|3184k   57k|   0  3372k|   0  16.0 |4819  4704 |1.37 0.95 0.56|2.5   0 387|   0     0 |   0     0 |  8    7    0   10    3
Jun 14 11:36:40 ubuntu dstat.sh[87385]: 14-06 11:36:40| 39  19  42   0   0| 824M 1644M  188M 4972M| 834k   15k|   0  1845k|   0  16.5 |3991  5338 |1.42 0.97 0.56|2.0   0 315|   0     0 |   0     0 |  8    4    0   10    2
Jun 14 11:36:41 ubuntu dstat.sh[87385]: 14-06 11:36:41| 42  18  37   0   0| 930M 1537M  188M 5044M| 534k   11k|   0    10M|   0  43.0 |5023  7144 |1.42 0.97 0.56| 22   0 142|   0     0 |   0     0 |  9    4    0   10    2
Jun 14 11:36:42 ubuntu dstat.sh[87385]: 14-06 11:36:42| 22  10  66   0   0| 996M 1471M  188M 5095M|  69k 6121 |   0   500k|   0  13.0 |1925  2499 |1.42 0.97 0.56|2.0   0  98|   0     0 |   0     0 |  9    7    0   10    2
Jun 14 11:36:43 ubuntu dstat.sh[87385]: 14-06 11:36:43| 21  11  68   1   0|1002M 1465M  188M 5095M| 105k   20k|   0   777k|   0  32.0 |2264  3205 |1.42 0.97 0.56|2.0   0 191|   0     0 |   0     0 |  9    7    0   10    2
Jun 14 11:36:44 ubuntu dstat.sh[87385]: 14-06 11:36:44| 42   6  51   1   0|1074M 1390M  188M 5098M|  82k 3927 |  56k 1416k|6.00  20.0 |1397  1227 |1.42 0.97 0.56|3.0   0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 14 11:36:45 ubuntu dstat.sh[87385]: 14-06 11:36:45| 45   4  49   1   0|1058M 1404M  188M 5099M|  26k 4109 | 140k 1071k|7.99  8.99 |1327  1314 |1.63 1.02 0.58|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Jun 14 11:36:46 ubuntu dstat.sh[87385]: 14-06 11:36:46| 24   2  71   3   0|1063M 1398M  188M 5100M| 432k 8013 |  12k   34M|1.00   187 |1425  1123 |1.63 1.02 0.58|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 14 11:36:47 ubuntu dstat.sh[87385]: 14-06 11:36:47|  9   4  66  18   0|1082M 1375M  189M 5103M| 969k   54k|   0    13M|   0   990 |7237    11k|1.63 1.02 0.58|1.0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
Jun 14 11:36:48 ubuntu dstat.sh[87385]: 14-06 11:36:48| 35   7  37  21   0|1087M 1361M  189M 5111M|1118k   25k|   0    10M|   0   692 |6392    10k|1.63 1.02 0.58|2.0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
Jun 14 11:36:49 ubuntu dstat.sh[87385]: 14-06 11:36:49| 51   6  24  19   0|1108M 1336M  190M 5113M|  28k   20k|   0  7705k|   0   654 |5391  9257 |1.63 1.02 0.58|2.0 1.0  25|   0     0 |   0     0 |  9   10    0   10    2
Jun 14 11:36:50 ubuntu dstat.sh[87385]: 14-06 11:36:50| 21   4  56  19   0|1092M 1349M  190M 5116M| 614k   21k|   0  6716k|   0   591 |5708  9217 |1.58 1.02 0.58|2.0   0  18|   0     0 |   0     0 |  9   11    0   10    2
Jun 14 11:36:51 ubuntu dstat.sh[87385]: 14-06 11:36:51| 11   3  63  20   0|1095M 1344M  190M 5118M| 419k   21k|   0    10M|   0   592 |5485  9333 |1.58 1.02 0.58|2.0 2.0  12|   0     0 |   0     0 |  9   11    0   10    2
Jun 14 11:36:52 ubuntu dstat.sh[87385]: 14-06 11:36:52| 27   2  61   8   0|1099M 1340M  191M 5118M| 173k  127k|   0  3616k|   0   373 |4537  8903 |1.58 1.02 0.58|1.0   0 3.0|   0     0 |   0     0 |  9   12    0   10    2
Jun 14 11:36:53 ubuntu dstat.sh[87385]: 14-06 11:36:53| 25   5  66   2   0|1021M 1417M  191M 5119M| 124k   57k|   0  1350k|   0   112 |2522  4319 |1.58 1.02 0.58|1.0   0  76|   0     0 |   0     0 |  9    8    0   10    2
