-- Logs begin at Mon 2022-05-16 17:01:00 UTC, end at Mon 2022-05-16 18:23:24 UTC. --
May 16 17:46:49 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 16 17:46:50 ubuntu dstat.sh[79430]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 16 17:46:50 ubuntu dstat.sh[79430]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 16 17:46:50 ubuntu dstat.sh[79430]: 16-05 17:46:50|                   |1011M 1515M  189M 4917M|           |           |           |           |1.46 1.37 0.87|1.0   0    |           |   0     0 |  8    9    0   14    0
May 16 17:46:51 ubuntu dstat.sh[79430]: 16-05 17:46:51| 22  18  56   2   0| 974M 1550M  189M 4920M|3012k   81k|   0    12M|   0   196 |6020  6308 |1.46 1.37 0.87|1.0   0 382|   0     0 |   0     0 |  8    8    0   14    0
May 16 17:46:52 ubuntu dstat.sh[79430]: 16-05 17:46:52| 43  19  38   0   0| 956M 1564M  190M 4923M|1006k   20k|   0    20k|   0   100 |5020  6782 |1.46 1.37 0.87|3.0   0 300|   0     0 |   0     0 |  8    6    0   10    0
May 16 17:46:53 ubuntu dstat.sh[79430]: 16-05 17:46:53| 64  19  16   0   0| 994M 1524M  190M 4924M| 267k   11k|   0   482k|   0  11.0 |4575  7858 |1.46 1.37 0.87| 29   0 165|   0     0 |   0     0 |  8    5    0   10    1
May 16 17:46:54 ubuntu dstat.sh[79430]: 16-05 17:46:54| 44  13  42   0   0|1148M 1370M  190M 5047M| 533k   18k|   0   602k|   0  6.02 |2482  2643 |1.58 1.40 0.88|1.0   0  68|   0     0 |   0     0 |  9    6    1    8    2
May 16 17:46:55 ubuntu dstat.sh[79430]: 16-05 17:46:55| 40  10  48   0   0|1025M 1484M  190M 5054M|4243k   78k|   0  4127k|   0  31.0 |4825  3143 |1.58 1.40 0.88|2.0   0  71|   0     0 |   0     0 |  9    6    0    8    2
May 16 17:46:56 ubuntu dstat.sh[79430]: 16-05 17:46:56| 23  10  64   2   0|1058M 1448M  190M 5057M|1472k   27k|   0  3481k|   0  54.0 |2734  3167 |1.58 1.40 0.88|1.0   0 163|   0     0 |   0     0 |  9    6    0   10    2
May 16 17:46:57 ubuntu dstat.sh[79430]: 16-05 17:46:57| 25   3  69   3   0|1083M 1422M  190M 5059M| 278k 8504 | 196k 1718k|14.0  21.0 |1411  1396 |1.58 1.40 0.88|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
May 16 17:46:58 ubuntu dstat.sh[79430]: 16-05 17:46:58| 30   2  67   2   0|1098M 1405M  190M 5060M| 268k 9155 |   0  1428k|   0  27.0 |1250  1112 |1.58 1.40 0.88|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
May 16 17:46:59 ubuntu dstat.sh[79430]: 16-05 17:46:59| 22   3  63  10   0|1120M 1382M  190M 5061M|  77k   28k|  12k 5157k|1.00   372 |3425  5426 |1.53 1.39 0.88|  0 1.0 6.0|   0     0 |   0     0 |  9    8    0   10    2
