-- Logs begin at Wed 2022-03-02 19:52:41 UTC, end at Wed 2022-03-02 21:16:41 UTC. --
Mar 02 20:37:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 02 20:37:48 ubuntu dstat.sh[76365]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 02 20:37:48 ubuntu dstat.sh[76365]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 02 20:37:48 ubuntu dstat.sh[76365]: 02-03 20:37:48|                   | 861M 1801M  161M 4817M|           |           |           |           |1.34 1.19 0.75|6.0   0    |           |   0     0 |  8    2    0   14    0
Mar 02 20:37:49 ubuntu dstat.sh[76365]: 02-03 20:37:49| 85  14   0   0   0| 894M 1766M  161M 4818M|  47k 1709 |  59k    0 |4.20     0 |1691  1887 |1.34 1.19 0.75|5.5   0 131|   0     0 |   0     0 |  8    2    0   14    0
Mar 02 20:37:50 ubuntu dstat.sh[76365]: 02-03 20:37:50| 68  26   3   1   0| 965M 1693M  162M 4821M|  18k 2758 |  52k   24k|8.60  3.00 |1955  3226 |1.55 1.23 0.76|4.0   0 306|   0     0 |   0     0 |  8    3    0   14    0
Mar 02 20:37:51 ubuntu dstat.sh[76365]: 02-03 20:37:51| 27  18  52   1   0| 878M 1779M  162M 4821M| 193k   14k|   0  2180k|   0  20.0 |4685  9297 |1.55 1.23 0.76|7.0   0 241|   0     0 |   0     0 |  8    5    0   14    0
Mar 02 20:37:52 ubuntu dstat.sh[76365]: 02-03 20:37:52| 34  14  51   0   0| 936M 1721M  162M 4943M| 429k   17k|   0   392k|   0  5.00 |3091  5660 |1.55 1.23 0.76|4.0   0  95|   0     0 |   0     0 |  9    7    0   14    0
Mar 02 20:37:53 ubuntu dstat.sh[76365]: 02-03 20:37:53| 30   8  61   0   0| 920M 1736M  162M 4943M| 669k   17k|   0  3601k|   0  23.0 |1964  1917 |1.55 1.23 0.76|1.0   0  96|   0     0 |   0     0 |  9    7    0   14    0
Mar 02 20:37:54 ubuntu dstat.sh[76365]: 02-03 20:37:54| 20  11  68   1   0| 939M 1717M  162M 4943M|  40k   16k|   0  1000k|   0  25.0 |2165  3198 |1.55 1.23 0.76|1.0   0 176|   0     0 |   0     0 |  9    8    0   12    0
Mar 02 20:37:55 ubuntu dstat.sh[76365]: 02-03 20:37:55| 22   2  73   2   0| 979M 1677M  162M 4944M|  24k 3267 |  52k  796k|5.00  18.0 |1139  1252 |1.51 1.23 0.77|1.0   0   0|   0     0 |   0     0 |  9    8    0   12    0
Mar 02 20:37:56 ubuntu dstat.sh[76365]: 02-03 20:37:56| 23   4  70   4   0| 991M 1662M  162M 4945M| 204k 8385 | 144k  885k|9.01  10.0 |1232  1326 |1.51 1.23 0.77|2.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    1
Mar 02 20:37:57 ubuntu dstat.sh[76365]: 02-03 20:37:57| 33   2  63   2   0|1006M 1647M  162M 4946M| 563k   27k|  12k 1844k|1.00  56.0 |1940  2079 |1.51 1.23 0.77|2.0   0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 02 20:37:58 ubuntu dstat.sh[76365]: 02-03 20:37:58|  9   4  59  25   0|1020M 1625M  162M 4953M|3521k   80k|   0    14M|   0   730 |7109  9002 |1.51 1.23 0.77|  0 1.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 02 20:37:59 ubuntu dstat.sh[76365]: 02-03 20:37:59|  8   3  66  22   0|1022M 1617M  163M 4958M|2068k   24k|   0  7466k|   0   461 |4864  7422 |1.51 1.23 0.77|1.0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 02 20:38:00 ubuntu dstat.sh[76365]: 02-03 20:38:00|  7   2  66  22   0|1027M 1610M  163M 4960M| 186k   15k|   0  4750k|   0   404 |4212  7160 |1.55 1.24 0.77|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 02 20:38:01 ubuntu dstat.sh[76365]: 02-03 20:38:01|  9   2  65  24   0|1028M 1607M  163M 4962M| 276k   18k|   0  5428k|   0   413 |4225  7276 |1.55 1.24 0.77|2.0   0  17|   0     0 |   0     0 |  9    8    0   10    2
Mar 02 20:38:02 ubuntu dstat.sh[76365]: 02-03 20:38:02| 13   4  60  23   0|1032M 1601M  164M 4964M| 174k   18k|   0  5779k|   0   545 |4997  8467 |1.55 1.24 0.77|  0 1.0  19|   0     0 |   0     0 |  9    8    0    9    2
Mar 02 20:38:03 ubuntu dstat.sh[76365]: 02-03 20:38:03| 12   2  62  22   0|1034M 1596M  164M 4966M| 174k   18k|   0  5700k|   0   485 |4182  7889 |1.55 1.24 0.77|1.0 1.0  11|   0     0 |   0     0 |  9    8    0    9    2
Mar 02 20:38:04 ubuntu dstat.sh[76365]: 02-03 20:38:04| 12   2  62  22   0|1036M 1593M  164M 4967M|  48k   14k|   0  5135k|   0   436 |3945  6973 |1.55 1.24 0.77|1.0 1.0   0|   0     0 |   0     0 |  9    8    0    9    2
Mar 02 20:38:05 ubuntu dstat.sh[76365]: 02-03 20:38:05| 18   4  63  15   0|1040M 1587M  165M 4968M| 238k   75k|   0  4641k|   0   444 |5033  8050 |1.58 1.25 0.78|2.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
