-- Logs begin at Wed 2022-03-23 21:38:34 UTC, end at Fri 2022-03-25 13:16:23 UTC. --
Mar 25 12:37:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 25 12:37:30 ubuntu dstat.sh[87094]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 25 12:37:30 ubuntu dstat.sh[87094]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 25 12:37:30 ubuntu dstat.sh[87094]: 25-03 12:37:30|                   | 841M 1676M  194M 4917M|           |           |           |           |1.24 1.06 0.69|2.0   0    |           |   0     0 |  8    7    0   14    0
Mar 25 12:37:31 ubuntu dstat.sh[87094]: 25-03 12:37:31| 50  22  26   0   0| 869M 1647M  194M 4918M| 900k   22k|   0   560k|   0  14.4 |2862  4234 |1.24 1.06 0.69|2.5   0 440|   0     0 |   0     0 |  8    6    0   14    0
Mar 25 12:37:32 ubuntu dstat.sh[87094]: 25-03 12:37:32| 64  20  16   0   0| 900M 1615M  194M 4919M| 395k   11k|   0   652k|   0  13.2 |3398  5782 |1.24 1.06 0.69|5.0   0 362|   0     0 |   0     0 |  8    5    0   14    1
Mar 25 12:37:33 ubuntu dstat.sh[87094]: 25-03 12:37:33| 38  17  43   0   0| 986M 1522M  194M 5047M|3171k   64k|   0   184k|   0  3.99 |6773  8991 |1.30 1.08 0.70|1.0   0 112|   0     0 |   0     0 |  9    5    0   14    2
Mar 25 12:37:34 ubuntu dstat.sh[87094]: 25-03 12:37:34| 14   3  82   1   0| 992M 1511M  194M 5052M|2688k   27k|   0  6778k|   0  29.0 |2353  1715 |1.30 1.08 0.70|3.0   0  33|   0     0 |   0     0 |  9    8    0   14    2
Mar 25 12:37:35 ubuntu dstat.sh[87094]: 25-03 12:37:35| 23   8  68   1   0| 997M 1505M  194M 5053M| 318k   10k|   0   760k|   0  21.0 |1761  1960 |1.30 1.08 0.70|2.0   0  87|   0     0 |   0     0 |  9    8    0   10    2
Mar 25 12:37:36 ubuntu dstat.sh[87094]: 25-03 12:37:36| 29  12  57   2   0| 982M 1517M  195M 5055M|1405k   45k|   0  2770k|   0  46.0 |3371  3959 |1.30 1.08 0.70|2.0   0 174|   0     0 |   0     0 |  9    6    0   12    2
Mar 25 12:37:37 ubuntu dstat.sh[87094]: 25-03 12:37:37| 54   5  39   1   0|1031M 1467M  195M 5057M| 148k 9195 |  92k 1588k|6.98  29.9 |1607  1439 |1.30 1.08 0.70|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Mar 25 12:37:38 ubuntu dstat.sh[87094]: 25-03 12:37:38| 51   7  41   1   0|1063M 1432M  195M 5058M| 193k 8166 | 104k 1952k|7.02  30.1 |1607  1336 |1.36 1.09 0.70|4.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Mar 25 12:37:39 ubuntu dstat.sh[87094]: 25-03 12:37:39| 38   3  56   4   0|1085M 1408M  195M 5061M| 980k   34k|  12k 5282k|1.00   276 |2921  3158 |1.36 1.09 0.70|2.0 1.0 2.0|   0     0 |   0     0 |  9    9    0   10    2
Mar 25 12:37:40 ubuntu dstat.sh[87094]: 25-03 12:37:40| 21   3  52  22   0|1028M 1462M  196M 5063M| 694k   25k|   0    15M|   0  1041 |6722    11k|1.36 1.09 0.70|  0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
Mar 25 12:37:41 ubuntu dstat.sh[87094]: 25-03 12:37:41| 11   4  63  21   0|1033M 1453M  196M 5066M| 110k   17k|   0  7627k|   0   614 |5371  8991 |1.36 1.09 0.70|  0 2.0  19|   0     0 |   0     0 |  9    8    0   10    2
